seed,model,phase2_core_accuracy,final_third_factor_volition,final_ethical_reliability,final_integration,final_ideal_alignment,final_H_self,phase2_reward_capture_rate,developmental_transfer_score,long_term_trajectory_value
13000,full_loop,0.6136,0.4729169849269847,0.9377387128944105,0.8924752629403047,0.9152277366462738,0.2984782821112483,0.2336,0.7732502444329422,0.12033499999999854
13000,ablate_ethicalsense,0.568,0.4893701540648108,0.7319009315892525,0.8977864082908371,0.9200077674617534,0.3024559503997351,0.2312,0.7614708309636455,0.05512800000000228
13000,ablate_idealgap,0.626,0.95,0.94,0.95,0.95,0.1,0.208,0.8295,0.19017200000000106
13000,ablate_shadow_validation,0.6076,0.5266314405975024,0.94,0.8929260361494468,0.9156334325345027,0.32497489137919366,0.2212,0.7689073316566359,0.10045799999999873
13000,ablate_core_constraint,0.6116,0.5257654063876601,0.94,0.9479299639555551,0.9160951592321556,0.2805387320293863,0.2164,0.7883689727947419,0.14246799999999954
13001,full_loop,0.598,0.4849007290091652,0.94,0.8924752676086943,0.9152277408478245,0.3044701504176274,0.2236,0.768671466171051,0.15039900000000006
13001,ablate_ethicalsense,0.548,0.4860732789980774,0.7329939478095339,0.898194869212131,0.9203753822909184,0.30048074412933334,0.25,0.7540607077957557,0.06194900000000001
13001,ablate_idealgap,0.616,0.95,0.94,0.95,0.95,0.1,0.214,0.8259000000000001,0.16680699999999968
13001,ablate_shadow_validation,0.622,0.5280733559991829,0.94,0.8932814806708425,0.9159533326037586,0.32541149346291687,0.2176,0.7736729052656706,0.13980499999999896
13001,ablate_core_constraint,0.6188,0.5204198888332597,0.9382173652161253,0.937192270250024,0.9151419018073486,0.28645612821660965,0.206,0.7882955102693505,0.14133299999999982
13002,full_loop,0.6056,0.4813552592017681,0.94,0.8921415284895479,0.914927375640593,0.302964406809246,0.2212,0.771275488586671,0.11495599999999741
13002,ablate_ethicalsense,0.5628,0.49396310609564725,0.7315851183738713,0.8992638163275111,0.9213374346947599,0.3035704999858142,0.236,0.7598915469413201,0.07120999999999818
13002,ablate_idealgap,0.6244,0.95,0.94,0.95,0.95,0.1,0.2132,0.8284999999999999,0.19961100000000076
13002,ablate_shadow_validation,0.6064,0.535166863237721,0.934278716114949,0.8929053716496189,0.9156148344846561,0.3292591342991653,0.2244,0.767575912806213,0.11639299999999846
13002,ablate_core_constraint,0.6028,0.5128629536559304,0.9388,0.9430724480564495,0.9160069460776391,0.2779735183828061,0.2196,0.7848001983732787,0.14872599999999905
13003,full_loop,0.6184,0.4863593229944692,0.94,0.8923133478174687,0.9150820130357221,0.30532898324325936,0.2176,0.7751938253359353,0.12057499999999864
13003,ablate_ethicalsense,0.5672,0.4894202753222414,0.7321075823091242,0.8981181035208258,0.9203062931687426,0.30221565484446045,0.2376,0.7607678457696817,0.07475499999999947
13003,ablate_idealgap,0.6136,0.95,0.94,0.95,0.95,0.1,0.208,0.8257800000000001,0.1651800000000003
13003,ablate_shadow_validation,0.618,0.5281791199545084,0.9345576803359376,0.8929467226562203,0.915652050390598,0.32573218185227804,0.2188,0.7721625298510518,0.1538400000000009
13003,ablate_core_constraint,0.6156,0.5237801070736458,0.9364,0.95,0.915808031630134,0.2765465983539436,0.2044,0.7917100181544419,0.16738299999999967
13004,full_loop,0.6128,0.47939118176076206,0.9376,0.893442272368667,0.9160980451318003,0.30094177298544794,0.2056,0.7758516998088663,0.15107000000000104
13004,ablate_ethicalsense,0.564,0.4939126862327004,0.7315685658628713,0.899132520541309,0.9212192684871772,0.3036503266833039,0.2376,0.7600237722275606,0.06189900000000002
13004,ablate_idealgap,0.6268,0.95,0.94,0.95,0.95,0.1,0.2092,0.82962,0.16541800000000084
