seed,model,P,T,V,M,Aanti,final_holdout_recall,final_holdout_violation_rate,trap_capture_rate,trajectory_value,final_Q
18800,base,0,0,0,0,0,0.5857142857142857,0.4714285714285714,0.3673890608875129,0.5711066666666625,0.58
18800,P,1,0,0,0,0,0.7428571428571429,0.3142857142857143,0.22084623323013416,0.7005514285714248,0.843991899256641
18800,T,0,1,0,0,0,0.5857142857142857,0.4714285714285714,0.3673890608875129,0.5711066666666625,0.58
18800,V,0,0,1,0,0,0.5857142857142857,0.4714285714285714,0.3673890608875129,0.5711066666666625,0.58
18800,M,0,0,0,1,0,0.6428571428571429,0.42857142857142855,0.42518059855521156,0.5663790476190421,0.58
18800,A,0,0,0,0,1,0.5857142857142857,0.4714285714285714,0.3673890608875129,0.5711066666666625,0.58
18800,P_T,1,1,0,0,0,0.7428571428571429,0.3142857142857143,0.1826625386996904,0.725088571428568,0.8873040261398368
18800,P_V,1,0,1,0,0,0.7714285714285715,0.2857142857142857,0.17234262125902994,0.7360866666666632,0.94
18800,P_M,1,0,0,1,0,0.7857142857142857,0.2857142857142857,0.38390092879256965,0.6222266666666609,0.6728486295087381
18800,P_A,1,0,0,0,1,0.7428571428571429,0.3142857142857143,0.22084623323013416,0.7005514285714248,0.843991899256641
18800,P_T_V,1,1,1,0,0,0.7714285714285715,0.2857142857142857,0.16408668730650156,0.7437847619047588,0.94
18800,P_T_V_M,1,1,1,1,0,0.9,0.17142857142857143,0.15892672858617132,0.7879580952380911,0.94
18800,FULL,1,1,1,1,1,0.8285714285714286,0.24285714285714285,0.11661506707946337,0.7648285714285676,0.94
18801,base,0,0,0,0,0,0.6923076923076923,0.47692307692307695,0.36804853387259856,0.5620971428571391,0.58
18801,P,1,0,0,0,0,0.9230769230769231,0.3076923076923077,0.21638018200202225,0.6939628571428534,0.9071381156289259
18801,T,0,1,0,0,0,0.6923076923076923,0.47692307692307695,0.36804853387259856,0.5620971428571391,0.58
18801,V,0,0,1,0,0,0.6923076923076923,0.47692307692307695,0.36804853387259856,0.5620971428571391,0.58
18801,M,0,0,0,1,0,0.7230769230769231,0.4461538461538462,0.43377148634984836,0.5676095238095185,0.58
18801,A,0,0,0,0,1,0.6923076923076923,0.47692307692307695,0.36804853387259856,0.5620971428571391,0.58
18801,P_T,1,1,0,0,0,0.9384615384615385,0.3076923076923077,0.18402426693629928,0.7125857142857106,0.9183379469886855
18801,P_V,1,0,1,0,0,0.9384615384615385,0.3076923076923077,0.16481294236602628,0.7099990476190444,0.94
18801,P_M,1,0,0,1,0,0.7384615384615385,0.4307692307692308,0.42972699696663297,0.5838123809523754,0.614256246427973
18801,P_A,1,0,0,0,1,0.9230769230769231,0.3076923076923077,0.21638018200202225,0.6939628571428534,0.9071381156289259
18801,P_T_V,1,1,1,0,0,0.9384615384615385,0.3076923076923077,0.15874620829120323,0.7140190476190444,0.94
18801,P_T_V_M,1,1,1,1,0,0.9846153846153847,0.26153846153846155,0.16076845298281092,0.764870476190472,0.94
18801,FULL,1,1,1,1,1,0.9538461538461539,0.2923076923076923,0.11122345803842265,0.734215238095234,0.94
18802,base,0,0,0,0,0,0.631578947368421,0.5,0.3448979591836735,0.5685285714285667,0.58
18802,P,1,0,0,0,0,0.7894736842105263,0.39473684210526316,0.2193877551020408,0.7038485714285672,0.8911666433955857
18802,T,0,1,0,0,0,0.631578947368421,0.5,0.3448979591836735,0.5685285714285667,0.58
18802,V,0,0,1,0,0,0.631578947368421,0.5,0.3448979591836735,0.5685285714285667,0.58
18802,M,0,0,0,1,0,0.6710526315789473,0.4605263157894737,0.4173469387755102,0.5709257142857085,0.58
18802,A,0,0,0,0,1,0.631578947368421,0.5,0.3448979591836735,0.5685285714285667,0.58
18802,P_T,1,1,0,0,0,0.7894736842105263,0.39473684210526316,0.19387755102040816,0.7217904761904723,0.8996642238058451
18802,P_V,1,0,1,0,0,0.7894736842105263,0.39473684210526316,0.17551020408163265,0.7227304761904727,0.94
18802,P_M,1,0,0,1,0,0.7105263157894737,0.42105263157894735,0.413265306122449,0.5985352380952321,0.6412446405062483
18802,P_A,1,0,0,0,1,0.7894736842105263,0.39473684210526316,0.2193877551020408,0.7038485714285672,0.8911666433955857
18802,P_T_V,1,1,1,0,0,0.7894736842105263,0.39473684210526316,0.16938775510204082,0.7267228571428538,0.94
18802,P_T_V_M,1,1,1,1,0,0.9078947368421053,0.27631578947368424,0.17755102040816326,0.7647276190476151,0.94
18802,FULL,1,1,1,1,1,0.868421052631579,0.3157894736842105,0.12755102040816327,0.7523942857142819,0.94
18803,base,0,0,0,0,0,0.5487804878048781,0.5487804878048781,0.3368200836820084,0.5525933333333299,0.58
18803,P,1,0,0,0,0,0.7804878048780488,0.36585365853658536,0.20920502092050208,0.6790828571428535,0.8406507403127934
18803,T,0,1,0,0,0,0.5487804878048781,0.5487804878048781,0.3368200836820084,0.5525933333333299,0.58
18803,V,0,0,1,0,0,0.5487804878048781,0.5487804878048781,0.3368200836820084,0.5525933333333299,0.58
18803,M,0,0,0,1,0,0.6097560975609756,0.5,0.4194560669456067,0.5491066666666619,0.58
18803,A,0,0,0,0,1,0.5487804878048781,0.5487804878048781,0.3368200836820084,0.5525933333333299,0.58
18803,P_T,1,1,0,0,0,0.8170731707317073,0.34146341463414637,0.1799163179916318,0.7013371428571394,0.8981699141180922
18803,P_V,1,0,1,0,0,0.8780487804878049,0.2804878048780488,0.151673640167364,0.717984761904759,0.94
18803,P_M,1,0,0,1,0,0.6585365853658537,0.45121951219512196,0.39644351464435146,0.5818066666666615,0.6012175811961284
18803,P_A,1,0,0,0,1,0.7804878048780488,0.36585365853658536,0.20920502092050208,0.6790828571428535,0.8406507403127934
18803,P_T_V,1,1,1,0,0,0.8780487804878049,0.2804878048780488,0.1412133891213389,0.7237609523809494,0.94
18803,P_T_V_M,1,1,1,1,0,0.9512195121951219,0.23170731707317074,0.15271966527196654,0.7646561904761867,0.94
18803,FULL,1,1,1,1,1,0.9390243902439024,0.24390243902439024,0.10251046025104603,0.7454199999999964,0.94
18804,base,0,0,0,0,0,0.6265060240963856,0.4457831325301205,0.3487654320987654,0.5430809523809484,0.58
18804,P,1,0,0,0,0,0.8072289156626506,0.27710843373493976,0.19135802469135801,0.6651466666666629,0.8741322645487491
18804,T,0,1,0,0,0,0.6265060240963856,0.4457831325301205,0.3487654320987654,0.5430809523809484,0.58
18804,V,0,0,1,0,0,0.6265060240963856,0.4457831325301205,0.3487654320987654,0.5430809523809484,0.58
18804,M,0,0,0,1,0,0.6626506024096386,0.40963855421686746,0.4156378600823045,0.5471609523809473,0.58
18804,A,0,0,0,0,1,0.6265060240963856,0.4457831325301205,0.3487654320987654,0.5430809523809484,0.58
18804,P_T,1,1,0,0,0,0.8192771084337349,0.26506024096385544,0.17695473251028807,0.6745561904761871,0.9068602217220596
18804,P_V,1,0,1,0,0,0.8313253012048193,0.25301204819277107,0.1522633744855967,0.6812457142857109,0.94
18804,P_M,1,0,0,1,0,0.7108433734939759,0.37349397590361444,0.41358024691358025,0.5726714285714232,0.5950853872509416
18804,P_A,1,0,0,0,1,0.8072289156626506,0.27710843373493976,0.19135802469135801,0.6651466666666629,0.8741322645487491
18804,P_T_V,1,1,1,0,0,0.8313253012048193,0.25301204819277107,0.14506172839506173,0.6874714285714252,0.94
18804,P_T_V_M,1,1,1,1,0,0.9156626506024096,0.1686746987951807,0.1728395061728395,0.7484942857142816,0.94
18804,FULL,1,1,1,1,1,0.8674698795180723,0.21686746987951808,0.11316872427983539,0.7115333333333292,0.94
18805,base,0,0,0,0,0,0.6349206349206349,0.42857142857142855,0.3727087576374745,0.5819304761904718,0.58
18805,P,1,0,0,0,0,0.8571428571428571,0.25396825396825395,0.22606924643584522,0.7091085714285679,0.8476793612725075
18805,T,0,1,0,0,0,0.6349206349206349,0.42857142857142855,0.3727087576374745,0.5819304761904718,0.58
18805,V,0,0,1,0,0,0.6349206349206349,0.42857142857142855,0.3727087576374745,0.5819304761904718,0.58
18805,M,0,0,0,1,0,0.6666666666666666,0.3968253968253968,0.42362525458248473,0.5847704761904702,0.58
18805,A,0,0,0,0,1,0.6349206349206349,0.42857142857142855,0.3727087576374745,0.5819304761904718,0.58
18805,P_T,1,1,0,0,0,0.8571428571428571,0.25396825396825395,0.1924643584521385,0.7289114285714251,0.858876455749672
18805,P_V,1,0,1,0,0,0.873015873015873,0.23809523809523808,0.1690427698574338,0.7188838095238066,0.94
18805,P_M,1,0,0,1,0,0.6666666666666666,0.3968253968253968,0.4195519348268839,0.6055590476190412,0.6137557146294165
18805,P_A,1,0,0,0,1,0.8571428571428571,0.25396825396825395,0.22606924643584522,0.7091085714285679,0.8476793612725075
18805,P_T_V,1,1,1,0,0,0.873015873015873,0.23809523809523808,0.16089613034623218,0.7211323809523781,0.94
18805,P_T_V_M,1,1,1,1,0,0.9682539682539683,0.15873015873015872,0.17006109979633402,0.764108571428568,0.94
18805,FULL,1,1,1,1,1,0.9047619047619048,0.2222222222222222,0.12321792260692464,0.7380419047619018,0.94
18806,base,0,0,0,0,0,0.5697674418604651,0.5348837209302325,0.34710743801652894,0.5486447619047587,0.58
18806,P,1,0,0,0,0,0.8255813953488372,0.32558139534883723,0.19008264462809918,0.690261904761901,0.8707306451033702
18806,T,0,1,0,0,0,0.5697674418604651,0.5348837209302325,0.34710743801652894,0.5486447619047587,0.58
18806,V,0,0,1,0,0,0.5697674418604651,0.5348837209302325,0.34710743801652894,0.5486447619047587,0.58
18806,M,0,0,0,1,0,0.6046511627906976,0.5,0.4194214876033058,0.5421714285714244,0.58
18806,A,0,0,0,0,1,0.5697674418604651,0.5348837209302325,0.34710743801652894,0.5486447619047587,0.58
18806,P_T,1,1,0,0,0,0.8372093023255814,0.32558139534883723,0.1559917355371901,0.7090599999999966,0.9049262999283614
18806,P_V,1,0,1,0,0,0.872093023255814,0.32558139534883723,0.14979338842975207,0.706880952380949,0.94
18806,P_M,1,0,0,1,0,0.7790697674418605,0.36046511627906974,0.34710743801652894,0.6185085714285662,0.6960996689856855
18806,P_A,1,0,0,0,1,0.8255813953488372,0.32558139534883723,0.19008264462809918,0.690261904761901,0.8707306451033702
18806,P_T_V,1,1,1,0,0,0.872093023255814,0.32558139534883723,0.13946280991735538,0.7096504761904727,0.94
18806,P_T_V_M,1,1,1,1,0,0.9651162790697675,0.2558139534883721,0.13429752066115702,0.7571666666666622,0.94
18806,FULL,1,1,1,1,1,0.9186046511627907,0.29069767441860467,0.09297520661157024,0.7342847619047578,0.94
18807,base,0,0,0,0,0,0.7023809523809523,0.42857142857142855,0.3545359749739312,0.5206399999999963,0.58
18807,P,1,0,0,0,0,0.8214285714285714,0.32142857142857145,0.24191866527632952,0.6536419047619009,0.8828654872649739
18807,T,0,1,0,0,0,0.7023809523809523,0.42857142857142855,0.3545359749739312,0.5206399999999963,0.58
18807,V,0,0,1,0,0,0.7023809523809523,0.42857142857142855,0.3545359749739312,0.5206399999999963,0.58
18807,M,0,0,0,1,0,0.75,0.40476190476190477,0.4118873826903024,0.5243895238095188,0.58
18807,A,0,0,0,0,1,0.7023809523809523,0.42857142857142855,0.3545359749739312,0.5206399999999963,0.58
18807,P_T,1,1,0,0,0,0.8333333333333334,0.32142857142857145,0.20333680917622524,0.6809466666666628,0.9116142520932056
18807,P_V,1,0,1,0,0,0.8571428571428571,0.2976190476190476,0.17205422314911367,0.6616399999999968,0.94
18807,P_M,1,0,0,1,0,0.75,0.40476190476190477,0.39416058394160586,0.5665104761904705,0.5621317628646969
18807,P_A,1,0,0,0,1,0.8214285714285714,0.32142857142857145,0.24191866527632952,0.6536419047619009,0.8828654872649739
18807,P_T_V,1,1,1,0,0,0.8571428571428571,0.2976190476190476,0.1616266944734098,0.6696961904761872,0.94
18807,P_T_V_M,1,1,1,1,0,0.9523809523809523,0.2261904761904762,0.145985401459854,0.7320723809523768,0.94
18807,FULL,1,1,1,1,1,0.9166666666666666,0.2619047619047619,0.1105318039624609,0.7015161904761864,0.94
18808,base,0,0,0,0,0,0.5824175824175825,0.4945054945054945,0.3542074363992172,0.5388904761904734,0.58
18808,P,1,0,0,0,0,0.7912087912087912,0.31868131868131866,0.24168297455968688,0.6694238095238058,0.8315740042038975
18808,T,0,1,0,0,0,0.5824175824175825,0.4945054945054945,0.3542074363992172,0.5388904761904734,0.58
18808,V,0,0,1,0,0,0.5824175824175825,0.4945054945054945,0.3542074363992172,0.5388904761904734,0.58
18808,M,0,0,0,1,0,0.5934065934065934,0.4945054945054945,0.41193737769080235,0.5371133333333294,0.58
18808,A,0,0,0,0,1,0.5824175824175825,0.4945054945054945,0.3542074363992172,0.5388904761904734,0.58
18808,P_T,1,1,0,0,0,0.8351648351648352,0.2857142857142857,0.2054794520547945,0.7056504761904726,0.8750979786175314
18808,P_V,1,0,1,0,0,0.8461538461538461,0.27472527472527475,0.175146771037182,0.703879999999997,0.94
18808,P_M,1,0,0,1,0,0.6153846153846154,0.4725274725274725,0.40019569471624267,0.5683599999999955,0.6608071727067439
18808,P_A,1,0,0,0,1,0.7912087912087912,0.31868131868131866,0.24168297455968688,0.6694238095238058,0.8315740042038975
18808,P_T_V,1,1,1,0,0,0.8461538461538461,0.27472527472527475,0.16731898238747553,0.7062133333333301,0.94
18808,P_T_V_M,1,1,1,1,0,0.9340659340659341,0.2087912087912088,0.1771037181996086,0.758538095238091,0.94
18808,FULL,1,1,1,1,1,0.9230769230769231,0.21978021978021978,0.12524461839530332,0.731834285714282,0.94
18809,base,0,0,0,0,0,0.6875,0.3875,0.36736842105263157,0.5965695238095184,0.58
18809,P,1,0,0,0,0,0.85,0.275,0.18526315789473685,0.7400885714285677,0.8674808845132566
18809,T,0,1,0,0,0,0.6875,0.3875,0.36736842105263157,0.5965695238095184,0.58
18809,V,0,0,1,0,0,0.6875,0.3875,0.36736842105263157,0.5965695238095184,0.58
18809,M,0,0,0,1,0,0.7125,0.3625,0.4284210526315789,0.5939790476190409,0.58
18809,A,0,0,0,0,1,0.6875,0.3875,0.36736842105263157,0.5965695238095184,0.58
18809,P_T,1,1,0,0,0,0.875,0.275,0.15789473684210525,0.75365333333333,0.9169641090732207
18809,P_V,1,0,1,0,0,0.875,0.275,0.18421052631578946,0.7167466666666632,0.94
18809,P_M,1,0,0,1,0,0.775,0.3375,0.4168421052631579,0.6327533333333262,0.5952743963644538
18809,P_A,1,0,0,0,1,0.85,0.275,0.18526315789473685,0.7400885714285677,0.8674808845132566
18809,P_T_V,1,1,1,0,0,0.875,0.275,0.16526315789473683,0.7329619047619013,0.94
18809,P_T_V_M,1,1,1,1,0,0.9625,0.2,0.18105263157894738,0.7659171428571383,0.94
