model,final_holdout_recall,final_holdout_violation_rate,trap_capture_rate,trajectory_value,final_Q,composite
A,0.6258154158785958,0.4892491250961737,0.3496912213754872,0.5538977823129212,0.58,0.5839685447926681
FULL,0.9059177872856561,0.2601201512670079,0.11381172238480816,0.7362565306122411,0.94,0.8180470865450435
M,0.6620793670612665,0.4591905956680044,0.4161125026448565,0.5556153605442122,0.58,0.5895075008084607
P,0.8014080580892151,0.3454924903791289,0.2035626957143217,0.6865018503401321,0.8328965850569359,0.7349622182741511
P_A,0.8014080580892151,0.3454924903791289,0.2035626957143217,0.6865018503401321,0.8328965850569359,0.7349622182741511
P_M,0.7160077898124029,0.4156796216614151,0.3950989310022531,0.5944006462584976,0.6215937023495307,0.6304628068925409
P_T,0.8214638014282669,0.3291433061256314,0.17466148103199033,0.7069750544217651,0.8767351629105653,0.7559647812961154
P_T_V,0.8502515907712298,0.3061053013715702,0.15490950901858255,0.709720877551017,0.94,0.7749974694725141
P_T_V_M,0.9438717760043113,0.23007762071990875,0.1664403198997157,0.757187707482989,0.94,0.8316509905121203
P_V,0.8502515907712298,0.3061053013715702,0.16440878299906597,0.7044318435374115,0.94,0.7717753561730161
T,0.6258154158785958,0.4892491250961737,0.3496912213754872,0.5538977823129212,0.58,0.5839685447926681
V,0.6258154158785958,0.4892491250961737,0.3496912213754872,0.5538977823129212,0.58,0.5839685447926681
base,0.6258154158785958,0.4892491250961737,0.3496912213754872,0.5538977823129212,0.58,0.5839685447926681
