seed,model,phase,A_TF,R_ethical,H_self,capture_resistance,R_gain_in_phase
11800,no_codevelopment,1,0.22,0.54,0.68,0.28,0.0
11800,no_codevelopment,2,0.22,0.54,0.68,0.28,0.0
11800,no_codevelopment,3,0.22,0.54,0.68,0.28,0.0
11800,no_codevelopment,4,0.22,0.54,0.68,0.28,0.0
11800,no_codevelopment,5,0.22,0.54,0.68,0.28,0.0
11800,no_codevelopment,6,0.22,0.54,0.68,0.28,0.0
11800,one_way_thirdfactor_to_ethicalsense,1,0.22,0.5,0.9,0.1,-0.040000000000000036
11800,one_way_thirdfactor_to_ethicalsense,2,0.22,0.5,0.9,0.1,0.0
11800,one_way_thirdfactor_to_ethicalsense,3,0.22,0.5,0.9,0.1,0.0
11800,one_way_thirdfactor_to_ethicalsense,4,0.22,0.5,0.9,0.1,0.0
11800,one_way_thirdfactor_to_ethicalsense,5,0.22,0.5,0.9,0.1,0.0
11800,one_way_thirdfactor_to_ethicalsense,6,0.22,0.5,0.9,0.1,0.0
11800,bidirectional_codevelopment,1,0.1,0.5,0.9,0.1,-0.040000000000000036
11800,bidirectional_codevelopment,2,0.1,0.5,0.9,0.1,0.0
11800,bidirectional_codevelopment,3,0.1,0.5,0.9,0.1,0.0
11800,bidirectional_codevelopment,4,0.1,0.5,0.9,0.1,0.0
11800,bidirectional_codevelopment,5,0.1,0.5,0.9,0.1,0.0
11800,bidirectional_codevelopment,6,0.1,0.5,0.9,0.1,0.0
11801,no_codevelopment,1,0.22,0.54,0.68,0.28,0.0
11801,no_codevelopment,2,0.22,0.54,0.68,0.28,0.0
11801,no_codevelopment,3,0.22,0.54,0.68,0.28,0.0
11801,no_codevelopment,4,0.22,0.54,0.68,0.28,0.0
11801,no_codevelopment,5,0.22,0.54,0.68,0.28,0.0
11801,no_codevelopment,6,0.22,0.54,0.68,0.28,0.0
11801,one_way_thirdfactor_to_ethicalsense,1,0.22,0.5,0.9,0.1,-0.040000000000000036
11801,one_way_thirdfactor_to_ethicalsense,2,0.22,0.5,0.9,0.1,0.0
11801,one_way_thirdfactor_to_ethicalsense,3,0.22,0.5,0.9,0.1,0.0
11801,one_way_thirdfactor_to_ethicalsense,4,0.22,0.5,0.9,0.1,0.0
11801,one_way_thirdfactor_to_ethicalsense,5,0.22,0.5,0.9,0.1,0.0
11801,one_way_thirdfactor_to_ethicalsense,6,0.22,0.5,0.9,0.1,0.0
11801,bidirectional_codevelopment,1,0.1,0.5,0.9,0.1,-0.040000000000000036
11801,bidirectional_codevelopment,2,0.1,0.5,0.9,0.1,0.0
11801,bidirectional_codevelopment,3,0.1,0.5,0.9,0.1,0.0
11801,bidirectional_codevelopment,4,0.1,0.5,0.9,0.1,0.0
11801,bidirectional_codevelopment,5,0.1,0.5,0.9,0.1,0.0
11801,bidirectional_codevelopment,6,0.1,0.5,0.9,0.1,0.0
11802,no_codevelopment,1,0.22,0.54,0.68,0.28,0.0
11802,no_codevelopment,2,0.22,0.54,0.68,0.28,0.0
11802,no_codevelopment,3,0.22,0.54,0.68,0.28,0.0
11802,no_codevelopment,4,0.22,0.54,0.68,0.28,0.0
11802,no_codevelopment,5,0.22,0.54,0.68,0.28,0.0
11802,no_codevelopment,6,0.22,0.54,0.68,0.28,0.0
11802,one_way_thirdfactor_to_ethicalsense,1,0.22,0.5,0.9,0.1,-0.040000000000000036
11802,one_way_thirdfactor_to_ethicalsense,2,0.22,0.5,0.9,0.1,0.0
11802,one_way_thirdfactor_to_ethicalsense,3,0.22,0.5,0.9,0.1,0.0
11802,one_way_thirdfactor_to_ethicalsense,4,0.22,0.5,0.9,0.1,0.0
11802,one_way_thirdfactor_to_ethicalsense,5,0.22,0.5,0.9,0.1,0.0
11802,one_way_thirdfactor_to_ethicalsense,6,0.22,0.5,0.9,0.1,0.0
11802,bidirectional_codevelopment,1,0.1,0.5,0.9,0.1,-0.040000000000000036
11802,bidirectional_codevelopment,2,0.1,0.5,0.9,0.1,0.0
11802,bidirectional_codevelopment,3,0.1,0.5,0.9,0.1,0.0
11802,bidirectional_codevelopment,4,0.1,0.5,0.9,0.1,0.0
11802,bidirectional_codevelopment,5,0.1,0.5,0.9,0.1,0.0
11802,bidirectional_codevelopment,6,0.1,0.5,0.9,0.1,0.0
11803,no_codevelopment,1,0.22,0.54,0.68,0.28,0.0
11803,no_codevelopment,2,0.22,0.54,0.68,0.28,0.0
11803,no_codevelopment,3,0.22,0.54,0.68,0.28,0.0
11803,no_codevelopment,4,0.22,0.54,0.68,0.28,0.0
11803,no_codevelopment,5,0.22,0.54,0.68,0.28,0.0
11803,no_codevelopment,6,0.22,0.54,0.68,0.28,0.0
11803,one_way_thirdfactor_to_ethicalsense,1,0.22,0.5,0.9,0.1,-0.040000000000000036
11803,one_way_thirdfactor_to_ethicalsense,2,0.22,0.5,0.9,0.1,0.0
11803,one_way_thirdfactor_to_ethicalsense,3,0.22,0.5,0.9,0.1,0.0
11803,one_way_thirdfactor_to_ethicalsense,4,0.22,0.5,0.9,0.1,0.0
11803,one_way_thirdfactor_to_ethicalsense,5,0.22,0.5,0.9,0.1,0.0
11803,one_way_thirdfactor_to_ethicalsense,6,0.22,0.5,0.9,0.1,0.0
11803,bidirectional_codevelopment,1,0.1,0.5,0.9,0.1,-0.040000000000000036
11803,bidirectional_codevelopment,2,0.1,0.5,0.9,0.1,0.0
