seed,model,phase1_external_reward,phase2_external_reward,phase1_core_accuracy,phase2_core_accuracy,final_third_factor_volition,final_ethical_reliability,final_integration,final_ideal_alignment,final_H_self,phase2_reward_capture_rate,developmental_transfer_score,long_term_trajectory_value
12800,static_baseline,0.4692,0.5088,0.4428,0.466,0.24,0.56,0.32,0.4,0.64,0.306,0.4272,-0.12596000000000185
12800,success_fed_thirdfactor,0.9592,1.0,0.7336,0.4444,0.95,0.9290000000000047,0.32,0.4,0.64,0.5556,0.39576,0.11763700000000253
12800,ethicalsense_plus_idealgap,0.5436,0.4884,0.558,0.6308,0.48547060201466646,0.9388,0.8921947368855813,0.9149752631970225,0.3049795114988679,0.2096,0.7797158364515417,0.15852499999999994
12800,hybrid_reward_and_ethics,0.5184,0.5,0.5528,0.568,0.95,0.7344564139564392,0.8656425255833001,0.8910782730249706,0.31261448465002056,0.25,0.7444059006753996,0.07868699999999966
12801,static_baseline,0.4776,0.5016,0.4424,0.4492,0.24,0.56,0.32,0.4,0.64,0.3016,0.42260000000000003,-0.1442400000000022
12801,success_fed_thirdfactor,0.9612,1.0,0.7252,0.4344,0.95,0.9165000000000035,0.32,0.4,0.64,0.5656,0.39176,0.1085420000000021
12801,ethicalsense_plus_idealgap,0.55,0.4776,0.6024,0.6056,0.4885246134851144,0.94,0.892210460767649,0.9149894146908834,0.30649393812843784,0.226,0.770295355106985,0.17120400000000083
12801,hybrid_reward_and_ethics,0.5248,0.5088,0.5572,0.5528,0.95,0.7345593920465394,0.8658468200680799,0.8912621380612724,0.3124919079591519,0.2548,0.7394711123350612,0.06522000000000013
12802,static_baseline,0.4736,0.4828,0.4588,0.4468,0.24,0.56,0.32,0.4,0.64,0.29,0.42303999999999997,-0.13680000000000156
12802,success_fed_thirdfactor,0.966,1.0,0.7316,0.4604,0.95,0.9345000000000095,0.32,0.4,0.64,0.5396,0.40216,0.15076499999999116
12802,ethicalsense_plus_idealgap,0.5348,0.4812,0.566,0.6256,0.4903516687373495,0.94,0.8934677955943404,0.9161210160349059,0.3064015978932022,0.2148,0.7779635734436143,0.170275000000001
12802,hybrid_reward_and_ethics,0.5188,0.4904,0.5412,0.556,0.95,0.7346034057819346,0.8659552093942559,0.8913596884548308,0.31242687436344674,0.2456,0.7414069328380417,0.03522700000000114
12803,static_baseline,0.476,0.5184,0.452,0.4476,0.24,0.56,0.32,0.4,0.64,0.318,0.42047999999999996,-0.13980000000000128
12803,success_fed_thirdfactor,0.9588,1.0,0.7384,0.4412,0.95,0.8870000000000067,0.32,0.4,0.64,0.5588,0.39447999999999994,0.1243729999999964
12803,ethicalsense_plus_idealgap,0.54,0.484,0.5816,0.6236,0.48392802757629766,0.94,0.8929198350858252,0.9156278515772438,0.30362814571948876,0.2184,0.7771867080535527,0.16177199999999933
12803,hybrid_reward_and_ethics,0.534,0.4944,0.534,0.548,0.95,0.7345931043502321,0.8659502748820737,0.891355247393867,0.31242983507075567,0.2556,0.7380043915642681,0.03870500000000201
12804,static_baseline,0.47,0.5076,0.44,0.4612,0.24,0.56,0.32,0.4,0.64,0.3116,0.42519999999999997,-0.1346000000000023
12804,success_fed_thirdfactor,0.962,1.0,0.7592,0.442,0.95,0.9360000000000002,0.32,0.4,0.64,0.558,0.3948,0.16378899999998525
12804,ethicalsense_plus_idealgap,0.5456,0.4812,0.5788,0.5876,0.4834707229974761,0.94,0.8934705265646062,0.9161234739081456,0.30295894024705294,0.224,0.7661611327528997,0.12978699999999704
12804,hybrid_reward_and_ethics,0.5244,0.49,0.5428,0.5532,0.95,0.7347599649518525,0.8663030993488765,0.8916727894139885,0.31221814039067425,0.2416,0.7411460961646713,0.04219100000000079
12805,static_baseline,0.4656,0.5,0.4428,0.4464,0.24,0.56,0.32,0.4,0.64,0.31,0.42092,-0.17756000000000483
12805,success_fed_thirdfactor,0.9696,1.0,0.7472,0.4336,0.95,0.9235000000000294,0.32,0.4,0.64,0.5664,0.39144,0.14977499999998828
12805,ethicalsense_plus_idealgap,0.5224,0.49,0.5536,0.598,0.48601011359177043,0.94,0.893036733716219,0.9157330603445959,0.3045756698229106,0.2116,0.7700942613559562,0.11707899999999706
12805,hybrid_reward_and_ethics,0.5156,0.4968,0.5456,0.5456,0.95,0.7344582606781992,0.8656831434643014,0.8911148291178697,0.312590113921419,0.2516,0.7375468188841149,0.038828000000001577
12806,static_baseline,0.4844,0.5232,0.4396,0.4576,0.24,0.56,0.32,0.4,0.64,0.3088,0.4244,-0.13264000000000076
12806,success_fed_thirdfactor,0.9688,1.0,0.7372,0.4468,0.95,0.8980000000000077,0.32,0.4,0.64,0.5532,0.39671999999999996,0.13415199999999922
12806,ethicalsense_plus_idealgap,0.546,0.468,0.5904,0.6116,0.48194060758007723,0.94,0.8925952313095248,0.9153357081785725,0.3028941187424184,0.2096,0.7744388554951853,0.13708899999999924
12806,hybrid_reward_and_ethics,0.5252,0.496,0.5484,0.5724,0.95,0.7347730958208665,0.8663401866645208,0.891706167998069,0.3121958880012868,0.2464,0.7464451961322284,0.06232999999999957
12807,static_baseline,0.4752,0.516,0.4592,0.4428,0.24,0.56,0.32,0.4,0.64,0.314,0.41944,-0.14344000000000115
12807,success_fed_thirdfactor,0.96,1.0,0.7416,0.4364,0.95,0.9310000000000016,0.32,0.4,0.64,0.5636,0.39256,0.12729699999999305
12807,ethicalsense_plus_idealgap,0.5408,0.4972,0.5764,0.6036,0.48221815923200584,0.9376,0.8930968244878409,0.9157871420390571,0.30263162002573,0.228,0.770451407403473,0.12700399999999915
