seed,model,level,target_reliability,ethical_sensitivity,decision_accuracy,high_stakes_accuracy,long_term_trajectory_value,ethical_sense_reliability_realized,deep_path_activation_rate
10500,no_development,1,0.62,0.5,0.5766666666666667,0.5486284289276808,0.1642222222222221,0.5336538461538461,0.20444444444444446
10500,linear_development,1,0.56,0.5,0.5966666666666667,0.5727923627684964,0.18816666666666657,0.5592417061611374,0.21444444444444444
10500,sigmoid_development,1,0.54,0.5,0.5877777777777777,0.5873417721518988,0.21644444444444408,0.5325,0.18222222222222223
10500,no_development,2,0.62,0.64,0.6177777777777778,0.5929919137466307,0.2700555555555542,0.5886792452830188,0.24333333333333335
10500,linear_development,2,0.635,0.64,0.6111111111111112,0.6354430379746835,0.27788888888888785,0.6462962962962963,0.2644444444444444
10500,sigmoid_development,2,0.5401592702073942,0.64,0.5677777777777778,0.5625,0.14988888888888918,0.5427509293680297,0.2688888888888889
10500,no_development,3,0.62,0.79,0.6377777777777778,0.6365853658536585,0.290333333333332,0.637329286798179,0.32666666666666666
10500,linear_development,3,0.71,0.79,0.6288888888888889,0.65625,0.31999999999999834,0.7069486404833837,0.3111111111111111
10500,sigmoid_development,3,0.544029258898935,0.79,0.6066666666666667,0.5946601941747572,0.2193333333333323,0.5523520485584219,0.3244444444444444
10500,no_development,4,0.62,0.88,0.6366666666666667,0.5974683544303797,0.24255555555555366,0.6607629427792916,0.8155555555555556
10500,linear_development,4,0.785,0.88,0.7555555555555555,0.7617924528301887,0.49033333333332646,0.7942779291553134,0.8155555555555556
10500,sigmoid_development,4,0.6208146563901339,0.88,0.6166666666666667,0.6036745406824147,0.24033333333333143,0.6076294277929155,0.8155555555555556
10500,no_development,5,0.62,0.94,0.6477777777777778,0.6572890025575447,0.30688888888888555,0.6404639175257731,0.8622222222222222
10500,linear_development,5,0.86,0.94,0.8322222222222222,0.8354755784061697,0.6456666666666648,0.849624060150376,0.8866666666666667
10500,sigmoid_development,5,0.9,0.94,0.8744444444444445,0.8661800486618005,0.7088888888888909,0.9,0.8666666666666667
10501,no_development,1,0.62,0.5,0.6333333333333333,0.6275510204081632,0.2992777777777769,0.6148148148148148,0.1922222222222222
10501,linear_development,1,0.56,0.5,0.6377777777777778,0.6363636363636364,0.3069999999999989,0.5995145631067961,0.21555555555555556
10501,sigmoid_development,1,0.54,0.5,0.5688888888888889,0.5721153846153846,0.1625000000000003,0.4930232558139535,0.21666666666666667
10501,no_development,2,0.62,0.64,0.6155555555555555,0.6126126126126126,0.21849999999999953,0.6155268022181146,0.2966666666666667
10501,linear_development,2,0.635,0.64,0.6055555555555555,0.6314553990610329,0.24261111111111056,0.6309090909090909,0.2811111111111111
10501,sigmoid_development,2,0.5401592702073942,0.64,0.5788888888888889,0.551219512195122,0.156166666666667,0.5364485981308411,0.27666666666666667
10501,no_development,3,0.62,0.79,0.6266666666666667,0.6226415094339622,0.2533888888888875,0.6210526315789474,0.35444444444444445
10501,linear_development,3,0.71,0.79,0.6422222222222222,0.6844660194174758,0.3368888888888873,0.7085889570552147,0.3288888888888889
10501,sigmoid_development,3,0.544029258898935,0.79,0.5988888888888889,0.5668316831683168,0.19327777777777672,0.5288888888888889,0.33444444444444443
10501,no_development,4,0.62,0.88,0.6077777777777778,0.6039603960396039,0.21138888888888613,0.6081632653061224,0.8166666666666667
10501,linear_development,4,0.785,0.88,0.77,0.7686375321336761,0.5284444444444377,0.7887700534759359,0.8311111111111111
10501,sigmoid_development,4,0.6208146563901339,0.88,0.6211111111111111,0.6540404040404041,0.27461111111110775,0.6103038309114928,0.8411111111111111
10501,no_development,5,0.62,0.94,0.6255555555555555,0.6378504672897196,0.23594444444444154,0.6174661746617466,0.9033333333333333
10501,linear_development,5,0.86,0.94,0.8411111111111111,0.8035714285714286,0.6261666666666633,0.8567807351077313,0.8766666666666667
10501,sigmoid_development,5,0.9,0.94,0.8511111111111112,0.8423645320197044,0.6651666666666658,0.8767471410419314,0.8744444444444445
10502,no_development,1,0.62,0.5,0.6133333333333333,0.6202830188679245,0.2443333333333327,0.6508313539192399,0.22444444444444445
10502,linear_development,1,0.56,0.5,0.6066666666666667,0.611764705882353,0.22911111111111024,0.5758293838862559,0.21777777777777776
10502,sigmoid_development,1,0.54,0.5,0.5788888888888889,0.5912408759124088,0.19594444444444378,0.5670886075949367,0.1922222222222222
10502,no_development,2,0.62,0.64,0.6111111111111112,0.595,0.23822222222222167,0.5841209829867675,0.2577777777777778
10502,linear_development,2,0.635,0.64,0.6222222222222222,0.6607142857142857,0.31383333333333185,0.646484375,0.25666666666666665
10502,sigmoid_development,2,0.5401592702073942,0.64,0.6266666666666667,0.6151960784313726,0.26511111111110985,0.5758754863813229,0.25333333333333335
10502,no_development,3,0.62,0.79,0.6455555555555555,0.6519721577726219,0.29538888888888754,0.6434108527131783,0.33666666666666667
10502,linear_development,3,0.71,0.79,0.6655555555555556,0.6858513189448441,0.3589444444444429,0.7004754358161648,0.31
10502,sigmoid_development,3,0.544029258898935,0.79,0.5966666666666667,0.5930521091811415,0.2153888888888878,0.5213414634146342,0.33666666666666667
10502,no_development,4,0.62,0.88,0.6355555555555555,0.6358974358974359,0.2782777777777744,0.6364846870838882,0.8344444444444444
10502,linear_development,4,0.785,0.88,0.7777777777777778,0.7463768115942029,0.503277777777771,0.8016194331983806,0.8233333333333334
10502,sigmoid_development,4,0.6208146563901339,0.88,0.6233333333333333,0.6263982102908278,0.21127777777777615,0.6200814111261872,0.8188888888888889
10502,no_development,5,0.62,0.94,0.6366666666666667,0.6395939086294417,0.27744444444444083,0.6297709923664122,0.8733333333333333
10502,linear_development,5,0.86,0.94,0.8333333333333334,0.8233766233766234,0.6389999999999972,0.8611825192802056,0.8644444444444445
