model,level,decision_accuracy,decision_accuracy_std,high_stakes_accuracy,long_term_trajectory_value,ethical_sense_reliability_realized,ethical_sensitivity,deep_path_activation_rate
linear_development,1,0.5995659722222222,0.016378811573265675,0.5912312929917976,0.22147916666666612,0.5611588759890277,0.5,0.2117361111111111
linear_development,2,0.6145486111111111,0.015393126155764564,0.6278278394902995,0.2657977430555544,0.6350766615451778,0.64,0.27119791666666665
linear_development,3,0.6457899305555556,0.01471920673899828,0.6904491744069238,0.35150043402777587,0.708645420580367,0.79,0.3312760416666667
linear_development,4,0.7620225694444445,0.013963967569216584,0.7615746091926097,0.507308159722216,0.7848939721443342,0.88,0.8262326388888889
linear_development,5,0.8387847222222222,0.011062393195411057,0.838706796130738,0.6493337673611099,0.8600225339148604,0.94,0.8803385416666667
no_development,1,0.6125607638888889,0.01580942606910168,0.615427538816057,0.2550117187499992,0.61710269104912,0.5,0.210703125
no_development,2,0.6152256944444444,0.017460176674791165,0.6207403719952957,0.2599752604166656,0.6184371448577222,0.64,0.27098090277777775
no_development,3,0.6172743055555555,0.01925251325282009,0.6289180253690724,0.26496137152777643,0.6234378171799366,0.79,0.33514756944444446
no_development,4,0.6253298611111111,0.014804621338211362,0.6254132610792207,0.2475008680555526,0.6188281549416298,0.88,0.8246354166666666
no_development,5,0.6286284722222222,0.01508891657547997,0.6272748233327268,0.24808810763888586,0.6217689139354315,0.94,0.8812934027777778
sigmoid_development,1,0.5971440972222222,0.01777760476389456,0.5838998529008594,0.21191840277777732,0.5406676221922624,0.5,0.21006944444444445
sigmoid_development,2,0.5915711805555556,0.017326695985492878,0.5741383405678226,0.19485850694444404,0.5396178257672193,0.64,0.26862847222222225
sigmoid_development,3,0.5899913194444445,0.015294329596740925,0.5689973684329603,0.18498784722222184,0.5430190425465388,0.79,0.33270833333333333
sigmoid_development,4,0.6275607638888889,0.016430261904356466,0.6277850990640935,0.25146137152777476,0.6213210838852867,0.88,0.8254600694444445
sigmoid_development,5,0.8744444444444445,0.01210755082635356,0.8748892767559268,0.7181853298611139,0.9000499451345175,0.94,0.8800434027777778
