seed,model,phase,Q,TF,I,A,H,irreversible_recall,false_alarm_rate,violation_rate,trajectory
15600,static_quality,1,0.58,0.24,0.34,0.4,0.62,0.6979166666666666,0.18,0.40625,0.7634733333333289
15600,static_quality,2,0.58,0.24,0.34,0.4,0.62,0.6210526315789474,0.17583333333333334,0.43157894736842106,0.7544074999999959
15600,static_quality,3,0.58,0.24,0.34,0.4,0.62,0.6404494382022472,0.195,0.4606741573033708,0.7502283333333285
15600,static_quality,4,0.58,0.24,0.34,0.4,0.62,0.5714285714285714,0.19083333333333333,0.4880952380952381,0.750974999999996
15600,static_quality,5,0.58,0.24,0.34,0.4,0.62,0.8020833333333334,0.1675,0.2708333333333333,0.8312699999999956
15600,static_quality,6,0.58,0.24,0.34,0.4,0.62,0.696969696969697,0.16583333333333333,0.3939393939393939,0.7662666666666635
15600,linear_development,1,0.745132793515271,0.46714349524443954,0.5639366400664106,0.5793238120350839,0.4662821043433531,0.8117647058823529,0.1075,0.3058823529411765,0.84362333333333
15600,linear_development,2,0.8153042035727456,0.6667668068335013,0.7478894734802493,0.7369211632896069,0.3391564571962556,0.8,0.07833333333333334,0.2909090909090909,0.8198458333333309
15600,linear_development,3,0.8506078383518341,0.767763050352948,0.834596045263717,0.8166550397523277,0.2725569516602331,0.8641975308641975,0.07,0.25925925925925924,0.8765566666666653
15600,linear_development,4,0.8753864252617978,0.8448259578873488,0.8966892443051965,0.8774941772794864,0.2343767579310993,0.8526315789473684,0.065,0.29473684210526313,0.8423524999999982
15600,linear_development,5,0.890491464097019,0.892504936296908,0.9326946330244794,0.9151354760238753,0.21184491108793957,0.8488372093023255,0.04666666666666667,0.29069767441860467,0.8609116666666654
15600,linear_development,6,0.9033809625847415,0.9323698859204561,0.95,0.9466078046740447,0.1777304278826764,0.898989898989899,0.043333333333333335,0.2222222222222222,0.8774491666666652
15600,interaction_development,1,0.6699405885911169,0.4374866781976975,0.5354779218282415,0.5559105354192347,0.4948343890675521,0.6829268292682927,0.18416666666666667,0.3902439024390244,0.7976249999999961
15600,interaction_development,2,0.8057585736744618,0.635285954495392,0.7198747533246972,0.7120678588121523,0.3569552791601008,0.8645833333333334,0.1075,0.25,0.8537291666666643
15600,interaction_development,3,0.8709863788906258,0.7621047443596084,0.8298825378651015,0.8121879560733751,0.2671134777914318,0.9010989010989011,0.051666666666666666,0.21978021978021978,0.8852358333333324
15600,interaction_development,4,0.8987308854998605,0.8512271221825954,0.9016463961669129,0.8825477280388917,0.2033204789077241,0.9090909090909091,0.0425,0.21212121212121213,0.8821483333333328
15600,interaction_development,5,0.9096338912149223,0.9046948850830575,0.9415163234616792,0.9247591198024144,0.17081531968050503,0.9052631578947369,0.03833333333333333,0.22105263157894736,0.8828233333333327
15600,interaction_development,6,0.9139479872312768,0.937459245378924,0.95,0.95,0.1550391696452055,0.9222222222222223,0.04,0.2222222222222222,0.8874549999999995
15600,feedback_development,1,0.7049509943853214,0.5645093528865577,0.6172228859858708,0.5423446451272891,0.5156275402808931,0.6707317073170732,0.17083333333333334,0.45121951219512196,0.7754774999999965
15600,feedback_development,2,0.8591740729533015,0.851953068229309,0.8637473147975623,0.7120678588121523,0.3657256934106389,0.8333333333333334,0.0875,0.28703703703703703,0.822703333333331
15600,feedback_development,3,0.8939744939034353,0.9364915687272164,0.9389432902056649,0.7956785050553492,0.28202801957484674,0.9142857142857143,0.04666666666666667,0.18571428571428572,0.9214908333333321
15600,feedback_development,4,0.9059393741523305,0.95,0.95,0.872223190323646,0.22618368621023066,0.8653846153846154,0.03666666666666667,0.25,0.8584074999999984
15600,feedback_development,5,0.9100087767463696,0.95,0.95,0.9135893988840184,0.20192906718871598,0.8539325842696629,0.0325,0.2696629213483146,0.869564166666666
15600,feedback_development,6,0.9140089506739311,0.95,0.95,0.9453069376962897,0.16091523904951957,0.9032258064516129,0.030833333333333334,0.1827956989247312,0.9044274999999999
15601,static_quality,1,0.58,0.24,0.34,0.4,0.62,0.7525773195876289,0.16583333333333333,0.36082474226804123,0.7864766666666628
15601,static_quality,2,0.58,0.24,0.34,0.4,0.62,0.7127659574468085,0.18833333333333332,0.40425531914893614,0.7665366666666623
15601,static_quality,3,0.58,0.24,0.34,0.4,0.62,0.648936170212766,0.17333333333333334,0.425531914893617,0.7599116666666625
15601,static_quality,4,0.58,0.24,0.34,0.4,0.62,0.5972222222222222,0.185,0.4861111111111111,0.7823716666666619
15601,static_quality,5,0.58,0.24,0.34,0.4,0.62,0.7471264367816092,0.17,0.28735632183908044,0.8356283333333288
15601,static_quality,6,0.58,0.24,0.34,0.4,0.62,0.6162790697674418,0.18916666666666668,0.43023255813953487,0.771554166666662
15601,linear_development,1,0.7636039019033878,0.5189626409955399,0.613021513977581,0.6202336639438474,0.43218065793232235,0.8272727272727273,0.11833333333333333,0.3090909090909091,0.8009183333333304
15601,linear_development,2,0.824472669309134,0.688112130963845,0.7666366165377758,0.7537727349714571,0.30878177476704044,0.8571428571428571,0.08083333333333333,0.2087912087912088,0.8840658333333313
15601,linear_development,3,0.863471148630808,0.8037769229924727,0.8641296021765098,0.845087044467742,0.24183977315283792,0.8571428571428571,0.06916666666666667,0.26666666666666666,0.8417558333333317
15601,linear_development,4,0.8866200786401054,0.8720078383527452,0.9174871685743375,0.8989535565942729,0.1968287669489225,0.8571428571428571,0.059166666666666666,0.21978021978021978,0.8838399999999988
15601,linear_development,5,0.9036621206729796,0.9213895087852131,0.95,0.9379390858830634,0.15540363587799427,0.9292929292929293,0.04416666666666667,0.18181818181818182,0.8969083333333323
15601,linear_development,6,0.9099348016826945,0.9490316955015589,0.95,0.95,0.135366917571134,0.9550561797752809,0.04666666666666667,0.19101123595505617,0.9010358333333331
15601,interaction_development,1,0.6961031830913509,0.4735185904673351,0.5700201600008442,0.5843567819478961,0.4637268196807397,0.7032967032967034,0.12666666666666668,0.32967032967032966,0.8196933333333302
15601,interaction_development,2,0.8171235881635711,0.6503309613423764,0.7333159809948583,0.7239454957966136,0.3420406590778805,0.8351648351648352,0.08666666666666667,0.25274725274725274,0.8629783333333313
15601,interaction_development,3,0.8709338062221355,0.76495092319809,0.8322558465793454,0.8144349393669134,0.27435349993750263,0.8901098901098901,0.07,0.27472527472527475,0.8564841666666652
15601,interaction_development,4,0.8931430386215367,0.834205986563212,0.8883898209438399,0.8691099893920098,0.22938605497570838,0.9090909090909091,0.050833333333333335,0.24675324675324675,0.8906324999999988
15601,interaction_development,5,0.9054894154085463,0.8905465719197558,0.9312611992347122,0.9135893988840184,0.202524426862652,0.90625,0.0475,0.28125,0.8509733333333317
15601,interaction_development,6,0.9117406284834386,0.9286058445655938,0.95,0.9436361930781008,0.1811188038614586,0.8631578947368421,0.04,0.25263157894736843,0.8679574999999986
15601,feedback_development,1,0.7004477939715011,0.5646270151852899,0.6173055162308552,0.5423446451272891,0.5206466624581975,0.6785714285714286,0.1575,0.4642857142857143,0.7678574999999972
15601,feedback_development,2,0.8427903478926406,0.8158580303383074,0.8323098059088507,0.6848666393477959,0.3893035509216896,0.8452380952380952,0.09,0.2619047619047619,0.8670666666666648
15601,feedback_development,3,0.8904965085704102,0.9294649285162426,0.932564009298553,0.7868872826404926,0.2988128436369622,0.9080459770114943,0.056666666666666664,0.25287356321839083,0.8743799999999984
15601,feedback_development,4,0.9033239816561103,0.95,0.95,0.8496789980790707,0.24135146485998868,0.88,0.0425,0.22666666666666666,0.9021833333333327
15601,feedback_development,5,0.9091117033916072,0.95,0.95,0.9019487907831413,0.20579479168511455,0.8762886597938144,0.03916666666666667,0.26804123711340205,0.8579199999999986
15601,feedback_development,6,0.912880355908702,0.95,0.95,0.9324836763133354,0.17016352541535856,0.9078947368421053,0.029166666666666667,0.18421052631578946,0.9199899999999999
15602,static_quality,1,0.58,0.24,0.34,0.4,0.62,0.7325581395348837,0.185,0.3372093023255814,0.8124316666666619
15602,static_quality,2,0.58,0.24,0.34,0.4,0.62,0.7419354838709677,0.18666666666666668,0.3763440860215054,0.7826841666666619
15602,static_quality,3,0.58,0.24,0.34,0.4,0.62,0.6853932584269663,0.1825,0.42696629213483145,0.7676549999999956
15602,static_quality,4,0.58,0.24,0.34,0.4,0.62,0.7142857142857143,0.20166666666666666,0.3238095238095238,0.7832116666666623
15602,static_quality,5,0.58,0.24,0.34,0.4,0.62,0.6631578947368421,0.1675,0.4105263157894737,0.7661808333333294
15602,static_quality,6,0.58,0.24,0.34,0.4,0.62,0.7012987012987013,0.19833333333333333,0.35064935064935066,0.819939166666661
15602,linear_development,1,0.7596521343566611,0.5042680792933337,0.5991881262342065,0.6086326941789476,0.42968762011923867,0.851063829787234,0.11666666666666667,0.24468085106382978,0.8566741666666646
15602,linear_development,2,0.8086881135000161,0.6482202830406202,0.7314360332274504,0.7222791708215428,0.3525248823275548,0.7272727272727273,0.08416666666666667,0.3522727272727273,0.8239033333333311
15602,linear_development,3,0.8479736824056743,0.7663612176589014,0.83343005565329,0.8155483297307119,0.2917807229888616,0.7864077669902912,0.08,0.33980582524271846,0.8044824999999977
15602,linear_development,4,0.8765242422686903,0.8429469755022578,0.8952275640512759,0.8760107701333619,0.2187163356993686,0.9358974358974359,0.04,0.15384615384615385,0.9280008333333327
15602,linear_development,5,0.8929172500139808,0.8944282611956175,0.9340981749277608,0.9166538904175933,0.1935874692649643,0.8666666666666667,0.050833333333333335,0.26666666666666666,0.8656741666666651
15602,linear_development,6,0.9020145273302447,0.9259808056049071,0.95,0.9415637938986113,0.1793110058821394,0.875,0.0425,0.2625,0.882409166666666
15602,interaction_development,1,0.6918926550471131,0.46714349524443954,0.5639366400664106,0.5793238120350839,0.46669806746784204,0.8,0.16666666666666666,0.3058823529411765,0.830931666666663
15602,interaction_development,2,0.8042991259951007,0.630869679339004,0.7159114337367587,0.7085813257939512,0.36108524282163346,0.8255813953488372,0.10416666666666667,0.29069767441860467,0.8492824999999975
15602,interaction_development,3,0.8646566516199621,0.753357749443585,0.8225592337758626,0.8052824337712515,0.2953308217096228,0.826530612244898,0.05,0.3163265306122449,0.8307241666666654
15602,interaction_development,4,0.8927140249806093,0.834205986563212,0.8883898209438399,0.8691099893920098,0.23408719858025545,0.8953488372093024,0.05583333333333333,0.23255813953488372,0.8845983333333323
15602,interaction_development,5,0.9049340246228097,0.8885525297086495,0.929797236937012,0.9120151550331449,0.20598150376669225,0.8478260869565217,0.04666666666666667,0.2826086956521739,0.856618333333332
15602,interaction_development,6,0.9118167360961653,0.9237196930346957,0.95,0.9397787050273917,0.1720924043967003,0.8846153846153846,0.02666666666666667,0.19230769230769232,0.9154383333333332
15602,feedback_development,1,0.7980442884525201,0.7222709428306741,0.7516574098821789,0.6247771883884232,0.41645243954144423,0.8207547169811321,0.1425,0.2641509433962264,0.8261766666666632
15602,feedback_development,2,0.8749184918855569,0.8836285006849037,0.8915098885500619,0.7384996363098693,0.3235706008783289,0.8375,0.06416666666666666,0.25,0.8827816666666647
15602,feedback_development,3,0.9035971904497628,0.95,0.95,0.8364651638312322,0.22574733112736983,0.9239130434782609,0.0375,0.15217391304347827,0.9179941666666666
15602,feedback_development,4,0.9097474443535176,0.95,0.95,0.891386347333852,0.18628606126267283,0.9310344827586207,0.0375,0.21839080459770116,0.8931858333333327
15602,feedback_development,5,0.9128186371772007,0.95,0.95,0.929578690627303,0.16867620948788437,0.875,0.03166666666666667,0.25,0.8694133333333326
15602,feedback_development,6,0.9151068247960448,0.95,0.95,0.95,0.14314955187867304,0.9010989010989011,0.035833333333333335,0.18681318681318682,0.9038791666666659
15603,static_quality,1,0.58,0.24,0.34,0.4,0.62,0.6705882352941176,0.17666666666666667,0.4470588235294118,0.7691824999999959
15603,static_quality,2,0.58,0.24,0.34,0.4,0.62,0.8064516129032258,0.1775,0.3010752688172043,0.8188766666666619
15603,static_quality,3,0.58,0.24,0.34,0.4,0.62,0.7415730337078652,0.19083333333333333,0.33707865168539325,0.8060474999999948
15603,static_quality,4,0.58,0.24,0.34,0.4,0.62,0.6966292134831461,0.19333333333333333,0.34831460674157305,0.8007266666666618
15603,static_quality,5,0.58,0.24,0.34,0.4,0.62,0.7349397590361446,0.17833333333333334,0.30120481927710846,0.8335791666666621
15603,static_quality,6,0.58,0.24,0.34,0.4,0.62,0.7582417582417582,0.185,0.3626373626373626,0.7924349999999951
15603,linear_development,1,0.7579370669353578,0.5042680792933337,0.5991881262342065,0.6086326941789476,0.446021595560223,0.8301886792452831,0.1125,0.330188679245283,0.7973249999999974
15603,linear_development,2,0.8159099290340772,0.6647553388667016,0.7461122592953164,0.735333162263186,0.3280109601006583,0.8780487804878049,0.0825,0.2073170731707317,0.8938891666666651
15603,linear_development,3,0.8546390444293237,0.780007042557628,0.8447294377643383,0.8263213493876014,0.2640193113350551,0.8958333333333334,0.075,0.2708333333333333,0.8504591666666641
15603,linear_development,4,0.8817793724744589,0.8624227066228786,0.910230148196326,0.891386347333852,0.21510407339101495,0.9038461538461539,0.045,0.25,0.8568533333333314
15603,linear_development,5,0.8966873271808857,0.9075199339314077,0.9435347950369137,0.9269894215247961,0.190545796389444,0.8764044943820225,0.05333333333333334,0.25842696629213485,0.869867499999999
15603,linear_development,6,0.9067437101919119,0.9418165150766571,0.95,0.95,0.1585430846774953,0.9072164948453608,0.04,0.20618556701030927,0.8878558333333327
15603,interaction_development,1,0.6837661087117396,0.45743581973731673,0.5546495953224815,0.5716598576873552,0.48002432507894605,0.7045454545454546,0.16833333333333333,0.36363636363636365,0.800749166666663
15603,interaction_development,2,0.8066605420521906,0.635285954495392,0.7198747533246972,0.7120678588121523,0.3599645982652512,0.782608695652174,0.10916666666666666,0.2826086956521739,0.8434399999999975
15603,interaction_development,3,0.8618665403257595,0.7427456164316879,0.8136159842115139,0.7969044340250171,0.29067588274613093,0.8354430379746836,0.07916666666666666,0.26582278481012656,0.8748533333333313
15603,interaction_development,4,0.8931507119086699,0.831185521449051,0.8860128069086998,0.8667254116703038,0.21858688083156902,0.9069767441860465,0.05416666666666667,0.18604651162790697,0.9047483333333328
15603,interaction_development,5,0.9050284978478083,0.8851480712022659,0.9272876864653863,0.9093274246333682,0.19706598341537,0.8636363636363636,0.0525,0.2727272727272727,0.8652899999999984
15603,interaction_development,6,0.9102435431559979,0.9180071807898276,0.95,0.935268826939338,0.18946419121879798,0.825,0.024166666666666666,0.3,0.8715224999999994
15603,feedback_development,1,0.7130817955181581,0.5811669051188804,0.6314289565509985,0.5505331135902283,0.5138492359108295,0.717391304347826,0.15666666666666668,0.4782608695652174,0.7432824999999963
15603,feedback_development,2,0.8479473547453593,0.8284902048352359,0.8433144047818677,0.6942078708059725,0.3857172939946199,0.7802197802197802,0.09,0.2967032967032967,0.8422124999999978
15603,feedback_development,3,0.8962938775643965,0.9401243254448453,0.942264907781185,0.8005382637600837,0.26697971792556724,0.9135802469135802,0.050833333333333335,0.12345679012345678,0.9354725
15603,feedback_development,4,0.9064736525611505,0.95,0.95,0.8691099893920098,0.21817962810611866,0.9139784946236559,0.03666666666666667,0.24731182795698925,0.8733374999999991
15603,feedback_development,5,0.9094666140096055,0.95,0.95,0.9082294821579054,0.2057891633374987,0.8235294117647058,0.041666666666666664,0.3058823529411765,0.8574591666666652
15603,feedback_development,6,0.9143678513391931,0.95,0.95,0.945635096070112,0.15443092189425633,0.9423076923076923,0.025,0.16346153846153846,0.905659166666666
15604,static_quality,1,0.58,0.24,0.34,0.4,0.62,0.7419354838709677,0.20416666666666666,0.34408602150537637,0.7933291666666616
15604,static_quality,2,0.58,0.24,0.34,0.4,0.62,0.7070707070707071,0.18833333333333332,0.43434343434343436,0.7415733333333286
15604,static_quality,3,0.58,0.24,0.34,0.4,0.62,0.6091954022988506,0.17416666666666666,0.45977011494252873,0.7597566666666627
15604,static_quality,4,0.58,0.24,0.34,0.4,0.62,0.7926829268292683,0.16333333333333333,0.3170731707317073,0.8321874999999956
15604,static_quality,5,0.58,0.24,0.34,0.4,0.62,0.7701149425287356,0.1825,0.28735632183908044,0.8330149999999947
15604,static_quality,6,0.58,0.24,0.34,0.4,0.62,0.75,0.16833333333333333,0.3194444444444444,0.8460858333333297
15604,linear_development,1,0.7415580635814578,0.45743581973731673,0.5546495953224815,0.5716598576873552,0.473668476733269,0.7682926829268293,0.13666666666666666,0.3170731707317073,0.8374399999999969
15604,linear_development,2,0.8037941423673671,0.630869679339004,0.7159114337367587,0.7085813257939512,0.35256108299002725,0.8604651162790697,0.11,0.2558139534883721,0.8631666666666643
15604,linear_development,3,0.8495775834201695,0.7635321158934507,0.8310733601000457,0.8133148283369349,0.269086176519292,0.92,0.060833333333333336,0.26,0.8532891666666652
15604,linear_development,4,0.8714739808072612,0.8281100289589509,0.8835851684970822,0.8642973912833827,0.22458833495081404,0.8970588235294118,0.06833333333333333,0.22058823529411764,0.9068599999999984
15604,linear_development,5,0.8902895963036297,0.8823497767962704,0.9252156076667729,0.9071182448391613,0.1881160454581115,0.8170731707317073,0.05416666666666667,0.23170731707317074,0.8903824999999982
15604,linear_development,6,0.9032546685091454,0.9218611717325018,0.95,0.9383114513677651,0.16012816110840633,0.9294117647058824,0.04583333333333333,0.2,0.9018883333333326
15604,interaction_development,1,0.6831723269618789,0.45743581973731673,0.5546495953224815,0.5716598576873552,0.4829684921861508,0.6555555555555556,0.155,0.37777777777777777,0.7937858333333295
15604,interaction_development,2,0.8244939877191004,0.6647553388667016,0.7461122592953164,0.735333162263186,0.33727482616017823,0.8113207547169812,0.11833333333333333,0.24528301886792453,0.8414941666666637
15604,interaction_development,3,0.8770383001591304,0.7773431763191099,0.8425326102093692,0.8242182970940345,0.25285433809156405,0.9058823529411765,0.07416666666666667,0.2,0.8956941666666652
15604,interaction_development,4,0.8955616792861179,0.8429469755022578,0.8952275640512759,0.8760107701333619,0.2222144449764063,0.8271604938271605,0.049166666666666664,0.2839506172839506,0.8710108333333325
15604,interaction_development,5,0.909072606929842,0.901783537626425,0.9394256972293831,0.9224606875998098,0.17335598327992174,0.9166666666666666,0.03666666666666667,0.1875,0.8985283333333327
15604,interaction_development,6,0.9135019532211409,0.9343745881451029,0.95,0.9481904643250817,0.15896469442205902,0.9204545454545454,0.028333333333333332,0.23863636363636365,0.8856433333333323
15604,feedback_development,1,0.7745667340786517,0.6764383329360243,0.7124889580017989,0.5990972779779944,0.4408747164889322,0.8571428571428571,0.14916666666666667,0.26373626373626374,0.84442333333333
15604,feedback_development,2,0.8728096068624631,0.8729407054640537,0.8820598785153474,0.7288847226135935,0.3154284138157081,0.9210526315789473,0.065,0.14473684210526316,0.9273874999999998
15604,feedback_development,3,0.8995131214844141,0.948147419018471,0.9495516074439365,0.8110542817639589,0.25179267230238256,0.9102564102564102,0.056666666666666664,0.23076923076923078,0.8944633333333321
15604,feedback_development,4,0.909497688410361,0.95,0.95,0.8839529270206343,0.18347838122989046,0.9278350515463918,0.035833333333333335,0.16494845360824742,0.9084116666666663
15604,feedback_development,5,0.9132845996103631,0.95,0.95,0.9238480377257655,0.15503112184912315,0.9186046511627907,0.03666666666666667,0.18604651162790697,0.9088616666666661
15604,feedback_development,6,0.9154183825070057,0.95,0.95,0.95,0.13780839975985343,0.9052631578947369,0.03666666666666667,0.2,0.8934866666666664
15605,static_quality,1,0.58,0.24,0.34,0.4,0.62,0.6179775280898876,0.18583333333333332,0.4943820224719101,0.7375266666666626
15605,static_quality,2,0.58,0.24,0.34,0.4,0.62,0.6551724137931034,0.18833333333333332,0.42528735632183906,0.7716649999999959
15605,static_quality,3,0.58,0.24,0.34,0.4,0.62,0.7816091954022989,0.18166666666666667,0.3448275862068966,0.8080499999999959
15605,static_quality,4,0.58,0.24,0.34,0.4,0.62,0.7083333333333334,0.19,0.3645833333333333,0.7810058333333286
15605,static_quality,5,0.58,0.24,0.34,0.4,0.62,0.6310679611650486,0.17166666666666666,0.46601941747572817,0.720219166666663
15605,static_quality,6,0.58,0.24,0.34,0.4,0.62,0.68,0.18416666666666667,0.42,0.7473974999999959
15605,linear_development,1,0.7624148587719658,0.5131378218967122,0.6075463937163172,0.6156351225500359,0.4276063974776767,0.79,0.11416666666666667,0.26,0.8422066666666638
15605,linear_development,2,0.8164271237745236,0.6667668068335013,0.7478894734802493,0.7369211632896069,0.3284619790840845,0.8390804597701149,0.0875,0.27586206896551724,0.8579999999999982
15605,linear_development,3,0.8551794693631576,0.7813270003022822,0.8458163316999879,0.8273634212912758,0.26232133078728315,0.8350515463917526,0.065,0.27835051546391754,0.8473024999999985
15605,linear_development,4,0.8810982875142123,0.8590707231213458,0.9076719816680596,0.888740044569484,0.21880208538062496,0.8282828282828283,0.0575,0.26262626262626265,0.8540366666666652
15605,linear_development,5,0.8955128702773931,0.9091746072492013,0.9447122833235743,0.9282957425651593,0.20586958287704832,0.8207547169811321,0.04583333333333333,0.3113207547169811,0.8215699999999987
15605,linear_development,6,0.9041887196841631,0.9418165150766571,0.95,0.95,0.18287632760843595,0.88,0.041666666666666664,0.26,0.8572391666666658
15605,interaction_development,1,0.7023448352721858,0.4798174140509839,0.5760188087486724,0.5893295374086714,0.4508225270920181,0.7586206896551724,0.15916666666666668,0.27586206896551724,0.8428374999999968
15605,interaction_development,2,0.8087106242449433,0.6374742387684197,0.7218356300514243,0.7137954516592794,0.35474495910835674,0.8181818181818182,0.09666666666666666,0.3181818181818182,0.8356841666666646
15605,interaction_development,3,0.8663493899032135,0.7503711903651132,0.8200487336591412,0.8029246239724581,0.2754253360726659,0.8765432098765432,0.07916666666666666,0.2345679012345679,0.8843483333333313
