seed,model,final_ethical_signal_quality,phase_crossing_index,irreversible_recall_final_phase,false_alarm_rate_final_phase,irreversible_core_violation_rate_final_phase,net_vigilance_value_final_phase,developmental_maturity_final,final_TF,final_I,final_A,final_H
15600,static_quality,0.58,99,0.696969696969697,0.16583333333333333,0.3939393939393939,0.6886818181818182,0.34,0.24,0.34,0.4,0.62
15600,linear_development,0.9033809625847415,2,0.898989898989899,0.043333333333333335,0.2222222222222222,0.8869414878220547,0.9128118156779561,0.9323698859204561,0.95,0.9466078046740447,0.1777304278826764
15600,interaction_development,0.9139479872312768,2,0.9222222222222223,0.04,0.2222222222222222,0.8996477536402471,0.9206050189334297,0.937459245378924,0.95,0.95,0.1550391696452055
15600,feedback_development,0.9140089506739311,2,0.9032258064516129,0.030833333333333334,0.1827956989247312,0.9008271490527026,0.9210979246616925,0.95,0.95,0.9453069376962897,0.16091523904951957
15601,static_quality,0.58,99,0.6162790697674418,0.18916666666666668,0.43023255813953487,0.6404457364341085,0.34,0.24,0.34,0.4,0.62
15601,linear_development,0.9099348016826945,2,0.9550561797752809,0.04666666666666667,0.19101123595505617,0.918729920626936,0.9284161944826061,0.9490316955015589,0.95,0.95,0.135366917571134
15601,interaction_development,0.9117406284834386,2,0.8631578947368421,0.04,0.25263157894736843,0.8666558311146211,0.9102808084455589,0.9286058445655938,0.95,0.9436361930781008,0.1811188038614586
15601,feedback_development,0.912880355908702,2,0.9078947368421053,0.029166666666666667,0.18421052631578946,0.9028092463687615,0.9155800377244943,0.95,0.95,0.9324836763133354,0.17016352541535856
15602,static_quality,0.58,99,0.7012987012987013,0.19833333333333333,0.35064935064935066,0.6927878787878787,0.34,0.24,0.34,0.4,0.62
15602,linear_development,0.9020145273302447,2,0.875,0.0425,0.2625,0.8680521790995367,0.9095583984053447,0.9259808056049071,0.95,0.9415637938986113,0.1793110058821394
15602,interaction_development,0.9118167360961653,2,0.8846153846153846,0.02666666666666667,0.19230769230769232,0.891054561696476,0.9103514984163468,0.9237196930346957,0.95,0.9397787050273917,0.1720924043967003
15602,feedback_development,0.9151068247960448,2,0.9010989010989011,0.035833333333333335,0.18681318681318682,0.8982312251846081,0.9267126120303316,0.95,0.95,0.95,0.14314955187867304
15603,static_quality,0.58,99,0.7582417582417582,0.185,0.3626373626373626,0.7186813186813187,0.34,0.24,0.34,0.4,0.62
15603,linear_development,0.9067437101919119,2,0.9072164948453608,0.04,0.20618556701030927,0.8950218658071374,0.9208183575997904,0.9418165150766571,0.95,0.95,0.1585430846774953
15603,interaction_development,0.9102435431559979,2,0.825,0.024166666666666666,0.3,0.8429531981400664,0.903452954127592,0.9180071807898276,0.95,0.935268826939338,0.18946419121879798
15603,feedback_development,0.9143678513391931,2,0.9423076923076923,0.025,0.16346153846153846,0.9235013315470327,0.922801043543964,0.95,0.95,0.945635096070112,0.15443092189425633
15604,static_quality,0.58,99,0.75,0.16833333333333333,0.3194444444444444,0.7269444444444444,0.34,0.24,0.34,0.4,0.62
15604,linear_development,0.9032546685091454,2,0.9294117647058824,0.04583333333333333,0.2,0.9045568277273522,0.9125111154979652,0.9218611717325018,0.95,0.9383114513677651,0.16012816110840633
15604,interaction_development,0.9135019532211409,2,0.9204545454545454,0.028333333333333332,0.23863636363636365,0.8978358990437773,0.9184000895120313,0.9343745881451029,0.95,0.9481904643250817,0.15896469442205902
15604,feedback_development,0.9154183825070057,2,0.9052631578947369,0.03666666666666667,0.2,0.8973478450953492,0.9280479000600366,0.95,0.95,0.95,0.13780839975985343
15605,static_quality,0.58,99,0.68,0.18416666666666667,0.42,0.6721666666666667,0.34,0.24,0.34,0.4,0.62
15605,linear_development,0.9041887196841631,2,0.88,0.041666666666666664,0.26,0.8712949746192912,0.9147350468670552,0.9418165150766571,0.95,0.95,0.18287632760843595
15605,interaction_development,0.9131009252785194,2,0.9120879120879121,0.0325,0.15384615384615385,0.9101354684621075,0.9162561604939874,0.9277413419810552,0.95,0.9429536910376756,0.15567039104278077
15605,feedback_development,0.9139443206268927,2,0.9230769230769231,0.04083333333333333,0.1794871794871795,0.9084121609145468,0.9206369868203347,0.95,0.95,0.9394151962046194,0.15686724892328072
15606,static_quality,0.58,99,0.6923076923076923,0.1975,0.37362637362637363,0.6843131868131868,0.34,0.24,0.34,0.4,0.62
15606,linear_development,0.9093443899512766,3,0.9191919191919192,0.04083333333333333,0.1414141414141414,0.9135885271795602,0.9270104522649445,0.9363198666786293,0.95,0.9497262105357603,0.12800426815461186
15606,interaction_development,0.9130079326070373,2,0.8279569892473119,0.03833333333333333,0.3225806451612903,0.8373490393534213,0.9163803474749825,0.9403989113665004,0.95,0.95,0.17487752146656982
15606,feedback_development,0.9142284535254371,2,0.8554216867469879,0.035,0.3253012048192771,0.8500137861011047,0.9222623018345404,0.95,0.95,0.95,0.16095079266183812
15607,static_quality,0.58,99,0.7115384615384616,0.16916666666666666,0.4230769230769231,0.6887435897435897,0.34,0.24,0.34,0.4,0.62
15607,linear_development,0.9087437890576859,2,0.92,0.028333333333333332,0.22666666666666666,0.899311568358653,0.9255804501373475,0.9438799516763187,0.95,0.95,0.14155815112692866
15607,interaction_development,0.9158446813877228,2,0.9772727272727273,0.023333333333333334,0.1590909090909091,0.9406645809960373,0.9301205250582532,0.9452147593206394,0.95,0.95,0.1247326590876271
15607,feedback_development,0.9133484646260491,2,0.8354430379746836,0.04583333333333333,0.26582278481012656,0.8506204131538231,0.9180411409714694,0.95,0.95,0.9446446664861298,0.17248010260025207
15608,static_quality,0.58,99,0.68,0.18416666666666667,0.38,0.6801666666666667,0.34,0.24,0.34,0.4,0.62
15608,linear_development,0.9038343001822091,2,0.896551724137931,0.0325,0.21839080459770116,0.8888452599698601,0.9132712506052375,0.9323698859204561,0.95,0.9466078046740447,0.1758926881735507
15608,interaction_development,0.9140508859411027,2,0.8961038961038961,0.04,0.22077922077922077,0.8881985419820746,0.9209708337766827,0.9343745881451029,0.95,0.9481904643250817,0.148681717363454
15608,feedback_development,0.9150804133172136,2,0.9620253164556962,0.04,0.13924050632911392,0.9343253531368226,0.9263663050032047,0.95,0.95,0.95,0.144534779987181
15609,static_quality,0.58,99,0.7142857142857143,0.19833333333333333,0.3626373626373626,0.6962344322344323,0.34,0.24,0.34,0.4,0.62
15609,linear_development,0.9006652969463751,3,0.8762886597938144,0.043333333333333335,0.24742268041237114,0.8712784887000318,0.906345945110417,0.9199573687374554,0.95,0.9368084490032547,0.1813820372990424
15609,interaction_development,0.9126001158724106,2,0.9010989010989011,0.03166666666666667,0.2967032967032967,0.8767105302013745,0.9142661488155696,0.9331790126053038,0.95,0.9472465888989244,0.1733610062419498
15609,feedback_development,0.914892641416966,2,0.9010989010989011,0.03166666666666667,0.24175824175824176,0.8880434200220687,0.9254454480333134,0.95,0.95,0.95,0.1482182078667458
15610,static_quality,0.58,99,0.7241379310344828,0.18583333333333332,0.3563218390804598,0.7044310344827586,0.34,0.24,0.34,0.4,0.62
15610,linear_development,0.908609706386891,2,0.8901098901098901,0.035833333333333335,0.1978021978021978,0.8901138002803779,0.9252612056830737,0.9458702099401273,0.95,0.95,0.14482538720783253
15610,interaction_development,0.9105887228663501,3,0.9072164948453608,0.04083333333333333,0.20618556701030927,0.8954319510416364,0.9047855511227552,0.9165134208831681,0.9498907233735747,0.9340895428025016,0.18135148256822414
15610,feedback_development,0.9154547914667468,2,0.9431818181818182,0.04083333333333333,0.13636363636363635,0.9263106429624364,0.9282309419450043,0.95,0.95,0.95,0.13707623221998252
15611,static_quality,0.58,99,0.7157894736842105,0.18333333333333332,0.4105263157894737,0.6903333333333332,0.34,0.24,0.34,0.4,0.62
15611,linear_development,0.9057640062398802,2,0.9555555555555556,0.04083333333333333,0.17777777777777778,0.9221423787137599,0.9184857291425719,0.9331790126053038,0.95,0.9472465888989244,0.15648268493394057
15611,interaction_development,0.9134664194792981,2,0.92,0.030833333333333334,0.22666666666666666,0.8995199629218946,0.9182739124315622,0.9351597305725349,0.95,0.9488103136098964,0.16087439445618226
15611,feedback_development,0.9143320006500157,2,0.8783783783783784,0.0325,0.1891891891891892,0.8880822325299348,0.9224911986497946,0.95,0.95,0.9401400327972274,0.1501752381980488
15612,static_quality,0.58,99,0.7127659574468085,0.18916666666666668,0.3723404255319149,0.6954432624113475,0.34,0.24,0.34,0.4,0.62
15612,linear_development,0.9062146538604565,2,0.9024390243902439,0.04,0.2073170731707317,0.8925663444205321,0.919966347469747,0.9347683406162323,0.95,0.9485013215391312,0.15340427227637518
15612,interaction_development,0.911315104097094,2,0.8979591836734694,0.03333333333333333,0.30612244897959184,0.8728877418050403,0.9084553498736634,0.9281748939291689,0.95,0.9432959688914495,0.18764946332596444
15612,feedback_development,0.9158940659411721,2,0.90625,0.03916666666666667,0.20833333333333334,0.8956966098911758,0.9304690170608654,0.95,0.95,0.95,0.12812393175653827
15613,static_quality,0.58,99,0.7070707070707071,0.18666666666666668,0.37373737373737376,0.6931010101010101,0.34,0.24,0.34,0.4,0.62
15613,linear_development,0.9095806603502805,2,0.9270833333333334,0.0375,0.17708333333333334,0.9107079323858754,0.9275730008340014,0.9448840637028565,0.95,0.95,0.134592060366851
15613,interaction_development,0.9114327631294109,2,0.8823529411764706,0.0325,0.3058823529411765,0.866097267410588,0.9089001022009089,0.9273051730191701,0.95,0.9426093471203979,0.1843141113359323
15613,feedback_development,0.9136976647951167,2,0.9431818181818182,0.03333333333333333,0.26136363636363635,0.9025470739616918,0.9197981052538686,0.95,0.95,0.95,0.17080757898452517
15614,static_quality,0.58,99,0.6976744186046512,0.18333333333333332,0.37209302325581395,0.6898682170542636,0.34,0.24,0.34,0.4,0.62
15614,linear_development,0.903735413326985,2,0.8936170212765957,0.03916666666666667,0.23404255319148937,0.8830461276018846,0.913655746016631,0.9311377883554746,0.95,0.945635096070112,0.17214990035906233
15614,interaction_development,0.9120383801184797,3,0.896551724137931,0.04666666666666667,0.1839080459770115,0.8941390903511054,0.9112087535324029,0.9213895087852131,0.95,0.9379390858830634,0.1644935805386646
15614,feedback_development,0.9134898282092194,2,0.9108910891089109,0.04,0.26732673267326734,0.8854591177957395,0.9187631491406254,0.95,0.95,0.9472465888989244,0.17219399233642302
15615,static_quality,0.58,99,0.6753246753246753,0.19,0.44155844155844154,0.6645844155844156,0.34,0.24,0.34,0.4,0.62
15615,linear_development,0.9015404255237183,2,0.8555555555555555,0.04416666666666667,0.24444444444444444,0.8625088416063356,0.9084295845802819,0.9259808056049071,0.95,0.9415637938986113,0.18382626118239062
15615,interaction_development,0.9150666728748313,2,0.9615384615384616,0.0275,0.15384615384615385,0.9336830778543016,0.9259829005288636,0.9359354795559651,0.95,0.9494227470178676,0.1314266244583787
15615,feedback_development,0.9140105311991502,2,0.9204545454545454,0.041666666666666664,0.2159090909090909,0.8997909736192664,0.9211330236031626,0.95,0.95,0.9462855177807291,0.16175342336807827
15616,static_quality,0.58,99,0.7171717171717171,0.17416666666666666,0.35353535353535354,0.7041868686868686,0.34,0.24,0.34,0.4,0.62
15616,linear_development,0.9051021182947079,2,0.90625,0.050833333333333335,0.20833333333333334,0.891744484410873,0.9169098054635902,0.9303039447504692,0.95,0.9449767984872129,0.157641521383321
15616,interaction_development,0.9128482843119048,3,0.9326923076923077,0.04083333333333333,0.22115384615384615,0.9042413452108883,0.9149900810855883,0.9250845167634653,0.95,0.9408561974448414,0.15598038986595344
15616,feedback_development,0.9154488001213061,2,0.9111111111111111,0.043333333333333335,0.14444444444444443,0.9097617644626403,0.9281669438167012,0.95,0.95,0.9485013215391312,0.13583354627232644
15617,static_quality,0.58,99,0.6,0.1775,0.4666666666666667,0.6281666666666667,0.34,0.24,0.34,0.4,0.62
15617,linear_development,0.9053593399382206,2,0.8651685393258427,0.04833333333333333,0.2696629213483146,0.8615304927510328,0.9175222379481444,0.9355487721890997,0.95,0.949117451728237,0.16457727212475928
15617,interaction_development,0.914131004374146,3,0.8850574712643678,0.04083333333333333,0.16091954022988506,0.8950449380124438,0.9213522679846742,0.9343745881451029,0.95,0.9481904643250817,0.14715598053148776
15617,feedback_development,0.9145265807201032,2,0.8909090909090909,0.03833333333333333,0.22727272727272727,0.8849668658958942,0.9236770381290671,0.95,0.95,0.95,0.1552918474837315
15618,static_quality,0.58,99,0.7870370370370371,0.17916666666666667,0.3425925925925926,0.7368148148148148,0.34,0.24,0.34,0.4,0.62
15618,linear_development,0.9069909585552164,2,0.9056603773584906,0.034166666666666665,0.2358490566037736,0.8895926689405151,0.9214070441790868,0.9414653069181661,0.95,0.95,0.15583713020181875
15618,interaction_development,0.9123935520050792,3,0.875,0.03333333333333333,0.22115384615384615,0.879711596903326,0.913009562344785,0.9264249207712777,0.95,0.9419144111352197,0.16630108252735723
15618,feedback_development,0.9141261378076325,2,0.8928571428571429,0.029166666666666667,0.23809523809523808,0.8854522540044782,0.9220262319426057,0.95,0.95,0.95,0.16189507222957686
15619,static_quality,0.58,99,0.6702127659574468,0.18583333333333332,0.3617021276595745,0.6790886524822695,0.34,0.24,0.34,0.4,0.62
15619,linear_development,0.9034185449428733,2,0.8367346938775511,0.0325,0.23469387755102042,0.8586046184761249,0.912901297483032,0.9281748939291689,0.95,0.9432959688914495,0.16986567288849014
15619,interaction_development,0.913793692127166,2,0.8241758241758241,0.04583333333333333,0.27472527472527475,0.8438364530864743,0.9200172911916891,0.94251262229028,0.95,0.95,0.16244345752352377
