seed,model,final_ethical_signal_quality,phase_crossing_index,irreversible_recall_final_phase,false_alarm_rate_final_phase,irreversible_core_violation_rate_final_phase,net_vigilance_value_final_phase,developmental_maturity_final,final_TF,final_I,final_A,final_H
15800,static_quality,0.58,99,1.0,0.0,1.0,0.737,0.34,0.24,0.34,0.4,0.62
15800,linear_development,0.907524479432444,2,1.0,0.0,0.0,0.9861286719148666,0.9226773319820096,0.95,0.95,0.95,0.15929067207196096
15800,interaction_development,0.9153427724814163,2,0.0,0.0,0.0,0.5373014158722125,0.9276689609410738,0.95,0.95,0.95,0.1393241562357046
15800,feedback_development,0.9149964489056929,1,1.0,0.0,0.0,0.9872494673358541,0.9259533639342692,0.95,0.95,0.95,0.14618654426292274
15801,static_quality,0.58,99,0.0,0.0,1.0,0.28700000000000003,0.34,0.24,0.34,0.4,0.62
15801,linear_development,0.9081219105007801,2,0.0,0.0,0.0,0.536218286575117,0.9240997869066193,0.95,0.95,0.95,0.15360085237352242
15801,interaction_development,0.9132026833063491,2,1.0,0.0,0.5,0.8869804024959523,0.917560713207368,0.95,0.95,0.95,0.179757147170528
15801,feedback_development,0.9131460432747882,2,0.0,0.0,0.0,0.5369719064912183,0.9173083004611268,0.95,0.95,0.95,0.18076679815549243
15802,static_quality,0.58,99,0.0,0.25,0.0,0.43700000000000006,0.34,0.24,0.34,0.4,0.62
15802,linear_development,0.907408562535446,2,0.0,0.0,0.0,0.5361112843803169,0.9224013393701095,0.95,0.95,0.95,0.16039464251956168
15802,interaction_development,0.9135655652554158,2,0.0,0.0,1.0,0.33703483478831237,0.9191953893026493,0.95,0.95,0.95,0.17321844278940224
15802,feedback_development,0.9144551288205429,2,1.0,0.0,0.0,0.9871682693230815,0.9235708968546023,0.95,0.95,0.95,0.15571641258159055
15803,static_quality,0.58,99,0.0,0.25,0.0,0.43700000000000006,0.34,0.24,0.34,0.4,0.62
15803,linear_development,0.9066389102940375,2,1.0,0.25,0.0,0.9359958365441057,0.9205688340334228,0.95,0.95,0.95,0.1677246638663084
15803,interaction_development,0.9142424834718339,2,0.0,0.0,0.0,0.5371363725207751,0.922328376739235,0.95,0.95,0.95,0.16068649304305993
15803,feedback_development,0.9151539939473661,1,0.0,0.0,0.0,0.537273099092105,0.9267297457527285,0.95,0.95,0.95,0.14308101698908557
15804,static_quality,0.58,99,1.0,0.25,0.0,0.887,0.34,0.24,0.34,0.4,0.62
