seed,model,final_ethical_signal_quality,phase_crossing_index,irreversible_recall_final_phase,false_alarm_rate_final_phase,irreversible_core_violation_rate_final_phase,net_vigilance_value_final_phase,developmental_maturity_final,final_TF,final_I,final_A,final_H
15800,static_quality,0.58,99,0.6564885496183206,0.2014218009478673,0.44274809160305345,0.65358586881806,0.34,0.24,0.34,0.4,0.62
15800,linear_development,0.9074235205557787,2,0.8650793650793651,0.044233807266982623,0.25396825396825395,0.8657588301220338,0.9224369537042351,0.95,0.95,0.95,0.1602521851830593
15800,interaction_development,0.9153427724814163,2,0.8984375,0.04344391785150079,0.234375,0.8860345073019124,0.9276689609410738,0.95,0.95,0.95,0.1393241562357046
15800,feedback_development,0.9149514343880891,1,0.8767123287671232,0.04344391785150079,0.23972602739726026,0.8751292740536667,0.9257327604972527,0.95,0.95,0.95,0.14706895801098868
15801,static_quality,0.58,99,0.6416666666666667,0.20695102685624012,0.425,0.6493597946287519,0.34,0.24,0.34,0.4,0.62
15801,linear_development,0.9081219105007801,2,0.920863309352518,0.044233807266982623,0.22302158273381295,0.897155697783591,0.9240997869066193,0.95,0.95,0.95,0.15360085237352242
15801,interaction_development,0.9132808382363684,2,0.9126984126984127,0.045023696682464455,0.2777777777777778,0.8831461165576926,0.9179102076928652,0.95,0.95,0.95,0.1783591692285387
15801,feedback_development,0.9132840442290739,2,0.8661971830985915,0.035545023696682464,0.2887323943661972,0.8619258554161514,0.9173083004611268,0.95,0.95,0.95,0.18076679815549243
15802,static_quality,0.58,99,0.6587301587301587,0.18167456556082148,0.4444444444444444,0.6582047694275183,0.34,0.24,0.34,0.4,0.62
15802,linear_development,0.907408562535446,2,0.8740740740740741,0.035545023696682464,0.26666666666666666,0.8690022796409804,0.9224013393701095,0.95,0.95,0.95,0.16039464251956168
15802,interaction_development,0.9137018659431508,2,0.8991596638655462,0.038704581358609796,0.29411764705882354,0.8751126829474818,0.9198173413266293,0.95,0.95,0.95,0.17073063469348268
15802,feedback_development,0.9144551288205429,2,0.8705035971223022,0.05055292259083728,0.26618705035971224,0.8655468934380076,0.9233359123285737,0.95,0.95,0.95,0.15665635068570477
15803,static_quality,0.58,99,0.6518518518518519,0.1966824644549763,0.4888888888888889,0.6432190626645603,0.34,0.24,0.34,0.4,0.62
15803,linear_development,0.9065326059296153,2,0.8907563025210085,0.04107424960505529,0.3025210084033613,0.8681011754222128,0.9203157284038459,0.95,0.95,0.95,0.1687370863846161
15803,interaction_development,0.9142424834718339,2,0.8676470588235294,0.03712480252764613,0.2647058823529412,0.8672114120152459,0.922328376739235,0.95,0.95,0.95,0.16068649304305993
