seed,model,phase,TF,R,I,Align,H
12400,static_baseline,1,0.24,0.56,0.32,0.4,0.64
12400,static_baseline,2,0.24,0.56,0.32,0.4,0.64
12400,static_baseline,3,0.24,0.56,0.32,0.4,0.64
12400,static_baseline,4,0.24,0.56,0.32,0.4,0.64
12400,static_baseline,5,0.24,0.56,0.32,0.4,0.64
12400,static_baseline,6,0.24,0.56,0.32,0.4,0.64
12400,success_fed_thirdfactor,1,0.95,0.7390000000000098,0.32,0.4,0.64
12400,success_fed_thirdfactor,2,0.95,0.94,0.32,0.4,0.64
12400,success_fed_thirdfactor,3,0.95,0.9345000000000003,0.32,0.4,0.64
12400,success_fed_thirdfactor,4,0.95,0.94,0.32,0.4,0.64
12400,success_fed_thirdfactor,5,0.95,0.9375,0.32,0.4,0.64
12400,success_fed_thirdfactor,6,0.95,0.94,0.32,0.4,0.64
12400,ethicalsense_fed_thirdfactor,1,0.95,0.50128,0.32,0.4,0.64
12400,ethicalsense_fed_thirdfactor,2,0.95,0.5,0.32,0.4,0.64
12400,ethicalsense_fed_thirdfactor,3,0.95,0.5027399999999997,0.32,0.4,0.64
12400,ethicalsense_fed_thirdfactor,4,0.95,0.5002399999999998,0.32,0.4,0.64
12400,ethicalsense_fed_thirdfactor,5,0.95,0.5041999999999995,0.32,0.4,0.64
12400,ethicalsense_fed_thirdfactor,6,0.95,0.5064599999999997,0.32,0.4,0.64
12400,ethicalsense_plus_idealgap,1,0.44613245437829074,0.6229556308745485,0.7718358659169915,0.8066522793252927,0.3755348152091317
12400,ethicalsense_plus_idealgap,2,0.46018957639527286,0.6597123053125595,0.80491144713342,0.8364203024200787,0.35568946647927446
12400,ethicalsense_plus_idealgap,3,0.477773075660809,0.6854547512910998,0.844478137012047,0.872030323310843,0.3323107024660371
12400,ethicalsense_plus_idealgap,4,0.4897335184592564,0.7878462226175342,0.8726203553613352,0.8973583198252023,0.31542537145646415
12400,ethicalsense_plus_idealgap,5,0.49793911442712047,0.9290912309289301,0.8919276399916034,0.9147348759924436,0.30384100067830316
12400,ethicalsense_plus_idealgap,6,0.49861929563760976,0.94,0.8935280663692252,0.9161752597323033,0.30288074485173005
12401,static_baseline,1,0.24,0.56,0.32,0.4,0.64
12401,static_baseline,2,0.24,0.56,0.32,0.4,0.64
12401,static_baseline,3,0.24,0.56,0.32,0.4,0.64
12401,static_baseline,4,0.24,0.56,0.32,0.4,0.64
12401,static_baseline,5,0.24,0.56,0.32,0.4,0.64
12401,static_baseline,6,0.24,0.56,0.32,0.4,0.64
12401,success_fed_thirdfactor,1,0.8866530000000035,0.6310000000000087,0.32,0.4,0.64
12401,success_fed_thirdfactor,2,0.95,0.9375,0.32,0.4,0.64
12401,success_fed_thirdfactor,3,0.95,0.9375,0.32,0.4,0.64
12401,success_fed_thirdfactor,4,0.95,0.94,0.32,0.4,0.64
12401,success_fed_thirdfactor,5,0.95,0.9380000000000001,0.32,0.4,0.64
12401,success_fed_thirdfactor,6,0.95,0.94,0.32,0.4,0.64
12401,ethicalsense_fed_thirdfactor,1,0.95,0.5,0.32,0.4,0.64
12401,ethicalsense_fed_thirdfactor,2,0.95,0.5,0.32,0.4,0.64
12401,ethicalsense_fed_thirdfactor,3,0.95,0.5025599999999999,0.32,0.4,0.64
12401,ethicalsense_fed_thirdfactor,4,0.95,0.5001199999999999,0.32,0.4,0.64
12401,ethicalsense_fed_thirdfactor,5,0.95,0.5,0.32,0.4,0.64
12401,ethicalsense_fed_thirdfactor,6,0.95,0.5,0.32,0.4,0.64
12401,ethicalsense_plus_idealgap,1,0.4374191937284166,0.5732263627487455,0.7528797093737227,0.7895917384363507,0.3865993824908649
12401,ethicalsense_plus_idealgap,2,0.45711730943013934,0.5678370883925532,0.7968844525939858,0.8291960073345878,0.3606652894213475
12401,ethicalsense_plus_idealgap,3,0.47004543613098365,0.5436257778127431,0.8273035742430314,0.8565732168187283,0.34241381643192026
12401,ethicalsense_plus_idealgap,4,0.47004543613098365,0.5510397161697643,0.8273035742430314,0.8565732168187283,0.34241381643192026
12401,ethicalsense_plus_idealgap,5,0.47072843069848636,0.5362571872549029,0.8289106202842141,0.8580195582557928,0.3414495888072106
12401,ethicalsense_plus_idealgap,6,0.47072843069848636,0.5103805867476736,0.8289106202842141,0.8580195582557928,0.3414495888072106
12402,static_baseline,1,0.24,0.56,0.32,0.4,0.64
12402,static_baseline,2,0.24,0.56,0.32,0.4,0.64
12402,static_baseline,3,0.24,0.56,0.32,0.4,0.64
12402,static_baseline,4,0.24,0.56,0.32,0.4,0.64
12402,static_baseline,5,0.24,0.56,0.32,0.4,0.64
12402,static_baseline,6,0.24,0.56,0.32,0.4,0.64
12402,success_fed_thirdfactor,1,0.95,0.77650000000001,0.32,0.4,0.64
12402,success_fed_thirdfactor,2,0.95,0.94,0.32,0.4,0.64
12402,success_fed_thirdfactor,3,0.95,0.94,0.32,0.4,0.64
12402,success_fed_thirdfactor,4,0.95,0.94,0.32,0.4,0.64
12402,success_fed_thirdfactor,5,0.95,0.94,0.32,0.4,0.64
12402,success_fed_thirdfactor,6,0.95,0.94,0.32,0.4,0.64
12402,ethicalsense_fed_thirdfactor,1,0.95,0.5039599999999997,0.32,0.4,0.64
12402,ethicalsense_fed_thirdfactor,2,0.95,0.50128,0.32,0.4,0.64
12402,ethicalsense_fed_thirdfactor,3,0.95,0.5,0.32,0.4,0.64
12402,ethicalsense_fed_thirdfactor,4,0.95,0.5001199999999999,0.32,0.4,0.64
12402,ethicalsense_fed_thirdfactor,5,0.95,0.5104799999999994,0.32,0.4,0.64
12402,ethicalsense_fed_thirdfactor,6,0.95,0.5025599999999999,0.32,0.4,0.64
12402,ethicalsense_plus_idealgap,1,0.4520557442985307,0.6296133072555657,0.7792166727848477,0.813295005506363,0.3724176002655485
12402,ethicalsense_plus_idealgap,2,0.47332298715202914,0.6814681658595053,0.8256053536207256,0.8550448182586533,0.3453147698808454
12402,ethicalsense_plus_idealgap,3,0.4858107757285884,0.6857464456196537,0.8515434718116239,0.8783891246304618,0.33044088171709585
12402,ethicalsense_plus_idealgap,4,0.49562013883281464,0.8236984932343155,0.8729906035741147,0.8976915432167036,0.3178993471796803
12402,ethicalsense_plus_idealgap,5,0.5039930023669419,0.94,0.8926914589485322,0.9154223130536793,0.3060788339550298
12402,ethicalsense_plus_idealgap,6,0.5039930023669419,0.9385,0.8926914589485322,0.9154223130536793,0.3060788339550298
12403,static_baseline,1,0.24,0.56,0.32,0.4,0.64
