seed,model,final_third_factor_volition,final_ethical_reliability,final_integration,final_ideal_alignment,final_H_self,decision_accuracy,high_stakes_accuracy,long_term_trajectory_value,external_capture_rate,candidate_acceptance_rate
12400,static_baseline,0.24,0.56,0.32,0.4,0.64,0.5204761904761904,0.5125881168177241,0.02229047619047649,0.3223924142961342,0.0
12400,success_fed_thirdfactor,0.95,0.94,0.32,0.4,0.64,0.6028571428571429,0.6067885117493472,0.21267857142857707,0.2756132756132756,0.0
12400,ethicalsense_fed_thirdfactor,0.95,0.5064599999999997,0.32,0.4,0.64,0.5204761904761904,0.5080855503390714,0.035283333333333604,0.3369723435225619,0.0
12400,ethicalsense_plus_idealgap,0.49861929563760976,0.94,0.8935280663692252,0.9161752597323033,0.30288074485173005,0.5771428571428572,0.5823950870010235,0.15518571428571776,0.29929078014184396,0.6649350649350649
12401,static_baseline,0.24,0.56,0.32,0.4,0.64,0.5230952380952381,0.5208226221079691,0.04320238095238133,0.32798833819241985,0.0
12401,success_fed_thirdfactor,0.95,0.94,0.32,0.4,0.64,0.5811904761904761,0.5779186476492341,0.16816904761905152,0.29508196721311475,0.0
12401,ethicalsense_fed_thirdfactor,0.95,0.5,0.32,0.4,0.64,0.5090476190476191,0.506827731092437,0.025947619047619216,0.3503909026297086,0.0
12401,ethicalsense_plus_idealgap,0.47072843069848636,0.5103805867476736,0.8289106202842141,0.8580195582557928,0.3414495888072106,0.5109523809523809,0.5097435897435898,0.019023809523809526,0.3558590941768512,0.6381766381766382
12402,static_baseline,0.24,0.56,0.32,0.4,0.64,0.5102380952380953,0.49463464486458864,0.001759523809523554,0.3462099125364432,0.0
12402,success_fed_thirdfactor,0.95,0.94,0.32,0.4,0.64,0.6052380952380952,0.5913978494623656,0.19228809523810012,0.2478134110787172,0.0
12402,ethicalsense_fed_thirdfactor,0.95,0.5025599999999999,0.32,0.4,0.64,0.48714285714285716,0.4976452119309262,-0.006507142857143369,0.35289855072463766,0.0
12402,ethicalsense_plus_idealgap,0.5039930023669419,0.9385,0.8926914589485322,0.9154223130536793,0.3060788339550298,0.5671428571428572,0.5581632653061225,0.12014285714285995,0.3220216606498195,0.6564102564102564
12403,static_baseline,0.24,0.56,0.32,0.4,0.64,0.5228571428571429,0.5276923076923077,0.048428571428571494,0.34015525758645027,0.0
12403,success_fed_thirdfactor,0.95,0.94,0.32,0.4,0.64,0.604047619047619,0.6127527216174183,0.21676904761905325,0.27900355871886123,0.0
12403,ethicalsense_fed_thirdfactor,0.95,0.5038999999999998,0.32,0.4,0.64,0.4976190476190476,0.49420442571127504,0.004061904761904223,0.3453496755587599,0.0
12403,ethicalsense_plus_idealgap,0.5057252549925166,0.94,0.8924873816185234,0.9152386434566717,0.30705727352518936,0.5597619047619048,0.5605979711692471,0.13488333333333627,0.29724137931034483,0.6525
12404,static_baseline,0.24,0.56,0.32,0.4,0.64,0.5157142857142857,0.5204081632653061,0.03171428571428625,0.36003051106025935,0.0
12404,success_fed_thirdfactor,0.95,0.94,0.32,0.4,0.64,0.61,0.6098191214470284,0.21867857142857708,0.28076379066478074,0.0
12404,ethicalsense_fed_thirdfactor,0.95,0.50128,0.32,0.4,0.64,0.5107142857142857,0.5109832635983264,0.029557142857143504,0.3328488372093023,0.0
12404,ethicalsense_plus_idealgap,0.46235933091268644,0.5,0.8178982746917789,0.8481084472226007,0.3463210653819595,0.5138095238095238,0.5198193677872553,0.021073809523809432,0.345985401459854,0.6285714285714286
