seed,model,phase2_core_accuracy,final_third_factor_volition,final_ethical_reliability,final_integration,final_ideal_alignment,final_H_self,phase2_reward_capture_rate,false_consolidation_rate,integrated_score,long_term_trajectory_value
13600,full_loop,0.5934615384615385,0.5543663276812675,0.9379886044314325,0.89451395677754,0.9106790726911468,0.3289004107820599,0.21884615384615386,0.2246153846153846,0.7600547695144744,0.08196826923076878
13600,ablate_ethicalsense,0.5346153846153846,0.5459496774666607,0.6973052962298455,0.8585821933528958,0.878739727424796,0.354354666854806,0.2592307692307692,0.25573770491803277,0.7205775347371002,0.04393076923077171
13600,ablate_idealgap,0.6188461538461538,0.95,0.9393984,0.95,0.95,0.10120320000000001,0.215,0.1726555652936021,0.8225155019321782,0.17788750000000106
13600,ablate_shadow_validation,0.5911538461538461,0.705445778771041,0.94,0.8938470793376476,0.9100862927445768,0.41003184922984826,0.23153846153846153,0.47443762781186094,0.7202034725915915,0.05768942307692354
13600,ablate_core_constraint,0.6030769230769231,0.6338545977921191,0.94,0.95,0.9012322156237882,0.30079808876748004,0.22576923076923078,0.30969267139479906,0.763561308824002,0.11470769230769168
13601,full_loop,0.5515384615384615,0.5567293767985435,0.94,0.8943519460960968,0.9105350631965298,0.33029571254580914,0.2523076923076923,0.23372781065088757,0.7433811281452218,0.027426923076923754
13601,ablate_ethicalsense,0.5511538461538461,0.5220019225785887,0.7040396374192742,0.8592368435910788,0.8793216387476255,0.3410369890493489,0.27192307692307693,0.1993006993006993,0.7306642360007145,0.06046346153846207
13601,ablate_idealgap,0.6130769230769231,0.95,0.94,0.95,0.95,0.1,0.2103846153846154,0.1654708520179372,0.8226644532597447,0.17415961538461677
13601,ablate_shadow_validation,0.6057692307692307,0.6835709815503963,0.9367,0.893510505164076,0.9097871157014012,0.39864576919014943,0.23192307692307693,0.4588744588744589,0.7269535338027695,0.11550961538461431
13601,ablate_core_constraint,0.6261538461538462,0.6855612610407458,0.94,0.95,0.9051550757114606,0.29106756881466694,0.20461538461538462,0.3382978723404255,0.7718872464322034,0.1312336538461531
13602,full_loop,0.6019230769230769,0.5457806941632821,0.94,0.8933966369467465,0.9096858995082191,0.3252525060981281,0.2246153846153846,0.22012578616352202,0.7619346824510459,0.11737403846153777
13602,ablate_ethicalsense,0.558076923076923,0.5355122473488014,0.7000952284439901,0.8585811728473215,0.8787388203087303,0.3487888878799251,0.24461538461538462,0.23793103448275862,0.7312504264355029,0.06152692307692137
13602,ablate_idealgap,0.6165384615384616,0.95,0.9389,0.95,0.95,0.1,0.22230769230769232,0.16056462284958095,0.8222319992535034,0.17755480769230905
13602,ablate_shadow_validation,0.6,0.6767142408209016,0.94,0.8936595846785317,0.9099196308253615,0.39486460787237165,0.22384615384615383,0.4525862068965517,0.7279676289194181,0.11132403846153702
13602,ablate_core_constraint,0.5080769230769231,0.599858961170333,0.5878901350214754,0.8539732520414416,0.8059398209180542,0.3869470692563094,0.2776923076923077,0.3685636856368564,0.6797509076530798,-0.02898846153846002
13603,full_loop,0.6023076923076923,0.537682291830096,0.94,0.8937517633519074,0.9100015674239175,0.32063741951612795,0.22923076923076924,0.20125786163522014,0.7640339865889361,0.10264423076923004
13603,ablate_ethicalsense,0.57,0.5395710404632272,0.6987944776683123,0.858182643686363,0.878384572165656,0.351285685175086,0.24846153846153846,0.2533783783783784,0.7316043896027541,0.07570384615384437
13603,ablate_idealgap,0.6123076923076923,0.95,0.94,0.95,0.95,0.1,0.22576923076923078,0.15501519756838905,0.8212100187046995,0.17447307692307792
13603,ablate_shadow_validation,0.5130769230769231,0.6773719285463621,0.6128304171430562,0.8397404479569585,0.8619915092950744,0.44014798859392684,0.2684615384615385,0.5053533190578159,0.6698018388576881,-0.03534711538461319
13603,ablate_core_constraint,0.5888461538461538,0.6583396046791972,0.9389,0.95,0.8987684177105238,0.30553435883708,0.2273076923076923,0.3303964757709251,0.7564992667548349,0.06616634615384635
13604,full_loop,0.5876923076923077,0.5450327447609589,0.94,0.8918768173536645,0.9083349487588135,0.32612011607779134,0.22884615384615384,0.21337579617834396,0.7577890691714633,0.0861499999999994
13604,ablate_ethicalsense,0.5615384615384615,0.5323294936401866,0.701596931981323,0.8598013293745664,0.879823403888503,0.34607462212929413,0.2453846153846154,0.23129251700680273,0.7334713582407343,0.04861442307692484
13604,ablate_idealgap,0.6142307692307692,0.95,0.94,0.95,0.95,0.1,0.22346153846153846,0.15928449744463374,0.8216100117939982,0.1689509615384616
13604,ablate_shadow_validation,0.5819230769230769,0.6627783994623511,0.94,0.8941598235642411,0.9103642876126592,0.38701529340971985,0.24307692307692308,0.434878587196468,0.7236759090952941,0.06406634615384595
13604,ablate_core_constraint,0.6034615384615385,0.6979116156161747,0.94,0.95,0.8871359611701374,0.2671426089285697,0.22615384615384615,0.3227722772277228,0.7645208808642774,0.09066442307692223
13605,full_loop,0.5146153846153846,0.5379736578614266,0.6298213887562555,0.8413260667848654,0.8634009482532141,0.3644808952053725,0.27,0.25949367088607594,0.7064114444528053,-0.006262499999999319
