model,stage,decision_accuracy,decision_accuracy_std,high_stakes_accuracy,long_term_trajectory_value,ethical_sense_reliability_realized,ethical_sensitivity,joint_maturity_product,joint_interaction,deep_path_activation_rate
linear_internal_map,1,0.6080255681818182,0.013648579293488984,0.6060931246483774,0.25284090909090906,0.6029092837362828,0.6656596971240153,0.2417789937050417,0.04842635843334677,0.0
linear_internal_map,2,0.6070241477272728,0.014250642810351807,0.606257908057061,0.2528480113636364,0.6126377570515847,0.6901507073521365,0.26304299165535644,0.06241459306213286,0.0
linear_internal_map,3,0.6079758522727273,0.014245390452160625,0.6081133045774308,0.25473721590909093,0.6367136495516819,0.7282044948028255,0.2987553663728583,0.09352976199204341,0.0
linear_internal_map,4,0.6363991477272727,0.015770034403312774,0.6773648341742902,0.3304083806818161,0.6991941949563012,0.7585977855498134,0.43251522713853147,0.19719274951438728,0.31214488636363635
linear_internal_map,5,0.7402627840909091,0.015233439746814091,0.7402275405487563,0.4691274857954499,0.7767081984497878,0.7894627559165179,0.6276506510998229,0.4107425581190459,0.7414559659090909
multiplicative_threshold,1,0.6090198863636364,0.014100942868130748,0.6107224412908028,0.25890625,0.565382041238764,0.6656596971240153,0.2417789937050417,0.04842635843334677,0.0
multiplicative_threshold,2,0.6072088068181818,0.014738864263772328,0.6091595518003986,0.2568821022727273,0.5723862889951296,0.6901507073521365,0.26304299165535644,0.06241459306213286,0.0
multiplicative_threshold,3,0.6063423295454545,0.015977902048107513,0.6047178093723387,0.25108664772727274,0.5935704663279772,0.7282044948028255,0.2987553663728583,0.09352976199204341,0.0
multiplicative_threshold,4,0.6269673295454545,0.015558109080696493,0.6528092469745376,0.2970646306818163,0.6634455835107866,0.7585977855498134,0.43251522713853147,0.19719274951438728,0.3148153409090909
multiplicative_threshold,5,0.7450639204545455,0.018885689636239825,0.7450448622598626,0.4777990056818141,0.78413371789621,0.7894627559165179,0.6276506510998229,0.4107425581190459,0.7407528409090909
static_reliability,1,0.6089417613636363,0.014417284869096571,0.6088109330427236,0.255703125,0.619931991671497,0.6656596971240153,0.2417789937050417,0.04842635843334677,0.0
static_reliability,2,0.6093181818181819,0.014824629379296057,0.607844949188217,0.25803977272727274,0.6193197250280459,0.6901507073521365,0.26304299165535644,0.06241459306213286,0.0
static_reliability,3,0.6059303977272728,0.01493046499535593,0.6054699852276928,0.2506747159090909,0.6186421524592793,0.7282044948028255,0.2987553663728583,0.09352976199204341,0.0
static_reliability,4,0.6141832386363636,0.017505436072923403,0.6217486223215314,0.2594374999999984,0.6198803456145267,0.7585977855498134,0.43251522713853147,0.19719274951438728,0.31196022727272726
static_reliability,5,0.6252840909090909,0.013984229141109234,0.6226254715303174,0.24740767045454187,0.6201036788169861,0.7894627559165179,0.6276506510998229,0.4107425581190459,0.7382102272727272
