seed,model,final_holdout_recall,final_holdout_false_alarm,final_holdout_violation_rate,trap_capture_rate,trajectory_value,final_quality_used,final_TF,final_I,final_A,final_H,final_maturity
18200,tdc_full_developmental_perception,0.8421052631578947,0.056,0.3368421052631579,0.16453201970443349,0.6737537777777739,0.9074536066802295,0.95,0.95,0.9419144111352197,0.26319584006130275,0.8946796427684792
18200,tdc_no_perceptual_development,0.5813953488372093,0.228,0.5232558139534884,0.34130019120458893,0.5604977777777727,0.58,0.95,0.95,0.8737519120746139,0.42619734537475173,0.8368886416749656
18200,simple_fixed_q058,0.6705882352941176,0.22133333333333333,0.4,0.36893203883495146,0.5909795555555504,0.58,0.24,0.34,0.4,0.62,0.34
18200,simple_fixed_q084_a008,0.775,0.08,0.4125,0.18326693227091634,0.6940471111111072,0.84,0.24,0.34,0.4,0.62,0.34
18201,tdc_full_developmental_perception,0.8620689655172413,0.06133333333333333,0.22988505747126436,0.18,0.6766755555555521,0.9094747706501484,0.95,0.95,0.935657213977702,0.22894690736247525,0.9016775766538065
18201,tdc_no_perceptual_development,0.6263736263736264,0.20266666666666666,0.46153846153846156,0.3681159420289855,0.5655315555555503,0.58,0.95,0.95,0.900162476243179,0.3789906970082365,0.8552929448087356
18201,simple_fixed_q058,0.64,0.22533333333333333,0.45,0.3446601941747573,0.5612826666666614,0.58,0.24,0.34,0.4,0.62,0.34
18201,simple_fixed_q084_a008,0.7934782608695652,0.09466666666666666,0.34782608695652173,0.18199608610567514,0.708026666666663,0.84,0.24,0.34,0.4,0.62,0.34
18202,tdc_full_developmental_perception,0.8043478260869565,0.06133333333333333,0.29347826086956524,0.18647342995169083,0.6878933333333298,0.9095194880607993,0.95,0.95,0.9453069376962897,0.23614608786525088,0.9022902124577596
18202,tdc_no_perceptual_development,0.5675675675675675,0.22533333333333333,0.5135135135135135,0.35282651072124754,0.5444604444444402,0.58,0.95,0.95,0.8832524416706583,0.4042626795391082,0.8447474405328875
18202,simple_fixed_q058,0.654320987654321,0.236,0.4567901234567901,0.3411764705882353,0.5804559999999951,0.58,0.24,0.34,0.4,0.62,0.34
18202,simple_fixed_q084_a008,0.82,0.092,0.29,0.1974206349206349,0.6876755555555514,0.84,0.24,0.34,0.4,0.62,0.34
18203,tdc_full_developmental_perception,0.9032258064516129,0.05466666666666667,0.27956989247311825,0.16094210009813542,0.7061893333333291,0.9101289112416369,0.95,0.95,0.945635096070112,0.22712261264916106,0.9046281208552378
18203,tdc_no_perceptual_development,0.5494505494505495,0.228,0.5274725274725275,0.34679802955665023,0.5336586666666624,0.58,0.95,0.95,0.8946058899013944,0.4128204634013795,0.8454463566250037
18203,simple_fixed_q058,0.5632183908045977,0.22533333333333333,0.5172413793103449,0.3657587548638132,0.5504168888888843,0.58,0.24,0.34,0.4,0.62,0.34
18203,simple_fixed_q084_a008,0.7701149425287356,0.09866666666666667,0.367816091954023,0.1852216748768473,0.6999075555555515,0.84,0.24,0.34,0.4,0.62,0.34
18204,tdc_full_developmental_perception,0.8631578947368421,0.048,0.3157894736842105,0.19748305905130686,0.651562666666663,0.9068831682754941,0.95,0.95,0.9344850055456866,0.2651743104866991,0.8923276737647469
18204,tdc_no_perceptual_development,0.5714285714285714,0.224,0.5,0.35769980506822613,0.5258151111111071,0.58,0.95,0.95,0.8977299982938607,0.3970037522108733,0.8501815615207468
18204,simple_fixed_q058,0.6703296703296703,0.24533333333333332,0.4175824175824176,0.31467181467181465,0.5548479999999955,0.58,0.24,0.34,0.4,0.62,0.34
18204,simple_fixed_q084_a008,0.7380952380952381,0.08266666666666667,0.42857142857142855,0.16797642436149313,0.7274951111111075,0.84,0.24,0.34,0.4,0.62,0.34
18205,tdc_full_developmental_perception,0.8297872340425532,0.04533333333333334,0.2553191489361702,0.15142576204523106,0.7045422222222186,0.9106582827459606,0.95,0.95,0.945635096070112,0.21884070586328488,0.9066985975517068
18205,tdc_no_perceptual_development,0.594059405940594,0.20533333333333334,0.5544554455445545,0.3517110266159696,0.534057777777773,0.58,0.95,0.95,0.8774941772794864,0.4399663517790619,0.834381956375106
18205,simple_fixed_q058,0.6052631578947368,0.23733333333333334,0.5263157894736842,0.3583984375,0.5288586666666624,0.58,0.24,0.34,0.4,0.62,0.34
18205,simple_fixed_q084_a008,0.7466666666666667,0.10533333333333333,0.37333333333333335,0.16205533596837945,0.6959351111111072,0.84,0.24,0.34,0.4,0.62,0.34
18206,tdc_full_developmental_perception,0.7904761904761904,0.04666666666666667,0.38095238095238093,0.17877629063097514,0.6942062222222188,0.9069476033420238,0.95,0.95,0.9379390858830634,0.26700778072919723,0.8927328262884665
18206,tdc_no_perceptual_development,0.6195652173913043,0.22933333333333333,0.5,0.33728981206726016,0.5143608888888846,0.58,0.95,0.95,0.8804079614533344,0.42720626465816663,0.8383004241987919
18206,simple_fixed_q058,0.5777777777777777,0.20133333333333334,0.4666666666666667,0.3543078412391094,0.5437404444444399,0.58,0.24,0.34,0.4,0.62,0.34
18206,simple_fixed_q084_a008,0.8148148148148148,0.08933333333333333,0.25925925925925924,0.19146825396825398,0.6953768888888853,0.84,0.24,0.34,0.4,0.62,0.34
18207,tdc_full_developmental_perception,0.8488372093023255,0.06666666666666667,0.29069767441860467,0.14931237721021612,0.7169057777777745,0.9092221377178915,0.95,0.95,0.9383114513677651,0.23492602907648247,0.9008463555728206
18207,tdc_no_perceptual_development,0.6526315789473685,0.208,0.5052631578947369,0.354,0.5325137777777734,0.58,0.95,0.95,0.8745094006021662,0.4357986647725623,0.834677683957401
18207,simple_fixed_q058,0.5647058823529412,0.236,0.5647058823529412,0.34765625,0.5416542222222178,0.58,0.24,0.34,0.4,0.62,0.34
18207,simple_fixed_q084_a008,0.819047619047619,0.1,0.3142857142857143,0.2,0.7260888888888852,0.84,0.24,0.34,0.4,0.62,0.34
18208,tdc_full_developmental_perception,0.8441558441558441,0.07066666666666667,0.2987012987012987,0.19159335288367546,0.6690844444444412,0.9069913696880005,0.95,0.95,0.9332914416099226,0.26086772027342847,0.8931059303341236
18208,tdc_no_perceptual_development,0.625,0.228,0.4125,0.34585741811175336,0.5855679999999942,0.58,0.95,0.95,0.8832524416706583,0.37774255692673303,0.8513774711859814
18208,simple_fixed_q058,0.6623376623376623,0.228,0.5194805194805194,0.3287671232876712,0.525919999999996,0.58,0.24,0.34,0.4,0.62,0.34
18208,simple_fixed_q084_a008,0.8522727272727273,0.1,0.3181818181818182,0.1836734693877551,0.7081422222222187,0.84,0.24,0.34,0.4,0.62,0.34
18209,tdc_full_developmental_perception,0.8404255319148937,0.056,0.26595744680851063,0.16404715127701375,0.7036302222222194,0.9096784050047915,0.95,0.95,0.9449767984872129,0.2334801218828146,0.9028741691510995
18209,tdc_no_perceptual_development,0.6410256410256411,0.232,0.5384615384615384,0.3349609375,0.5575893333333279,0.58,0.95,0.95,0.8900711586762547,0.4018007947064248,0.8470675909924574
18209,simple_fixed_q058,0.5411764705882353,0.23733333333333334,0.5411764705882353,0.3504442250740375,0.5592471111111063,0.58,0.24,0.34,0.4,0.62,0.34
18209,simple_fixed_q084_a008,0.7162162162162162,0.07866666666666666,0.33783783783783783,0.20579710144927535,0.7228382222222186,0.84,0.24,0.34,0.4,0.62,0.34
18210,tdc_full_developmental_perception,0.9021739130434783,0.052,0.31521739130434784,0.1806640625,0.6965955555555515,0.9072893377632727,0.95,0.95,0.9308386839056022,0.25484181698844294,0.8939992167292898
18210,tdc_no_perceptual_development,0.7209302325581395,0.22266666666666668,0.38372093023255816,0.34036433365292423,0.5749351111111063,0.58,0.95,0.95,0.8894076043020671,0.3691809873584509,0.8550566542359039
18210,simple_fixed_q058,0.5679012345679012,0.21733333333333332,0.5432098765432098,0.3346774193548387,0.5643697777777734,0.58,0.24,0.34,0.4,0.62,0.34
18210,simple_fixed_q084_a008,0.746268656716418,0.108,0.40298507462686567,0.1845703125,0.7089733333333293,0.84,0.24,0.34,0.4,0.62,0.34
18211,tdc_full_developmental_perception,0.8876404494382022,0.05733333333333333,0.24719101123595505,0.17938931297709923,0.7118053333333301,0.9100695048961993,0.95,0.95,0.9324836763133354,0.2171519898359769,0.9038329216193397
18211,tdc_no_perceptual_development,0.6534653465346535,0.22533333333333333,0.43564356435643564,0.3385365853658537,0.5635813333333293,0.58,0.95,0.95,0.8880684553012917,0.3732724992823981,0.8536989890047234
18211,simple_fixed_q058,0.6,0.228,0.5176470588235295,0.3297029702970297,0.5360711111111062,0.58,0.24,0.34,0.4,0.62,0.34
18211,simple_fixed_q084_a008,0.8105263157894737,0.08533333333333333,0.3157894736842105,0.16601178781925344,0.6774159999999964,0.84,0.24,0.34,0.4,0.62,0.34
18212,tdc_full_developmental_perception,0.8315789473684211,0.048,0.28421052631578947,0.18225650916104147,0.6935404444444405,0.9090354867586447,0.95,0.95,0.9401400327972274,0.23918739448643414,0.9002381595776983
18212,tdc_no_perceptual_development,0.6626506024096386,0.22533333333333333,0.43373493975903615,0.35,0.6034755555555503,0.58,0.95,0.95,0.8832524416706583,0.3714821752305606,0.8529425666100244
18212,simple_fixed_q058,0.6419753086419753,0.19333333333333333,0.4567901234567901,0.3467666354264292,0.5553022222222166,0.58,0.24,0.34,0.4,0.62,0.34
18212,simple_fixed_q084_a008,0.7789473684210526,0.07866666666666666,0.3684210526315789,0.15688161693936478,0.7104124444444404,0.84,0.24,0.34,0.4,0.62,0.34
18213,tdc_full_developmental_perception,0.9325842696629213,0.056,0.23595505617977527,0.17520969245107176,0.683655111111108,0.910122380797489,0.95,0.95,0.9443105296641144,0.2261395623447736,0.9045427418298352
18213,tdc_no_perceptual_development,0.6527777777777778,0.23733333333333334,0.4444444444444444,0.32694151486097794,0.5897226666666616,0.58,0.95,0.95,0.8752623441985532,0.39085160057259605,0.8461026859064892
