seed,model,phase,A_TF,R_ethical,W_conf,H_self,capture_resistance
12000,static_no_update,1,0.24,0.55,0.58,0.66,0.3
12000,static_no_update,2,0.24,0.55,0.58,0.66,0.3
12000,static_no_update,3,0.24,0.55,0.58,0.66,0.3
12000,static_no_update,4,0.24,0.55,0.58,0.66,0.3
12000,static_no_update,5,0.24,0.55,0.58,0.66,0.3
12000,static_no_update,6,0.24,0.55,0.58,0.66,0.3
12000,punitive_v254_style,1,0.1,0.5,0.58,0.8965000000000001,0.1
12000,punitive_v254_style,2,0.1,0.5,0.58,0.8920000000000002,0.1
12000,punitive_v254_style,3,0.1,0.5,0.58,0.9,0.1
12000,punitive_v254_style,4,0.1,0.5,0.58,0.9,0.1
12000,punitive_v254_style,5,0.1,0.5,0.58,0.9,0.1
12000,punitive_v254_style,6,0.1,0.5,0.58,0.8885000000000003,0.1
12000,protected_thirdfactor,1,0.6421766825355799,0.52426637874576,0.58,0.2899999999999997,0.95
12000,protected_thirdfactor,2,0.95,0.8505638533174515,0.58,0.1,0.95
12000,protected_thirdfactor,3,0.95,0.9359999999999999,0.58,0.1,0.95
12000,protected_thirdfactor,4,0.95,0.9354,0.58,0.1,0.95
12000,protected_thirdfactor,5,0.95,0.9359999999999999,0.58,0.1,0.95
12000,protected_thirdfactor,6,0.95,0.94,0.58,0.1,0.95
12000,protected_plus_error_attribution,1,0.6349095615255759,0.5009646302466042,0.5046258157084266,0.20529999999999987,0.95
12000,protected_plus_error_attribution,2,0.95,0.7681427725957348,0.5260250979741005,0.1,0.95
12000,protected_plus_error_attribution,3,0.95,0.9373000000000002,0.5933120193194474,0.1,0.95
12000,protected_plus_error_attribution,4,0.95,0.9334,0.6113291775257861,0.1039,0.95
12000,protected_plus_error_attribution,5,0.95,0.9369000000000001,0.613477257219464,0.1,0.95
12000,protected_plus_error_attribution,6,0.95,0.9378,0.6084383503807839,0.1078,0.95
12001,static_no_update,1,0.24,0.55,0.58,0.66,0.3
12001,static_no_update,2,0.24,0.55,0.58,0.66,0.3
12001,static_no_update,3,0.24,0.55,0.58,0.66,0.3
12001,static_no_update,4,0.24,0.55,0.58,0.66,0.3
12001,static_no_update,5,0.24,0.55,0.58,0.66,0.3
12001,static_no_update,6,0.24,0.55,0.58,0.66,0.3
12001,punitive_v254_style,1,0.3502541608081745,0.5,0.58,0.8860000000000002,0.8760000000000004
12001,punitive_v254_style,2,0.22031446566728832,0.5,0.58,0.8965000000000001,0.95
12001,punitive_v254_style,3,0.4522197558045585,0.5,0.58,0.8955000000000002,0.95
12001,punitive_v254_style,4,0.5687344421301941,0.5,0.58,0.8720000000000018,0.95
12001,punitive_v254_style,5,0.7941802965684984,0.504746910890619,0.58,0.8645000000000009,0.95
12001,punitive_v254_style,6,0.898111301432688,0.5,0.58,0.9,0.95
12001,protected_thirdfactor,1,0.6810712867486753,0.5597903252772176,0.58,0.1,0.95
12001,protected_thirdfactor,2,0.95,0.8018977882156381,0.58,0.10800000000000003,0.95
12001,protected_thirdfactor,3,0.95,0.9377,0.58,0.11200000000000002,0.95
12001,protected_thirdfactor,4,0.95,0.9319999999999999,0.58,0.1,0.95
12001,protected_thirdfactor,5,0.95,0.9359999999999999,0.58,0.1,0.95
12001,protected_thirdfactor,6,0.95,0.94,0.58,0.1,0.95
12001,protected_plus_error_attribution,1,0.69957699655293,0.533516887570978,0.5724298413838699,0.12799999999999973,0.95
12001,protected_plus_error_attribution,2,0.95,0.7641570211173069,0.5808704263437389,0.1039,0.95
