seed,model,final_A_TF,final_R_ethical,final_W_conf,final_H_self,final_capture_resistance,decision_accuracy,high_stakes_accuracy,long_term_trajectory_value,external_capture_rate,epistemic_error_rate,normative_error_rate,independent_success_rate
12000,static_no_update,0.24,0.55,0.58,0.66,0.3,0.503,0.5056775170325511,0.0522550000000009,0.33498513379583744,0.06166666666666667,0.20333333333333334,0.2956666666666667
12000,punitive_v254_style,0.1,0.5,0.58,0.8885000000000003,0.1,0.407,0.4010989010989011,-0.10170166666666668,0.7306930693069307,0.088,0.219,0.0006666666666666666
12000,protected_thirdfactor,0.95,0.94,0.58,0.1,0.95,0.542,0.5530243519245875,0.14781499999999728,0.36016096579476864,0.07933333333333334,0.155,0.30866666666666664
12000,protected_plus_error_attribution,0.95,0.9378,0.6084383503807839,0.1078,0.95,0.5493333333333333,0.5280728376327769,0.11928999999999874,0.3246628131021195,0.074,0.16166666666666665,0.30433333333333334
12001,static_no_update,0.24,0.55,0.58,0.66,0.3,0.49733333333333335,0.510932944606414,0.03399333333333467,0.367827868852459,0.060333333333333336,0.19366666666666665,0.29833333333333334
12001,punitive_v254_style,0.898111301432688,0.5,0.58,0.9,0.95,0.49266666666666664,0.4969742813918306,0.03391000000000087,0.3638996138996139,0.062,0.20133333333333334,0.28933333333333333
12001,protected_thirdfactor,0.95,0.94,0.58,0.1,0.95,0.5443333333333333,0.5392829900839055,0.1263716666666636,0.333,0.07133333333333333,0.155,0.309
12001,protected_plus_error_attribution,0.95,0.94,0.6483779597593667,0.1039,0.95,0.5543333333333333,0.5742035742035742,0.1739849999999974,0.33095723014256617,0.07433333333333333,0.15633333333333332,0.31566666666666665
12002,static_no_update,0.24,0.55,0.58,0.66,0.3,0.5036666666666667,0.49923312883435583,0.05312000000000096,0.34593023255813954,0.058333333333333334,0.189,0.29133333333333333
12002,punitive_v254_style,0.7812589982340087,0.5,0.58,0.8910000000000003,0.95,0.501,0.49144981412639405,0.02930833333333429,0.38269230769230766,0.059333333333333335,0.191,0.2876666666666667
12002,protected_thirdfactor,0.95,0.9353000000000002,0.58,0.10600000000000001,0.95,0.5516666666666666,0.5442846328538986,0.1349216666666639,0.3228744939271255,0.074,0.16466666666666666,0.31133333333333335
12002,protected_plus_error_attribution,0.95,0.9378,0.6901919963921952,0.1,0.95,0.5566666666666666,0.5315666406858924,0.14103166666666486,0.31839847473784555,0.06333333333333334,0.15966666666666668,0.313
12003,static_no_update,0.24,0.55,0.58,0.66,0.3,0.5103333333333333,0.5197869101978692,0.07433666666666794,0.3685741998060136,0.059666666666666666,0.195,0.299
12003,punitive_v254_style,0.94,0.5,0.58,0.897000000000001,0.947,0.5043333333333333,0.5168453292496171,0.06843000000000113,0.3297029702970297,0.060333333333333336,0.21,0.29533333333333334
12003,protected_thirdfactor,0.95,0.9257,0.58,0.10600000000000001,0.95,0.5466666666666666,0.553125,0.150399999999996,0.31724137931034485,0.07233333333333333,0.14933333333333335,0.31733333333333336
12003,protected_plus_error_attribution,0.95,0.9280000000000006,0.6823427997907041,0.1039,0.95,0.551,0.5612489991993594,0.17109499999999606,0.33204633204633205,0.06066666666666667,0.16933333333333334,0.31433333333333335
12004,static_no_update,0.24,0.55,0.58,0.66,0.3,0.505,0.49811888638073737,0.04482833333333438,0.36562203228869894,0.058333333333333334,0.192,0.2986666666666667
12004,punitive_v254_style,0.95,0.5,0.58,0.8850000000000003,0.95,0.491,0.485096870342772,0.014676666666667648,0.3595724003887269,0.06233333333333333,0.20066666666666666,0.29
12004,protected_thirdfactor,0.95,0.9359999999999999,0.58,0.10600000000000001,0.95,0.5496666666666666,0.5400149588631264,0.12406833333333259,0.3212180746561886,0.07633333333333334,0.156,0.31533333333333335
12004,protected_plus_error_attribution,0.95,0.9378,0.6463465706120327,0.1039,0.95,0.5463333333333333,0.550561797752809,0.13075833333333114,0.3466666666666667,0.06533333333333333,0.16466666666666666,0.31033333333333335
12005,static_no_update,0.24,0.55,0.58,0.66,0.3,0.5056666666666667,0.5086342229199372,0.07347000000000119,0.3678500986193294,0.063,0.19166666666666668,0.286
12005,punitive_v254_style,0.9467249815934726,0.5,0.58,0.9,0.95,0.5013333333333333,0.4992283950617284,0.053546666666667506,0.35355648535564854,0.057,0.19533333333333333,0.2786666666666667
12005,protected_thirdfactor,0.95,0.9359999999999999,0.58,0.1,0.95,0.5443333333333333,0.5457317073170732,0.13169333333333066,0.3187855787476281,0.075,0.159,0.31933333333333336
12005,protected_plus_error_attribution,0.95,0.94,0.5744606714587186,0.1039,0.95,0.5326666666666666,0.5391923990498813,0.12993166666666514,0.3330068560235064,0.072,0.15833333333333333,0.30533333333333335
12006,static_no_update,0.24,0.55,0.58,0.66,0.3,0.509,0.4981160512434062,0.04951833333333452,0.3570722057368942,0.054,0.2,0.28733333333333333
12006,punitive_v254_style,0.1,0.5,0.58,0.9,0.1,0.425,0.4357585139318885,-0.06123333333333333,0.7026476578411406,0.09233333333333334,0.19466666666666665,0.004
12006,protected_thirdfactor,0.95,0.94,0.58,0.1,0.95,0.5693333333333334,0.5831435079726651,0.18796833333333027,0.3060217176702863,0.07433333333333333,0.154,0.3343333333333333
12006,protected_plus_error_attribution,0.95,0.94,0.6376413816750464,0.1,0.95,0.5506666666666666,0.5507575757575758,0.13993333333333047,0.3258971871968962,0.077,0.14666666666666667,0.31766666666666665
12007,static_no_update,0.24,0.55,0.58,0.66,0.3,0.497,0.48060344827586204,-0.001239999999999744,0.3830227743271222,0.063,0.18433333333333332,0.2853333333333333
12007,punitive_v254_style,0.9123649270477878,0.5,0.58,0.8935000000000004,0.95,0.512,0.5058275058275058,0.07298500000000135,0.37018255578093306,0.059,0.19666666666666666,0.2856666666666667
12007,protected_thirdfactor,0.95,0.9257,0.58,0.1,0.95,0.55,0.5460883036405887,0.14427166666666508,0.33648393194706994,0.07466666666666667,0.16066666666666668,0.317
12007,protected_plus_error_attribution,0.95,0.9307000000000003,0.6319393342333465,0.1,0.95,0.537,0.5258358662613982,0.10564666666666604,0.3222748815165877,0.06666666666666667,0.179,0.306
12008,static_no_update,0.24,0.55,0.58,0.66,0.3,0.5246666666666666,0.5103132161955691,0.08206166666666787,0.3375363724539282,0.059333333333333335,0.17933333333333334,0.30133333333333334
12008,punitive_v254_style,0.8672037045478163,0.5,0.58,0.8830000000000019,0.95,0.49366666666666664,0.4948148148148148,0.02325000000000022,0.3777120315581854,0.059,0.18866666666666668,0.2853333333333333
12008,protected_thirdfactor,0.95,0.9359999999999999,0.58,0.10600000000000001,0.95,0.5606666666666666,0.5652503793626708,0.16328999999999624,0.3379174852652259,0.07333333333333333,0.15866666666666668,0.319
12008,protected_plus_error_attribution,0.95,0.9347000000000001,0.6491743173496655,0.1078,0.95,0.5593333333333333,0.549618320610687,0.15071666666666395,0.31275303643724695,0.06066666666666667,0.156,0.315
12009,static_no_update,0.24,0.55,0.58,0.66,0.3,0.533,0.5283018867924528,0.08359000000000023,0.34186284544524054,0.05533333333333333,0.183,0.30733333333333335
12009,punitive_v254_style,0.9252690210720561,0.5055334149234951,0.58,0.8965000000000001,0.947,0.5066666666666667,0.5118790496760259,0.038461666666667386,0.3473170731707317,0.058333333333333334,0.19033333333333333,0.30433333333333334
12009,protected_thirdfactor,0.95,0.94,0.58,0.1,0.95,0.559,0.5501113585746102,0.1392849999999969,0.3373253493013972,0.06966666666666667,0.165,0.321
