seed,model,phase,R_ethical,third_factor_volition,integration,ideal_alignment,H_self,R_gain_in_phase
12200,perception_only,1,0.5042434252021848,0.22,0.3,0.38,0.66,-0.04575657479781525
12200,perception_only,2,0.502,0.22,0.3,0.38,0.66,-0.00224342520218479
12200,perception_only,3,0.5,0.22,0.3,0.38,0.66,-0.0020000000000000018
12200,perception_only,4,0.503779994783331,0.22,0.3,0.38,0.66,0.00377999478333102
12200,perception_only,5,0.5038613520278467,0.22,0.3,0.38,0.66,8.135724451563409e-05
12200,perception_only,6,0.5,0.22,0.3,0.38,0.66,-0.003861352027846654
12200,autonomy_only,1,0.5016474282634914,0.4118570658728598,0.3,0.38,0.66,-0.04835257173650864
12200,autonomy_only,2,0.5023736282222458,0.593407055561476,0.3,0.38,0.66,0.0007261999587544476
12200,autonomy_only,3,0.617194007172796,0.8388841956501839,0.3,0.38,0.66,0.1148203789505502
12200,autonomy_only,4,0.8614130884634152,0.95,0.3,0.38,0.66,0.2442190812906192
12200,autonomy_only,5,0.94,0.95,0.3,0.38,0.66,0.0785869115365847
12200,autonomy_only,6,0.94,0.95,0.3,0.38,0.66,0.0
12200,selfactualization_loop,1,0.5035839998709071,0.30475685966550087,0.6208972879074912,0.4974806886587522,0.677808886345185,-0.04641600012909297
12200,selfactualization_loop,2,0.5065474745522689,0.43965892839479886,0.95,0.6642503855253739,0.6251133362856217,0.002963474681361822
12200,selfactualization_loop,3,0.5190769677760558,0.5739955636492865,0.95,0.8063901436818515,0.5254006174668374,0.012529493223786936
12200,selfactualization_loop,4,0.5,0.6399531743163325,0.95,0.8810112198555027,0.5669954308363246,-0.01907696777605583
12200,selfactualization_loop,5,0.5006345648662532,0.6735124208751578,0.95,0.9219902690147247,0.7034401377217336,0.0006345648662532399
12200,selfactualization_loop,6,0.5,0.6791562791571347,0.95,0.9298477133186387,0.9,-0.0006345648662532399
12201,perception_only,1,0.5096880397653352,0.22,0.3,0.38,0.66,-0.04031196023466488
12201,perception_only,2,0.5147976706295246,0.22,0.3,0.38,0.66,0.005109630864189474
12201,perception_only,3,0.50589263808307,0.22,0.3,0.38,0.66,-0.008905032546454694
12201,perception_only,4,0.5125935144468399,0.22,0.3,0.38,0.66,0.006700876363769925
12201,perception_only,5,0.5088695247240707,0.22,0.3,0.38,0.66,-0.0037239897227692165
12201,perception_only,6,0.5279921566573228,0.22,0.3,0.38,0.66,0.019122631933252143
12201,autonomy_only,1,0.5,0.41126542345714373,0.3,0.38,0.66,-0.050000000000000044
12201,autonomy_only,2,0.5023561427227055,0.5890356806763519,0.3,0.38,0.66,0.0023561427227054565
12201,autonomy_only,3,0.5415169740704912,0.7840723938999511,0.3,0.38,0.66,0.039160831347785696
12201,autonomy_only,4,0.6070356672040587,0.95,0.3,0.38,0.66,0.06551869313356751
12201,autonomy_only,5,0.766435667204061,0.95,0.3,0.38,0.66,0.15940000000000232
12201,autonomy_only,6,0.9348,0.95,0.3,0.38,0.66,0.168364332795939
12201,selfactualization_loop,1,0.5006034368118698,0.3036359924182201,0.6174367231251574,0.48944348199348964,0.671633535133828,-0.04939656318813024
12201,selfactualization_loop,2,0.5017704748228328,0.4269245505696728,0.95,0.637266437292472,0.6507770168978174,0.0011670380109629619
12201,selfactualization_loop,3,0.5062660545326944,0.57472664306212,0.95,0.8037064479411034,0.5665649136249119,0.004495579709861586
12201,selfactualization_loop,4,0.5009041387811591,0.6385131402126164,0.95,0.8735622948662687,0.6491282616685566,-0.005361915751535218
12201,selfactualization_loop,5,0.5,0.6783838291912105,0.95,0.9215675426110025,0.8086015360409895,-0.0009041387811591362
12201,selfactualization_loop,6,0.5008099298414225,0.6845345864567601,0.95,0.9317102814114124,0.8991474422721869,0.0008099298414224743
12202,perception_only,1,0.5110025672958961,0.22,0.3,0.38,0.66,-0.03899743270410394
12202,perception_only,2,0.5076698217764091,0.22,0.3,0.38,0.66,-0.003332745519487035
12202,perception_only,3,0.5094337873734737,0.22,0.3,0.38,0.66,0.0017639655970645984
12202,perception_only,4,0.5256065323507572,0.22,0.3,0.38,0.66,0.016172744977283493
12202,perception_only,5,0.5019521278719999,0.22,0.3,0.38,0.66,-0.02365440447875722
12202,perception_only,6,0.528713411029933,0.22,0.3,0.38,0.66,0.026761283157933025
12202,autonomy_only,1,0.5018400273522446,0.40602378345241963,0.3,0.38,0.66,-0.0481599726477554
12202,autonomy_only,2,0.5251167578032019,0.6146585674837843,0.3,0.38,0.66,0.02327673045095724
12202,autonomy_only,3,0.5592780321695935,0.8040627576161017,0.3,0.38,0.66,0.0341612743663916
12202,autonomy_only,4,0.6137115940111403,0.95,0.3,0.38,0.66,0.054433561841546796
12202,autonomy_only,5,0.8101115940111431,0.95,0.3,0.38,0.66,0.1964000000000028
12202,autonomy_only,6,0.9386,0.95,0.3,0.38,0.66,0.1284884059888569
12202,selfactualization_loop,1,0.5005265887913954,0.30273916202208034,0.6133256174390124,0.5083149283665085,0.688376388789207,-0.0494734112086046
12202,selfactualization_loop,2,0.502570747502023,0.4194622857284749,0.95,0.6433939939563825,0.6528187824559093,0.002044158710627575
12202,selfactualization_loop,3,0.5132496471053984,0.5469682350936291,0.95,0.7829633241031331,0.5747442276049453,0.010678899603375425
12202,selfactualization_loop,4,0.5049563945776117,0.6173763991758227,0.95,0.8606939497863849,0.5944310331587687,-0.008293252527786787
12202,selfactualization_loop,5,0.5,0.6571740097837785,0.95,0.9064405604456487,0.7030311608492431,-0.004956394577611656
12202,selfactualization_loop,6,0.500861100979501,0.6755581157009151,0.95,0.9264138953209996,0.8721092041246841,0.0008611009795009839
12203,perception_only,1,0.516076788311263,0.22,0.3,0.38,0.66,-0.03392321168873702
12203,perception_only,2,0.509062203119569,0.22,0.3,0.38,0.66,-0.007014585191694067
12203,perception_only,3,0.5,0.22,0.3,0.38,0.66,-0.009062203119568957
12203,perception_only,4,0.5244544281306569,0.22,0.3,0.38,0.66,0.024454428130656902
12203,perception_only,5,0.5041914796855653,0.22,0.3,0.38,0.66,-0.020262948445091578
12203,perception_only,6,0.5135547901394982,0.22,0.3,0.38,0.66,0.009363310453932905
12203,autonomy_only,1,0.5001332570036705,0.39266025069081906,0.3,0.38,0.66,-0.04986674299632954
12203,autonomy_only,2,0.510051828348268,0.6292493074345332,0.3,0.38,0.66,0.009918571344597504
12203,autonomy_only,3,0.5675133063811909,0.8587481781183988,0.3,0.38,0.66,0.0574614780329229
12203,autonomy_only,4,0.7008183816641278,0.95,0.3,0.38,0.66,0.1333050752829369
12203,autonomy_only,5,0.94,0.95,0.3,0.38,0.66,0.23918161833587215
12203,autonomy_only,6,0.9162,0.95,0.3,0.38,0.66,-0.023799999999999932
12203,selfactualization_loop,1,0.5,0.3077422693093806,0.632108450350506,0.5164166109208469,0.6949017104889619,-0.050000000000000044
12203,selfactualization_loop,2,0.5255021708818748,0.44630653986686725,0.95,0.6957259849531129,0.6535739800069899,0.025502170881874786
12203,selfactualization_loop,3,0.5219200481465355,0.5665979539571324,0.95,0.8316237629986545,0.5851305135482441,-0.0035821227353393104
12203,selfactualization_loop,4,0.5023855813024726,0.6065064095631371,0.95,0.8865206254352845,0.7010929944255624,-0.019534466844062903
12203,selfactualization_loop,5,0.5,0.6349521940144077,0.95,0.9184837838038564,0.8581199046522946,-0.0023855813024725725
12203,selfactualization_loop,6,0.5,0.6396998083697674,0.95,0.9255766697943126,0.9,0.0
12204,perception_only,1,0.5068821598603,0.22,0.3,0.38,0.66,-0.04311784013969999
12204,perception_only,2,0.503992,0.22,0.3,0.38,0.66,-0.0028901598603000567
12204,perception_only,3,0.5,0.22,0.3,0.38,0.66,-0.0039919999999999956
12204,perception_only,4,0.5,0.22,0.3,0.38,0.66,0.0
12204,perception_only,5,0.5194327739026757,0.22,0.3,0.38,0.66,0.019432773902675726
12204,perception_only,6,0.503992,0.22,0.3,0.38,0.66,-0.01544077390267573
12204,autonomy_only,1,0.5100646656845806,0.4143446010207227,0.3,0.38,0.66,-0.0399353343154194
12204,autonomy_only,2,0.5112618628988331,0.6090688909554809,0.3,0.38,0.66,0.0011971972142524878
12204,autonomy_only,3,0.5555121448809943,0.8335577149272464,0.3,0.38,0.66,0.04425028198216119
12204,autonomy_only,4,0.5431300615451355,0.95,0.3,0.38,0.66,-0.012382083335858773
12204,autonomy_only,5,0.6143300615451379,0.95,0.3,0.38,0.66,0.07120000000000237
12204,autonomy_only,6,0.8549300615451407,0.95,0.3,0.38,0.66,0.2406000000000028
12204,selfactualization_loop,1,0.5050660567982261,0.293504237128338,0.5818052228181427,0.48223479476011893,0.6660394996169088,-0.04493394320177391
12204,selfactualization_loop,2,0.502242001155601,0.40933299434363457,0.95,0.6225078420632894,0.6858974369401925,-0.0028240556426251118
12204,selfactualization_loop,3,0.5161453204598323,0.5551196079322798,0.95,0.7835643558694096,0.574308775110394,0.013903319304231276
12204,selfactualization_loop,4,0.5,0.622043714641108,0.95,0.8643464716337661,0.649769272948245,-0.016145320459832302
12204,selfactualization_loop,5,0.5007472385938276,0.6616121152362021,0.95,0.8991985556904957,0.7575731302530363,0.0007472385938276371
12204,selfactualization_loop,6,0.5,0.6856882061273402,0.95,0.9253633967054166,0.9,-0.0007472385938276371
12205,perception_only,1,0.5325000686364213,0.22,0.3,0.38,0.66,-0.017499931363578747
12205,perception_only,2,0.5001543167849448,0.22,0.3,0.38,0.66,-0.03234575185147648
12205,perception_only,3,0.518796961974038,0.22,0.3,0.38,0.66,0.0186426451890932
12205,perception_only,4,0.5029404462750698,0.22,0.3,0.38,0.66,-0.015856515698968177
12205,perception_only,5,0.5128373049847778,0.22,0.3,0.38,0.66,0.009896858709707912
12205,perception_only,6,0.504976079872,0.22,0.3,0.38,0.66,-0.007861225112777759
12205,autonomy_only,1,0.5039936293706279,0.44061643608944656,0.3,0.38,0.66,-0.046006370629372184
12205,autonomy_only,2,0.5290991976936528,0.6666403997507482,0.3,0.38,0.66,0.025105568323024907
12205,autonomy_only,3,0.628510795273106,0.9196677893468912,0.3,0.38,0.66,0.09941159757945328
12205,autonomy_only,4,0.7697849741995946,0.95,0.3,0.38,0.66,0.14127417892648853
12205,autonomy_only,5,0.9336000000000001,0.95,0.3,0.38,0.66,0.16381502580040552
12205,autonomy_only,6,0.9369999999999999,0.95,0.3,0.38,0.66,0.0033999999999998476
12205,selfactualization_loop,1,0.5,0.3121924893794677,0.646543870794197,0.5031094949330874,0.6595217973465882,-0.050000000000000044
12205,selfactualization_loop,2,0.5314858855418437,0.4604082494514985,0.95,0.654009755760078,0.49082372752192094,0.03148588554184373
12205,selfactualization_loop,3,0.5375139831104859,0.5982929838329556,0.95,0.7990718581795454,0.41189226829887304,0.006028097568642199
12205,selfactualization_loop,4,0.5058634809882346,0.6791264487388484,0.95,0.8820537270424115,0.3893913555469167,-0.03165050212225129
12205,selfactualization_loop,5,0.5,0.7198618087068346,0.95,0.9267414467658314,0.4854124566372517,-0.005863480988234637
12205,selfactualization_loop,6,0.5,0.727645669467318,0.95,0.9355599320296768,0.8385976712754578,0.0
12206,perception_only,1,0.502,0.22,0.3,0.38,0.66,-0.04800000000000004
12206,perception_only,2,0.5,0.22,0.3,0.38,0.66,-0.0020000000000000018
12206,perception_only,3,0.5332495777953927,0.22,0.3,0.38,0.66,0.033249577795392726
12206,perception_only,4,0.5,0.22,0.3,0.38,0.66,-0.033249577795392726
12206,perception_only,5,0.5179701927429652,0.22,0.3,0.38,0.66,0.017970192742965185
12206,perception_only,6,0.5019521278719999,0.22,0.3,0.38,0.66,-0.016018064870965243
12206,autonomy_only,1,0.5064130611406588,0.43941666714251404,0.3,0.38,0.66,-0.043586938859341284
12206,autonomy_only,2,0.5063765733021606,0.6166600543332955,0.3,0.38,0.66,-3.648783849818926e-05
12206,autonomy_only,3,0.5864708960144344,0.8702557176366273,0.3,0.38,0.66,0.08009432271227379
12206,autonomy_only,4,0.8229532603054057,0.95,0.3,0.38,0.66,0.23648236429097136
12206,autonomy_only,5,0.9369999999999999,0.95,0.3,0.38,0.66,0.11404673969459422
12206,autonomy_only,6,0.94,0.95,0.3,0.38,0.66,0.0030000000000000027
12206,selfactualization_loop,1,0.5023044135044669,0.31670137081171146,0.6590607941884365,0.5055958125194862,0.5917752037360056,-0.04769558649553318
12206,selfactualization_loop,2,0.518671445950486,0.4662004970431909,0.95,0.6918944708112577,0.523663834373648,0.016367032446019114
12206,selfactualization_loop,3,0.5203386216702582,0.5952480695369066,0.95,0.8442537406589466,0.4539721526148174,0.0016671757197722625
12206,selfactualization_loop,4,0.5016010841848483,0.6410052869350866,0.95,0.8928083973691934,0.5414322852368829,-0.01873753748540996
12206,selfactualization_loop,5,0.5,0.6691185039460352,0.95,0.9244470145502259,0.7839771987387466,-0.0016010841848482782
12206,selfactualization_loop,6,0.5,0.6731193611501003,0.95,0.9290907504249117,0.9,0.0
12207,perception_only,1,0.5088102408955724,0.22,0.3,0.38,0.66,-0.04118975910442768
12207,perception_only,2,0.502,0.22,0.3,0.38,0.66,-0.0068102408955723615
12207,perception_only,3,0.5129985538712293,0.22,0.3,0.38,0.66,0.010998553871229277
12207,perception_only,4,0.5263312640065109,0.22,0.3,0.38,0.66,0.013332710135281589
12207,perception_only,5,0.503992,0.22,0.3,0.38,0.66,-0.022339264006510873
12207,perception_only,6,0.5092009772832976,0.22,0.3,0.38,0.66,0.005208977283297611
12207,autonomy_only,1,0.5033951152988477,0.4253927994441713,0.3,0.38,0.66,-0.046604884701152316
12207,autonomy_only,2,0.5141224622896763,0.6170474762375089,0.3,0.38,0.66,0.010727346990828557
12207,autonomy_only,3,0.5257913177120385,0.8345197405979009,0.3,0.38,0.66,0.011668855422362179
12207,autonomy_only,4,0.6658410068708962,0.95,0.3,0.38,0.66,0.14004968915885774
12207,autonomy_only,5,0.9264410068708993,0.95,0.3,0.38,0.66,0.26060000000000305
12207,autonomy_only,6,0.94,0.95,0.3,0.38,0.66,0.013558993129100694
12207,selfactualization_loop,1,0.5016306645780416,0.29418470457924767,0.5843572371578868,0.4702192856252547,0.6766989189699303,-0.048369335421958426
12207,selfactualization_loop,2,0.5177498324529635,0.4269300652537889,0.95,0.6458304539727512,0.5694722109377272,0.016119167874921847
12207,selfactualization_loop,3,0.5545277777796831,0.5781917301086485,0.95,0.8196058286238888,0.4622260216483972,0.03677794532671963
12207,selfactualization_loop,4,0.5,0.6297756586730748,0.95,0.8834414211114269,0.5711149284203131,-0.054527777779683095
12207,selfactualization_loop,5,0.5006403930416684,0.6594679845343611,0.95,0.9195799443697937,0.6894433734466539,0.0006403930416684078
12207,selfactualization_loop,6,0.5,0.664463787579491,0.95,0.9284741465386923,0.9,-0.0006403930416684078
12208,perception_only,1,0.5,0.22,0.3,0.38,0.66,-0.050000000000000044
12208,perception_only,2,0.5108926374469007,0.22,0.3,0.38,0.66,0.010892637446900721
12208,perception_only,3,0.502,0.22,0.3,0.38,0.66,-0.00889263744690072
12208,perception_only,4,0.501964127872,0.22,0.3,0.38,0.66,-3.5872128000047354e-05
12208,perception_only,5,0.5089045900830699,0.22,0.3,0.38,0.66,0.00694046221106992
12208,perception_only,6,0.5056701631517811,0.22,0.3,0.38,0.66,-0.0032344269312887253
12208,autonomy_only,1,0.501777381615793,0.4443454039482397,0.3,0.38,0.66,-0.04822261838420705
12208,autonomy_only,2,0.5137087503925558,0.6559905037365676,0.3,0.38,0.66,0.011931368776762818
