seed,condition,A_TF,I,C_T,R_C,H_self,joint_maturity_product,joint_interaction,target_reliability,ethical_sensitivity,decision_accuracy,high_stakes_accuracy,long_term_trajectory_value,ethical_sense_reliability_realized,deep_path_activation_rate
11100,full_D5,0.82,0.86,0.79,0.81,0.22,0.811528550296579,0.6800609251485332,0.9317007276157682,0.8078750000000001,0.8635714285714285,0.8806451612903226,0.7197500000000143,0.9287722586691659,0.7621428571428571
11100,ablate_A_TF,0.35,0.86,0.79,0.81,0.22,0.6844703526060364,0.3966505693351981,0.7897979025898697,0.7174,0.73,0.7370030581039755,0.4520000000000011,0.7887168141592921,0.6457142857142857
11100,ablate_I,0.82,0.35,0.79,0.81,0.22,0.6779813102181979,0.41255162726777345,0.7953083192917405,0.8078750000000001,0.7728571428571429,0.7503949447077409,0.5083214285714337,0.8150873965041399,0.7764285714285715
11100,ablate_C_T,0.82,0.86,0.35,0.81,0.22,0.6895916496278887,0.5778778023881708,0.8668351739360516,0.759475,0.8035714285714286,0.8042071197411004,0.5950357142857227,0.8698698698698699,0.7135714285714285
11100,ablate_R_C,0.82,0.86,0.79,0.35,0.22,0.6861521182245927,0.5749954750722087,0.8650054808107543,0.769925,0.8121428571428572,0.8083735909822867,0.605142857142867,0.887065637065637,0.74
11100,ablate_low_Hself,0.82,0.86,0.79,0.81,0.65,0.6913508348669833,0.5793519996185321,0.8677709901158405,0.8788250000000001,0.8178571428571428,0.8052373158756138,0.6064642857142972,0.8576358930112166,0.8278571428571428
11100,single_superpower_A_TF,0.95,0.42,0.45,0.43,0.58,0.5037100675367299,0.3583897130523833,0.7411914916386123,0.82355,0.7242857142857143,0.7352941176470589,0.4542500000000023,0.7502312673450509,0.7721428571428571
11101,full_D5,0.82,0.86,0.79,0.81,0.22,0.811528550296579,0.6800609251485332,0.9317007276157682,0.8078750000000001,0.85,0.847682119205298,0.6815357142857263,0.9247830279652844,0.7407142857142858
11101,ablate_A_TF,0.35,0.86,0.79,0.81,0.22,0.6844703526060364,0.3966505693351981,0.7897979025898697,0.7174,0.7285714285714285,0.7307110438729199,0.44100000000000145,0.7918454935622318,0.6657142857142857
11101,ablate_I,0.82,0.35,0.79,0.81,0.22,0.6779813102181979,0.41255162726777345,0.7953083192917405,0.8078750000000001,0.7621428571428571,0.7762128325508607,0.5208571428571486,0.803088803088803,0.74
11101,ablate_C_T,0.82,0.86,0.35,0.81,0.22,0.6895916496278887,0.5778778023881708,0.8668351739360516,0.759475,0.8014285714285714,0.795751633986928,0.58842857142858,0.8807053941908713,0.6885714285714286
11101,ablate_R_C,0.82,0.86,0.79,0.35,0.22,0.6861521182245927,0.5749954750722087,0.8650054808107543,0.769925,0.7971428571428572,0.8072100313479624,0.5852142857142935,0.8727810650887574,0.7242857142857143
11101,ablate_low_Hself,0.82,0.86,0.79,0.81,0.65,0.6913508348669833,0.5793519996185321,0.8677709901158405,0.8788250000000001,0.835,0.8243451463790447,0.6301428571428686,0.8690476190476191,0.84
11101,single_superpower_A_TF,0.95,0.42,0.45,0.43,0.58,0.5037100675367299,0.3583897130523833,0.7411914916386123,0.82355,0.7371428571428571,0.7365930599369085,0.460035714285717,0.7738646895273401,0.7707142857142857
11102,full_D5,0.82,0.86,0.79,0.81,0.22,0.811528550296579,0.6800609251485332,0.9317007276157682,0.8078750000000001,0.85,0.8562197092084006,0.6863214285714413,0.9286412512218963,0.7307142857142858
11102,ablate_A_TF,0.35,0.86,0.79,0.81,0.22,0.6844703526060364,0.3966505693351981,0.7897979025898697,0.7174,0.7485714285714286,0.734375,0.4726428571428601,0.8131749460043196,0.6614285714285715
11102,ablate_I,0.82,0.35,0.79,0.81,0.22,0.6779813102181979,0.41255162726777345,0.7953083192917405,0.8078750000000001,0.7514285714285714,0.7612903225806451,0.5016071428571479,0.7925581395348837,0.7678571428571429
11102,ablate_C_T,0.82,0.86,0.35,0.81,0.22,0.6895916496278887,0.5778778023881708,0.8668351739360516,0.759475,0.7992857142857143,0.802610114192496,0.5917857142857236,0.8721649484536083,0.6928571428571428
11102,ablate_R_C,0.82,0.86,0.79,0.35,0.22,0.6861521182245927,0.5749954750722087,0.8650054808107543,0.769925,0.7828571428571428,0.7847896440129449,0.5565000000000085,0.8546168958742633,0.7271428571428571
11102,ablate_low_Hself,0.82,0.86,0.79,0.81,0.65,0.6913508348669833,0.5793519996185321,0.8677709901158405,0.8788250000000001,0.8221428571428572,0.8220064724919094,0.6236071428571557,0.8524590163934426,0.8278571428571428
11102,single_superpower_A_TF,0.95,0.42,0.45,0.43,0.58,0.5037100675367299,0.3583897130523833,0.7411914916386123,0.82355,0.7307142857142858,0.7418856259659969,0.4521785714285734,0.7444146559428061,0.7992857142857143
11103,full_D5,0.82,0.86,0.79,0.81,0.22,0.811528550296579,0.6800609251485332,0.9317007276157682,0.8078750000000001,0.865,0.8771384136858476,0.7147142857143001,0.9351145038167938,0.7485714285714286
11103,ablate_A_TF,0.35,0.86,0.79,0.81,0.22,0.6844703526060364,0.3966505693351981,0.7897979025898697,0.7174,0.7478571428571429,0.7747603833865815,0.5122142857142908,0.8037578288100209,0.6842857142857143
11103,ablate_I,0.82,0.35,0.79,0.81,0.22,0.6779813102181979,0.41255162726777345,0.7953083192917405,0.8078750000000001,0.75,0.7472,0.48682142857143273,0.7816968541468065,0.7492857142857143
11103,ablate_C_T,0.82,0.86,0.35,0.81,0.22,0.6895916496278887,0.5778778023881708,0.8668351739360516,0.759475,0.7957142857142857,0.8099838969404187,0.5917500000000084,0.8536831483350151,0.7078571428571429
11103,ablate_R_C,0.82,0.86,0.79,0.35,0.22,0.6861521182245927,0.5749954750722087,0.8650054808107543,0.769925,0.8171428571428572,0.8046511627906977,0.600821428571438,0.8751229105211407,0.7264285714285714
11103,ablate_low_Hself,0.82,0.86,0.79,0.81,0.65,0.6913508348669833,0.5793519996185321,0.8677709901158405,0.8788250000000001,0.8285714285714286,0.8413461538461539,0.6454642857142976,0.869751499571551,0.8335714285714285
11103,single_superpower_A_TF,0.95,0.42,0.45,0.43,0.58,0.5037100675367299,0.3583897130523833,0.7411914916386123,0.82355,0.7071428571428572,0.7249240121580547,0.41057142857142626,0.7283834586466166,0.76
11104,full_D5,0.82,0.86,0.79,0.81,0.22,0.811528550296579,0.6800609251485332,0.9317007276157682,0.8078750000000001,0.8707142857142857,0.8718801996672213,0.7220714285714431,0.9371534195933456,0.7728571428571429
11104,ablate_A_TF,0.35,0.86,0.79,0.81,0.22,0.6844703526060364,0.3966505693351981,0.7897979025898697,0.7174,0.7271428571428571,0.7126050420168067,0.44910714285714465,0.7798941798941799,0.675
11104,ablate_I,0.82,0.35,0.79,0.81,0.22,0.6779813102181979,0.41255162726777345,0.7953083192917405,0.8078750000000001,0.7521428571428571,0.7735849056603774,0.5084642857142904,0.7855126999059266,0.7592857142857142
11104,ablate_C_T,0.82,0.86,0.35,0.81,0.22,0.6895916496278887,0.5778778023881708,0.8668351739360516,0.759475,0.8035714285714286,0.7790143084260731,0.5696428571428654,0.8747474747474747,0.7071428571428572
11104,ablate_R_C,0.82,0.86,0.79,0.35,0.22,0.6861521182245927,0.5749954750722087,0.8650054808107543,0.769925,0.8071428571428572,0.7892918825561313,0.5965000000000098,0.8713163064833006,0.7271428571428571
11104,ablate_low_Hself,0.82,0.86,0.79,0.81,0.65,0.6913508348669833,0.5793519996185321,0.8677709901158405,0.8788250000000001,0.8428571428571429,0.8553654743390358,0.6686785714285853,0.88504753673293,0.8264285714285714
11104,single_superpower_A_TF,0.95,0.42,0.45,0.43,0.58,0.5037100675367299,0.3583897130523833,0.7411914916386123,0.82355,0.7121428571428572,0.7066869300911854,0.39835714285714047,0.7439024390243902,0.7614285714285715
11105,full_D5,0.82,0.86,0.79,0.81,0.22,0.811528550296579,0.6800609251485332,0.9317007276157682,0.8078750000000001,0.86,0.8460264900662252,0.6888571428571557,0.9375,0.7657142857142857
11105,ablate_A_TF,0.35,0.86,0.79,0.81,0.22,0.6844703526060364,0.3966505693351981,0.7897979025898697,0.7174,0.7392857142857143,0.7429906542056075,0.47025000000000283,0.7942122186495176,0.6664285714285715
11105,ablate_I,0.82,0.35,0.79,0.81,0.22,0.6779813102181979,0.41255162726777345,0.7953083192917405,0.8078750000000001,0.745,0.7351097178683386,0.466571428571431,0.7886100386100386,0.74
11105,ablate_C_T,0.82,0.86,0.35,0.81,0.22,0.6895916496278887,0.5778778023881708,0.8668351739360516,0.759475,0.8092857142857143,0.8118195956454122,0.600785714285723,0.8797595190380761,0.7128571428571429
11105,ablate_R_C,0.82,0.86,0.79,0.35,0.22,0.6861521182245927,0.5749954750722087,0.8650054808107543,0.769925,0.7907142857142857,0.780564263322884,0.5546428571428658,0.8465346534653465,0.7214285714285714
