model,level,decision_accuracy,decision_accuracy_std,high_stakes_accuracy,long_term_trajectory_value,ethical_sense_reliability_realized,ethical_sensitivity,deep_path_activation_rate
linear_development,1,0.5995659722222222,0.0163788115732656,0.5912312929917976,0.2214791666666661,0.5611588759890277,0.5,0.2117361111111111
linear_development,2,0.6145486111111111,0.0153931261557645,0.6278278394902995,0.2657977430555544,0.6350766615451778,0.64,0.2711979166666666
linear_development,3,0.6457899305555556,0.0147192067389982,0.6904491744069238,0.3515004340277758,0.708645420580367,0.79,0.3312760416666667
linear_development,4,0.7620225694444445,0.0139639675692165,0.7615746091926097,0.507308159722216,0.7848939721443342,0.88,0.8262326388888889
linear_development,5,0.8387847222222222,0.011062393195411,0.838706796130738,0.6493337673611099,0.8600225339148604,0.94,0.8803385416666667
no_development,1,0.6125607638888889,0.0158094260691016,0.615427538816057,0.2550117187499992,0.61710269104912,0.5,0.210703125
no_development,2,0.6152256944444444,0.0174601766747911,0.6207403719952957,0.2599752604166656,0.6184371448577222,0.64,0.2709809027777777
no_development,3,0.6172743055555555,0.01925251325282,0.6289180253690724,0.2649613715277764,0.6234378171799366,0.79,0.3351475694444444
no_development,4,0.6253298611111111,0.0148046213382113,0.6254132610792207,0.2475008680555526,0.6188281549416298,0.88,0.8246354166666666
no_development,5,0.6286284722222222,0.0150889165754799,0.6272748233327268,0.2480881076388858,0.6217689139354315,0.94,0.8812934027777778
sigmoid_development,1,0.5971440972222222,0.0177776047638945,0.5838998529008594,0.2119184027777773,0.5406676221922624,0.5,0.2100694444444444
sigmoid_development,2,0.5915711805555556,0.0173266959854928,0.5741383405678226,0.194858506944444,0.5396178257672193,0.64,0.2686284722222222
sigmoid_development,3,0.5899913194444445,0.0152943295967409,0.5689973684329603,0.1849878472222218,0.5430190425465388,0.79,0.3327083333333333
sigmoid_development,4,0.6275607638888889,0.0164302619043564,0.6277850990640935,0.2514613715277747,0.6213210838852867,0.88,0.8254600694444445
sigmoid_development,5,0.8744444444444445,0.0121075508263535,0.8748892767559268,0.7181853298611139,0.9000499451345175,0.94,0.8800434027777778
