,weakest_link,mean_maturity,geometric_maturity,ethical_sense_reliability_realized,decision_accuracy
3849,0.2000062569987772,0.4569699566542338,0.4035306975472925,0.6263157894736842,0.614
3778,0.2061364602448528,0.646814700650671,0.5783457487403764,0.8099173553719008,0.77
4322,0.2124157462393554,0.6071083794943002,0.5505510062849941,0.7917737789203085,0.756
2532,0.2186378917844983,0.3853464272363647,0.3701378162789298,0.5921787709497207,0.62
2368,0.2252469074708187,0.4346489665472909,0.384633355055672,0.5865102639296188,0.594
3925,0.2320068371536252,0.3610662219772235,0.3506551809692833,0.577259475218659,0.646
823,0.2394753556632333,0.4769979143422245,0.4450688796289799,0.6395939086294417,0.622
74,0.2471877370683665,0.4967782433826458,0.4578110833005221,0.7011834319526628,0.642
4193,0.2545376337546547,0.4701723358309337,0.4315590510239551,0.663013698630137,0.648
5504,0.2625735898443702,0.4461828074459727,0.4261350724859569,0.7075208913649025,0.674
1617,0.2721159063611109,0.579884888382417,0.5267383919299928,0.7164634146341463,0.688
856,0.2814820829978814,0.5867472763920307,0.5296076321195309,0.6949152542372882,0.666
4952,0.2914938882197024,0.5034335904393199,0.4624716553990646,0.6620111731843575,0.602
3851,0.3015596571547161,0.5270193579278294,0.4887724322441103,0.7402597402597403,0.724
126,0.3125158983688363,0.7215327681819247,0.6759527293115265,0.8962765957446809,0.836
3262,0.3258682906539855,0.5046380781113415,0.4808608372295197,0.7253333333333334,0.706
369,0.3390920633167122,0.5736401831486209,0.5468181951470925,0.7250673854447439,0.634
72,0.3525673546069927,0.629728838536184,0.6017441337929231,0.7513227513227513,0.732
3622,0.3675667347136593,0.6901508251995202,0.6590692324365678,0.8164556962025317,0.764
3562,0.3832137643414911,0.6355504525243276,0.602725210920949,0.6772334293948127,0.67
5341,0.4012252675551052,0.6428781381741392,0.6145934978638335,0.7857142857142857,0.734
3779,0.4266138270494428,0.6633693366439253,0.6430153804302111,0.8279569892473119,0.772
1206,0.4546784209369284,0.6793785174813491,0.6555782575023612,0.7477203647416414,0.714
2662,0.4916384720886864,0.6982833122327674,0.6792844890792988,0.8740740740740741,0.83
2112,0.5506243296944376,0.6938327622504493,0.6828417345979622,0.8498659517426274,0.804
