orientation,condition,seed,initial_orientation,final_integration,final_normative_orientation,orientation_change,harm_rate,long_term_common_good,reward_efficiency
competitive,HIGH_INTEGRATION_NO_CORE,20639.5,0.15,0.8999999999999945,0.9975079000000002,0.8475079000000003,0.0129124999999999,0.6713332812500103,0.7286960256183974
competitive,HIGH_INTEGRATION_WITH_CORE,20639.5,0.15,0.8999999999999945,0.9975079000000002,0.8475079000000003,0.00396875,0.6978342187500146,0.7163824814973594
competitive,LOW_INTEGRATION_NO_CORE,20639.5,0.15,0.569999275873414,0.3493699999999918,0.1993699999999919,0.182840625,0.288453124999994,0.8658290681091894
neutral,HIGH_INTEGRATION_NO_CORE,20639.5,0.5,0.8999999999999945,0.9975079000000002,0.4975079000000003,0.002115625,0.7095456250000165,0.7088324714148156
neutral,HIGH_INTEGRATION_WITH_CORE,20639.5,0.5,0.8999999999999945,0.9975079000000002,0.4975079000000003,0.000690625,0.718709375000018,0.7028795653535637
neutral,LOW_INTEGRATION_NO_CORE,20639.5,0.5,0.569999275873414,0.5865574999999905,0.0865574999999904,0.0758781249999999,0.5381224999999924,0.7727101032337073
prosocial,HIGH_INTEGRATION_NO_CORE,20639.5,0.75,0.8999999999999945,0.9975079000000002,0.2475079000000002,0.0003,0.7211639062500184,0.7012824589291614
prosocial,HIGH_INTEGRATION_WITH_CORE,20639.5,0.75,0.8999999999999945,0.9975079000000002,0.2475079000000002,0.0,0.7231389062500186,0.6999500420530407
prosocial,LOW_INTEGRATION_NO_CORE,20639.5,0.75,0.569999275873414,0.7765824999999971,0.026582499999997,0.0236125,0.665739531250011,0.722870039317798
self_interested,HIGH_INTEGRATION_NO_CORE,20639.5,0.3,0.8999999999999945,0.9975079000000002,0.6975079000000003,0.0043374999999999,0.6955120312500143,0.7178780076652965
self_interested,HIGH_INTEGRATION_WITH_CORE,20639.5,0.3,0.8999999999999945,0.9975079000000002,0.6975079000000003,0.00230625,0.7082898437500162,0.7096495218406426
self_interested,LOW_INTEGRATION_NO_CORE,20639.5,0.3,0.569999275873414,0.4348099999999851,0.1348099999999851,0.118378125,0.4349387499999911,0.8127791827191592
