architecture,shared_width,dual_width,seed,specialist_params,recovery_f1,transform_f1,irreversibility_protection_rate,transform_success_rate,identity_swap_consistency,relevant_asymmetry_accuracy,common_good,composite
DUAL,2,1,24407.5,38.0,0.8283948531350462,1.0,0.9375,0.9879840315570246,0.8903903495330481,1.0,0.6867875000000163,0.9182332008729696
DUAL,4,2,24407.5,74.0,0.873447655357297,1.0,1.0,0.9491721418189716,0.8885258568933786,1.0,0.6940855113636534,0.9307297858098365
DUAL,6,3,24407.5,110.0,0.8962580476160253,1.0,1.0,0.9998244382022472,0.8978260198267212,1.0,0.7000309659091083,0.9450382027172018
DUAL,8,4,24407.5,146.0,0.8976791495461988,1.0,1.0,1.0,0.9000023275239354,1.0,0.6999892045454719,0.9455816625848258
DUAL,12,7,24407.5,254.0,0.8984752209133327,1.0,1.0,1.0,0.9025558423358944,1.0,0.6999355113636537,0.9460270817537996
DUAL,24,13,24407.5,470.0,0.8988011870309144,1.0,0.9997727272727271,1.0,0.9043867913578878,1.0,0.6998593750000174,0.946260742264876
SHARED,2,1,24407.5,40.0,0.7957015798196833,0.9474668203807924,0.9997735507246376,0.757456438186572,0.8613920576502894,1.0,0.6729053977272882,0.869698888887209
SHARED,4,2,24407.5,78.0,0.8887839923224554,0.9910382898754992,1.0,0.9870258482099324,0.88771308890782,1.0,0.6985292613636537,0.9385703165693512
SHARED,6,3,24407.5,116.0,0.8975365796468407,1.0,1.0,0.9996385263140324,0.8959686240426353,1.0,0.6999389204545629,0.945006482331298
SHARED,8,4,24407.5,154.0,0.8980992177453185,1.0,0.9997727272727271,0.999811178247734,0.902338536423918,1.0,0.6998764204545628,0.945857861139871
SHARED,12,7,24407.5,230.0,0.89868171666712,1.0,0.9997727272727271,1.0,0.9027259159187369,1.0,0.6998670454545628,0.9460405461830588
SHARED,24,13,24407.5,458.0,0.8988014450948745,1.0,0.9997727272727271,1.0,0.9049429087469342,1.0,0.6998593750000174,0.9463275228030744
