capacity,architecture,seed,recovery_width,transform_width,specialist_params,recovery_f1,transform_f1,irreversibility_protection_rate,transform_success_rate,identity_swap_consistency,relevant_asymmetry_accuracy,common_good,composite
1,SHARED,24513.5,1.0,1.0,21.0,0.4220022776775124,0.796916078765915,0.9622714331418812,0.3298918381581882,0.9134162367122196,0.636862146075918,0.5121984374999992,0.6533450982938868
1,SPECIALIZED,24513.5,0.5,0.5,20.0,0.5176478602442856,0.5313858232253281,1.0,0.27231705038995,0.9484497886908366,0.2142857142857142,0.4204866071428563,0.5740014362337222
2,SHARED,24513.5,2.0,2.0,40.0,0.6819803245911633,0.950545886384386,0.9994551282051284,0.6931269736994673,0.8148747104965108,0.956436503458298,0.626104017857143,0.8251106123333626
2,SPECIALIZED,24513.5,1.0,1.0,38.0,0.8448707487223504,0.9763522884882108,0.9943337912087912,0.932755368647142,0.8827751830607452,0.9421201298701298,0.6560562500000009,0.908054838827712
3,SHARED,24513.5,3.0,3.0,59.0,0.7301431172107995,0.9396179405235024,1.0,0.6662626371809987,0.8676014370769941,0.9930576822277516,0.6243156249999995,0.8371848293849586
3,SPECIALIZED,24513.5,1.5,1.5,56.0,0.8392831710731745,0.999935880995127,0.9642857142857144,0.9554273165285244,0.8958007137102315,1.0,0.6513205357142862,0.9170123731130856
4,SHARED,24513.5,4.0,4.0,78.0,0.8157247059945647,0.976363579515595,1.0,0.8545709252609689,0.8728708918044946,0.9989698978650674,0.6445462053571431,0.8940581419178111
4,SPECIALIZED,24513.5,2.0,2.0,74.0,0.8865946246494697,1.0,1.0,0.9890235085774424,0.8916316048051429,1.0,0.6606546875000007,0.937569196471687
5,SHARED,24513.5,5.0,5.0,97.0,0.8011237114253303,0.9751940022395312,0.9994510928502696,0.7871576904926282,0.9201330120455988,1.0,0.635605133928571,0.8847250537877253
5,SPECIALIZED,24513.5,2.5,2.5,92.0,0.887328362103184,1.0,1.0,0.983475827635913,0.901332421213794,1.0,0.6600073660714292,0.937870475708048
6,SHARED,24513.5,6.0,6.0,116.0,0.8782272267461281,0.9837404017560466,0.9998205312275664,0.9680286886915906,0.9055551699144754,1.0,0.6577004464285718,0.9309711966206712
6,SPECIALIZED,24513.5,3.0,3.0,110.0,0.8947764126032006,1.0,1.0,0.998678072538845,0.9065543004809544,1.0,0.6615194196428579,0.942543096229323
