ranker,budget,seed,helpful_precision,helpful_recall,decision_change_rate,harmful_rate,decision_error_before,decision_error_after,decision_error_reduction,net_decision_value,oracle_efficiency_ratio,budget_consistency,composite
BOUNDARY,0.05,27409.5,0.20625,0.24131132171556832,0.27625,0.06999999999999999,0.1355,0.1286875,0.006812499999999999,0.8711874999999999,0.1230088681706083,1.0,0.3860942709281396
BOUNDARY,0.1,27409.5,0.19312500000000002,0.5155945024551746,0.255,0.061875,0.1355,0.12237499999999998,0.013125000000000001,0.877375,0.2980557427935002,1.0,0.46312707981630796
BOUNDARY,0.15,27409.5,0.17166666666666666,0.6776803105871142,0.24583333333333335,0.07416666666666667,0.1355,0.120875,0.014624999999999999,0.8787499999999999,0.29018462614462187,1.0,0.4871019531188413
CORRECTIVE_PROBABILITY,0.05,27409.5,0.355,0.48048264501868915,0.4575,0.10250000000000001,0.1355,0.122875,0.012624999999999997,0.877,0.3046772603580412,1.0,0.5080014040316336
CORRECTIVE_PROBABILITY,0.1,27409.5,0.25625,0.6906359607335962,0.375625,0.11937500000000001,0.1355,0.12181249999999999,0.013687499999999997,0.8779375,0.2707720167468977,1.0,0.5112322650571273
CORRECTIVE_PROBABILITY,0.15,27409.5,0.21541666666666667,0.8496465130770025,0.3283333333333333,0.11291666666666667,0.1355,0.120125,0.015374999999999996,0.8795,0.2829548204490089,1.0,0.5308131610615744
ORACLE_HELPFUL,0.05,27409.5,0.71,0.9485572310644266,0.71,0.0,0.1355,0.1,0.0355,0.899875,1.0,1.0,0.8367566569703082
ORACLE_HELPFUL,0.1,27409.5,0.39,1.0,0.39,0.0,0.1355,0.0965,0.039,0.9032500000000001,1.0,1.0,0.755525
ORACLE_HELPFUL,0.15,27409.5,0.26,1.0,0.26,0.0,0.1355,0.0965,0.039,0.903125,1.0,1.0,0.7139125
SWITCH_PROBABILITY,0.05,27409.5,0.26875,0.35602246177695906,0.3975,0.12875,0.1355,0.1285,0.007000000000000001,0.8713749999999999,0.1371912495266876,1.0,0.42627639384644844
SWITCH_PROBABILITY,0.1,27409.5,0.22125,0.6030906653189972,0.346875,0.12562500000000001,0.1355,0.12593749999999998,0.009562499999999998,0.8738125,0.18059139278985498,1.0,0.463548067874228
SWITCH_PROBABILITY,0.15,27409.5,0.20833333333333334,0.8267493431608974,0.325,0.11666666666666667,0.1355,0.12175,0.013749999999999995,0.8778750000000001,0.25185078925453735,1.0,0.5163821247127733
UNCERTAINTY,0.05,27409.5,0.10500000000000001,0.1341901901050207,0.1625,0.057499999999999996,0.1355,0.133125,0.0023749999999999986,0.8667499999999999,0.053446107258962997,1.0,0.3145711189975204
UNCERTAINTY,0.1,27409.5,0.09,0.21413673827539884,0.139375,0.049375,0.1355,0.1314375,0.004062499999999997,0.8683125,0.048515375057023816,1.0,0.32839935812862575
UNCERTAINTY,0.15,27409.5,0.08875,0.31552646200387313,0.14083333333333334,0.05208333333333333,0.1355,0.13,0.005499999999999998,0.8696249999999999,0.05922472718624202,1.0,0.350384712095519
