ranker,budget,seed,helpful_precision,helpful_recall,harmful_rate,decision_change_rate,decision_error_reduction,net_flip_rate,oracle_efficiency_ratio,budget_consistency,composite
HELPFUL_ONLY,0.05,27609.5,0.37625000000000003,0.41470283776004563,0.10375000000000001,0.48,0.013625000000000003,0.2725,0.26688700061057224,1.0,0.5199328207693312
HELPFUL_ONLY,0.1,27609.5,0.276875,0.6061173902747611,0.10625,0.383125,0.0170625,0.170625,0.26403014403239455,1.0,0.517747074624979
HELPFUL_ONLY,0.15,27609.5,0.24708333333333332,0.8165479006049854,0.09333333333333334,0.3404166666666667,0.023062500000000003,0.15375,0.37414012069819014,1.0,0.5757894539443945
NET_EXPECTED,0.05,27609.5,0.3175,0.35470663114156,0.08,0.3975,0.011875000000000004,0.2375,0.2341402978850773,1.0,0.48385597966004623
NET_EXPECTED,0.1,27609.5,0.244375,0.5302506674094042,0.081875,0.32625000000000004,0.01625,0.1625,0.2503947514254166,1.0,0.49626430415026856
NET_EXPECTED,0.15,27609.5,0.21458333333333335,0.6954198349914573,0.0725,0.28708333333333336,0.021312500000000005,0.14208333333333334,0.3462985612615884,1.0,0.5409155482433106
ORACLE_NET,0.05,27609.5,0.81875,0.9209138268235784,0.0,0.81875,0.0409375,0.81875,1.0,1.0,0.9148462122917725
ORACLE_NET,0.1,27609.5,0.46125,1.0,0.0,0.46125,0.046125000000000006,0.46125,1.0,1.0,0.867525
ORACLE_NET,0.15,27609.5,0.3075,1.0,0.0,0.3075,0.046125000000000006,0.3075,1.0,1.0,0.8131444444444444
RISK_ADJUSTED,0.05,27609.5,0.365,0.4111591706068589,0.10500000000000001,0.47000000000000003,0.013000000000000006,0.26,0.2642149521061403,1.0,0.5113958513966004
RISK_ADJUSTED,0.1,27609.5,0.28250000000000003,0.6135966054919149,0.10124999999999999,0.38375,0.018125000000000002,0.18125,0.2858614427897083,1.0,0.5293504900465662
RISK_ADJUSTED,0.15,27609.5,0.24333333333333335,0.8092524823016192,0.09041666666666667,0.33375,0.022937500000000003,0.15291666666666667,0.3804798400061434,1.0,0.5742626404281327
SWITCH_PROBABILITY,0.05,27609.5,0.36625,0.4148327378426064,0.1275,0.49375,0.011937500000000005,0.23874999999999996,0.24105621332590346,1.0,0.4977955260540741
SWITCH_PROBABILITY,0.1,27609.5,0.29,0.653653976723646,0.12125,0.41125,0.016875000000000005,0.16875,0.2779625046582175,1.0,0.5261419978527162
SWITCH_PROBABILITY,0.15,27609.5,0.24541666666666667,0.8111051092735732,0.09958333333333333,0.34500000000000003,0.021875,0.14583333333333334,0.35365934780464164,1.0,0.5654696041160877
