ranker,budget,seed,helpful_precision,harmful_rate,decision_error_before,decision_error_after,decision_error_reduction,net_flip_rate,clairvoyant_efficiency
CLAIRVOYANT,0.05,27709.5,0.80625,0.0,0.1539375,0.113625,0.0403125,0.80625,1.0
CLAIRVOYANT,0.1,27709.5,0.440625,0.0,0.1539375,0.10987500000000001,0.0440625,0.440625,1.0
CLAIRVOYANT,0.15,27709.5,0.29375,0.0,0.1539375,0.10987500000000001,0.0440625,0.29375,1.0
CURRENT_HELPFUL,0.05,27709.5,0.33375,0.1325,0.1539375,0.143875,0.010062499999999999,0.20125,0.24961240310077515
CURRENT_HELPFUL,0.1,27709.5,0.268125,0.11937500000000001,0.1539375,0.1390625,0.014875,0.14875,0.3375886524822695
CURRENT_HELPFUL,0.15,27709.5,0.22958333333333333,0.10375000000000001,0.1539375,0.1350625,0.018875000000000003,0.12583333333333335,0.4283687943262412
CURRENT_NET,0.05,27709.5,0.27875,0.1,0.1539375,0.145,0.008937500000000001,0.17875000000000002,0.22170542635658916
CURRENT_NET,0.1,27709.5,0.228125,0.096875,0.1539375,0.1408125,0.013125000000000001,0.13125,0.29787234042553196
CURRENT_NET,0.15,27709.5,0.19791666666666669,0.08791666666666667,0.1539375,0.1374375,0.0165,0.11000000000000001,0.374468085106383
TRUE_MODEL_PREPOSTERIOR,0.05,27709.5,0.5237499999999999,0.0,0.1539375,0.12774999999999997,0.026187500000000002,0.5237499999999999,0.6496124031007753
TRUE_MODEL_PREPOSTERIOR,0.1,27709.5,0.39875,0.0,0.1539375,0.1140625,0.039875,0.39875,0.9049645390070923
TRUE_MODEL_PREPOSTERIOR,0.15,27709.5,0.29,0.0,0.1539375,0.1104375,0.0435,0.29,0.9872340425531915
