condition,budget,helpful_precision,harmful_rate,decision_error_before,decision_error_after,decision_error_reduction,net_flip_rate,clairvoyant_efficiency,gain_over_current,fraction_of_true_model_gain,state_main_effect,probe_model_main_effect,interaction_effect
CLAIRVOYANT,0.05,0.7048611111111112,0.0,0.13489583333333333,0.09965277777777777,0.03524305555555555,0.7048611111111112,1.0,0.027256944444444438,,0.01657986111111111,0.0013020833333333322,0.0026041666666666644
CURRENT,0.05,0.18055555555555555,0.020833333333333332,0.13489583333333333,0.12690972222222222,0.007986111111111109,0.15972222222222224,0.22660098522167485,0.0,0.0,0.01657986111111111,0.0013020833333333322,0.0026041666666666644
TRUE_PROBE_MODEL_ONLY,0.05,0.18055555555555555,0.020833333333333332,0.13489583333333333,0.12690972222222222,0.007986111111111109,0.15972222222222224,0.22660098522167485,0.0,0.0,0.01657986111111111,0.0013020833333333322,0.0026041666666666644
TRUE_STATE_ONLY,0.05,0.4756944444444444,0.010416666666666666,0.13489583333333333,0.11163194444444445,0.023263888888888886,0.46527777777777773,0.6600985221674878,0.015277777777777777,0.854368932038835,0.01657986111111111,0.0013020833333333322,0.0026041666666666644
TRUE_STATE_PLUS_TRUE_PROBE,0.05,0.5243055555555556,0.006944444444444444,0.13489583333333333,0.10902777777777778,0.02586805555555555,0.517361111111111,0.7339901477832512,0.017881944444444443,1.0,0.01657986111111111,0.0013020833333333322,0.0026041666666666644
CLAIRVOYANT,0.1,0.37847222222222227,0.0,0.13489583333333333,0.09704861111111111,0.03784722222222222,0.37847222222222227,1.0,0.02986111111111111,,0.02552083333333333,0.00017361111111111396,0.00034722222222222793
CURRENT,0.1,0.09027777777777778,0.010416666666666666,0.13489583333333333,0.12690972222222222,0.007986111111111109,0.07986111111111112,0.21100917431192656,0.0,0.0,0.02552083333333333,0.00017361111111111396,0.00034722222222222793
TRUE_PROBE_MODEL_ONLY,0.1,0.09027777777777778,0.010416666666666666,0.13489583333333333,0.12690972222222222,0.007986111111111109,0.07986111111111112,0.21100917431192656,0.0,0.0,0.02552083333333333,0.00017361111111111396,0.00034722222222222793
TRUE_STATE_ONLY,0.1,0.34027777777777773,0.006944444444444444,0.13489583333333333,0.1015625,0.033333333333333326,0.3333333333333333,0.8807339449541283,0.025347222222222215,0.9864864864864863,0.02552083333333333,0.00017361111111111396,0.00034722222222222793
TRUE_STATE_PLUS_TRUE_PROBE,0.1,0.3420138888888889,0.005208333333333333,0.13489583333333333,0.10121527777777778,0.033680555555555554,0.3368055555555556,0.8899082568807339,0.025694444444444443,1.0,0.02552083333333333,0.00017361111111111396,0.00034722222222222793
CLAIRVOYANT,0.15,0.2523148148148148,0.0,0.13489583333333333,0.09704861111111111,0.03784722222222222,0.2523148148148148,1.0,0.02986111111111111,,0.026996527777777772,8.680555555555525e-05,0.0001736111111111105
CURRENT,0.15,0.06018518518518518,0.006944444444444444,0.13489583333333333,0.12690972222222222,0.007986111111111109,0.05324074074074075,0.21100917431192656,0.0,0.0,0.026996527777777772,8.680555555555525e-05,0.0001736111111111105
TRUE_PROBE_MODEL_ONLY,0.15,0.06018518518518518,0.006944444444444444,0.13489583333333333,0.12690972222222222,0.007986111111111109,0.05324074074074075,0.21100917431192656,0.0,0.0,0.026996527777777772,8.680555555555525e-05,0.0001736111111111105
TRUE_STATE_ONLY,0.15,0.23726851851851852,0.004629629629629629,0.13489583333333333,0.09999999999999999,0.03489583333333333,0.23263888888888887,0.9220183486238531,0.026909722222222217,0.9935897435897436,0.026996527777777772,8.680555555555525e-05,0.0001736111111111105
TRUE_STATE_PLUS_TRUE_PROBE,0.15,0.23842592592592593,0.004629629629629629,0.13489583333333333,0.0998263888888889,0.03506944444444444,0.23379629629629628,0.9266055045871558,0.027083333333333327,1.0,0.026996527777777772,8.680555555555525e-05,0.0001736111111111105
