world,n,relative_scale_mae,decision_error_before,current_probe_gain,true_state_probe_gain,fraction_true_state_advantage_recovered,helpful_precision,harmful_rate,true_helpful_precision,true_harmful_rate
STATIONARY,2,0.37089826730985587,0.2978125,0.03874999999999999,0.058125,0.6638253331635683,0.403125,0.015625,0.58125,0.0
STATIONARY,4,0.21822785888557653,0.2203125,0.02375,0.045625,0.45556757870612363,0.28125,0.04375,0.478125,0.021875
STATIONARY,8,0.1831973199682564,0.18062499999999998,0.005312500000000002,0.034687499999999996,0.09473588503000271,0.078125,0.025,0.359375,0.0125
STATIONARY,16,0.12475531289706228,0.130625,0.0031249999999999984,0.02375,0.12441919191919175,0.03125,0.0,0.265625,0.028125
STATIONARY,32,0.09234243268179604,0.09812499999999999,0.0006250000000000006,0.0171875,0.06178571428571441,0.009375,0.003125,0.175,0.003125
STATIONARY,64,0.0722570937084068,0.076875,-0.0003125000000000003,0.009062500000000001,-0.0516666666666666,0.00625,0.009375,0.090625,0.0
STATIONARY,128,0.047647521470795484,0.06281250000000001,0.0003125000000000003,0.003750000000000001,0.05,0.003125,0.0,0.04375,0.00625
REGIME_SHIFT,2,0.31953039437236563,0.30156250000000007,0.024375000000000015,0.05406250000000001,0.47733436712925903,0.29375,0.05,0.553125,0.0125
REGIME_SHIFT,4,0.2375795185567604,0.24093749999999997,0.019062499999999996,0.053749999999999985,0.3440650117856,0.2125,0.021875,0.5375,0.0
REGIME_SHIFT,8,0.16721120018958774,0.1740625,0.007500000000000002,0.0428125,0.22204948646125108,0.1,0.025,0.434375,0.00625
REGIME_SHIFT,16,0.11856919277055708,0.125,0.0006249999999999991,0.0221875,0.012222222222222193,0.021875,0.015625,0.228125,0.00625
REGIME_SHIFT,32,0.08225774685595424,0.09093749999999999,-2.0816681711721684e-18,0.013437500000000002,0.03499999999999982,0.00625,0.00625,0.146875,0.0125
REGIME_SHIFT,64,0.27122905341868936,0.22593750000000004,0.00031250000000000445,0.007500000000000007,0.08333333333333388,0.00625,0.003125,0.075,0.0
REGIME_SHIFT,128,0.42004760041318584,0.31437499999999996,0.0,0.00593749999999999,0.0,0.0,0.0,0.059375,0.0
