shift_offset,current_segment_length,estimator,relative_scale_mae,decision_error,effective_sample_size
0.3,8,GLOBAL_HISTORY,0.2841498698401389,0.235625,128.0
0.3,8,FIXED_RECENCY_32,0.22967811823482318,0.20390625,32.0
0.3,8,EXPONENTIAL_RECENCY_HL16,0.2148052083062803,0.19109375,45.814134818147636
0.3,8,CHANGE_POINT_AWARE,0.28319011587666987,0.23640625,127.2625
0.3,8,LOCAL_CONTINUITY,0.22636333563115238,0.19921875,106.46575992478638
0.3,8,CHAINED_CONTINUITY,0.19777165315882744,0.18265625,50.937475364453704
0.3,12,GLOBAL_HISTORY,0.2702009534635475,0.225,128.0
0.3,12,FIXED_RECENCY_32,0.18902174967345511,0.165625,32.0
0.3,12,EXPONENTIAL_RECENCY_HL16,0.17529783809275706,0.1584375,45.814134818147636
0.3,12,CHANGE_POINT_AWARE,0.2725756619243553,0.21359375,123.8625
0.3,12,LOCAL_CONTINUITY,0.18060851794746596,0.158125,101.72269632160621
0.3,12,CHAINED_CONTINUITY,0.1522964758907917,0.1365625,43.96243708405486
0.3,20,GLOBAL_HISTORY,0.256756405757793,0.21078125,128.0
0.3,20,FIXED_RECENCY_32,0.13441669402696868,0.1240625,32.0
0.3,20,EXPONENTIAL_RECENCY_HL16,0.1336824822510101,0.118125,45.814134818147636
0.3,20,CHANGE_POINT_AWARE,0.2629423026786084,0.2034375,118.6125
0.3,20,LOCAL_CONTINUITY,0.16883160597121094,0.1403125,100.69123050635457
0.3,20,CHAINED_CONTINUITY,0.13753462346387332,0.11328125,44.40349657252399
0.3,32,GLOBAL_HISTORY,0.2276028663609489,0.19578125,128.0
0.3,32,FIXED_RECENCY_32,0.08530030919113256,0.08546875,32.0
0.3,32,EXPONENTIAL_RECENCY_HL16,0.10376411350359657,0.100625,45.814134818147636
0.3,32,CHANGE_POINT_AWARE,0.21000520307406764,0.1803125,108.3625
0.3,32,LOCAL_CONTINUITY,0.14707427834363887,0.136875,102.9356287608318
0.3,32,CHAINED_CONTINUITY,0.1120625294726609,0.10375,52.37724264886822
0.3,48,GLOBAL_HISTORY,0.18351251608642657,0.16828125,128.0
0.3,48,FIXED_RECENCY_32,0.08758126766040876,0.089375,32.0
0.3,48,EXPONENTIAL_RECENCY_HL16,0.0844389017402611,0.089375,45.814134818147636
0.3,48,CHANGE_POINT_AWARE,0.16681977877140597,0.15265625,105.325
0.3,48,LOCAL_CONTINUITY,0.11994730281352721,0.12296875,104.72206658179637
0.3,48,CHAINED_CONTINUITY,0.10218182579033389,0.1071875,55.12210064963433
0.55,8,GLOBAL_HISTORY,0.542541614941893,0.3509375,128.0
0.55,8,FIXED_RECENCY_32,0.4159257801644278,0.30421875,32.0
0.55,8,EXPONENTIAL_RECENCY_HL16,0.40395943612896107,0.29890625,45.814134818147636
0.55,8,CHANGE_POINT_AWARE,0.496586653038498,0.324375,113.2375
0.55,8,LOCAL_CONTINUITY,0.41278438554821567,0.2925,95.29326527302408
0.55,8,CHAINED_CONTINUITY,0.3220091592480946,0.23265625,39.18405833399983
0.55,12,GLOBAL_HISTORY,0.5250388696812864,0.3465625,128.0
0.55,12,FIXED_RECENCY_32,0.3631636845549213,0.2759375,32.0
0.55,12,EXPONENTIAL_RECENCY_HL16,0.340286160001915,0.2665625,45.814134818147636
0.55,12,CHANGE_POINT_AWARE,0.4274398590399219,0.2934375,92.2375
0.55,12,LOCAL_CONTINUITY,0.3113194304724055,0.24703125,80.20608066891225
0.55,12,CHAINED_CONTINUITY,0.20235174473451037,0.1859375,25.848565598413046
0.55,20,GLOBAL_HISTORY,0.4685256574893691,0.3353125,128.0
0.55,20,FIXED_RECENCY_32,0.20337486594629292,0.1884375,32.0
0.55,20,EXPONENTIAL_RECENCY_HL16,0.22890051897934907,0.21,45.814134818147636
0.55,20,CHANGE_POINT_AWARE,0.24533316107855238,0.2246875,58.24375
0.55,20,LOCAL_CONTINUITY,0.25178121587637503,0.2240625,80.63869321187136
0.55,20,CHAINED_CONTINUITY,0.1524263928303368,0.158125,30.031461904183733
0.55,32,GLOBAL_HISTORY,0.41846283870817425,0.31078125,128.0
0.55,32,FIXED_RECENCY_32,0.10195107357058145,0.11796875,32.0
0.55,32,EXPONENTIAL_RECENCY_HL16,0.14047645249075016,0.14796875,45.814134818147636
0.55,32,CHANGE_POINT_AWARE,0.15797232049521054,0.1534375,48.3625
