world,estimator,relative_scale_mae,decision_error,effective_sample_size,detected_change_rate
STATIONARY,GLOBAL_HISTORY,0.04965595969851642,0.059375,128.0,0.0
STATIONARY,FIXED_RECENCY_32,0.09046530668432509,0.09390625,32.0,0.0
STATIONARY,EXPONENTIAL_RECENCY_HL16,0.0785626523062865,0.08390625,45.814134818147636,0.0
STATIONARY,CHANGE_POINT_AWARE,0.05321549515525885,0.05953125,127.10625,0.0125
STATIONARY,LOCAL_CONTINUITY,0.07108142015189164,0.07671875,110.38522547252883,0.0
STATIONARY,CHAINED_CONTINUITY,0.09070215532396028,0.09421875,59.62034422304647,0.0
SINGLE_SHIFT,GLOBAL_HISTORY,0.4660736873958085,0.30394791666666665,128.0,0.0
SINGLE_SHIFT,FIXED_RECENCY_32,0.2375612613074738,0.1875,32.0,0.0
SINGLE_SHIFT,EXPONENTIAL_RECENCY_HL16,0.24535664852388436,0.19790625,45.814134818147636,0.0
SINGLE_SHIFT,CHANGE_POINT_AWARE,0.25424397800406295,0.1931875,78.74916666666667,0.5095833333333334
SINGLE_SHIFT,LOCAL_CONTINUITY,0.2548822291035169,0.20521875,84.30343000484555,0.0
SINGLE_SHIFT,CHAINED_CONTINUITY,0.1754410695527611,0.15530208333333334,37.750436446322794,0.0
