shift_offset,current_segment_length,estimator,relative_scale_mae,decision_error,fast_authority
0.3,4,GLOBAL_HISTORY,0.2912839805072392,0.23453125,0.0
0.3,4,FIXED_RECENCY_32,0.26502158860095093,0.2103125,1.0
0.3,4,EXPONENTIAL_RECENCY_HL16,0.257726646719838,0.2084375,1.0
0.3,4,CHAINED_CONTINUITY,0.25760217685931786,0.2040625,1.0
0.3,4,FAST_ONLY_6,0.21167579952134385,0.18875,1.0
0.3,4,FAST_SLOW_BLEND,0.24374332274184365,0.21625,0.2745274633524667
0.3,8,GLOBAL_HISTORY,0.2867563133895463,0.23375,0.0
0.3,8,FIXED_RECENCY_32,0.23258773329536203,0.18953125,1.0
0.3,8,EXPONENTIAL_RECENCY_HL16,0.21677749574850388,0.18265625,1.0
0.3,8,CHAINED_CONTINUITY,0.20304401469358688,0.17359375,1.0
0.3,8,FAST_ONLY_6,0.2008147678783076,0.19640625,1.0
0.3,8,FAST_SLOW_BLEND,0.21947654297114996,0.20953125,0.356127967315133
0.3,12,GLOBAL_HISTORY,0.27181771955360423,0.2275,0.0
0.3,12,FIXED_RECENCY_32,0.1962062039922186,0.1846875,1.0
0.3,12,EXPONENTIAL_RECENCY_HL16,0.18823954328579295,0.17765625,1.0
0.3,12,CHAINED_CONTINUITY,0.16686616268402993,0.154375,1.0
0.3,12,FAST_ONLY_6,0.23163109918500221,0.21015625,1.0
0.3,12,FAST_SLOW_BLEND,0.22754706652023896,0.20375,0.3416630531604458
0.3,20,GLOBAL_HISTORY,0.2538261270346043,0.21890625,0.0
0.3,20,FIXED_RECENCY_32,0.12355354916302144,0.1215625,1.0
0.3,20,EXPONENTIAL_RECENCY_HL16,0.13090755360263473,0.133125,1.0
0.3,20,CHAINED_CONTINUITY,0.14595929474590386,0.141875,1.0
0.3,20,FAST_ONLY_6,0.2203334214127776,0.21375,1.0
0.3,20,FAST_SLOW_BLEND,0.21655094572488473,0.20609375,0.3327802542225771
0.3,32,GLOBAL_HISTORY,0.22102908128581555,0.20046875,0.0
0.3,32,FIXED_RECENCY_32,0.0922918180277933,0.11171875,1.0
0.3,32,EXPONENTIAL_RECENCY_HL16,0.09374059838287803,0.11359375,1.0
0.3,32,CHAINED_CONTINUITY,0.10892728316954603,0.12765625,1.0
0.3,32,FAST_ONLY_6,0.21117578004081,0.23390625,1.0
0.3,32,FAST_SLOW_BLEND,0.18456411463055403,0.21140625,0.35084192172155404
0.3,48,GLOBAL_HISTORY,0.1952565117422803,0.1809375,0.0
0.3,48,FIXED_RECENCY_32,0.09636502128049895,0.10359375,1.0
0.3,48,EXPONENTIAL_RECENCY_HL16,0.08746944617995242,0.10203125,1.0
0.3,48,CHAINED_CONTINUITY,0.09963093778336105,0.1146875,1.0
0.3,48,FAST_ONLY_6,0.19625718703522604,0.19828125,1.0
0.3,48,FAST_SLOW_BLEND,0.17394584466173796,0.1809375,0.29547216868259746
0.55,4,GLOBAL_HISTORY,0.5592418279875797,0.36140625,0.0
0.55,4,FIXED_RECENCY_32,0.4946374466037254,0.33890625,1.0
0.55,4,EXPONENTIAL_RECENCY_HL16,0.4760345360376522,0.3321875,1.0
0.55,4,CHAINED_CONTINUITY,0.4398545669070081,0.316875,1.0
0.55,4,FAST_ONLY_6,0.25200612193966904,0.2396875,1.0
0.55,4,FAST_SLOW_BLEND,0.34855112024518164,0.30171875,0.4693322354466785
0.55,8,GLOBAL_HISTORY,0.5401783410357083,0.35078125,0.0
0.55,8,FIXED_RECENCY_32,0.4195611655146716,0.3015625,1.0
0.55,8,EXPONENTIAL_RECENCY_HL16,0.39816046849638986,0.29,1.0
0.55,8,CHAINED_CONTINUITY,0.32218978439814594,0.23921875,1.0
0.55,8,FAST_ONLY_6,0.2241455414207191,0.215625,1.0
0.55,8,FAST_SLOW_BLEND,0.2919228328925422,0.2578125,0.6270696897369328
0.55,12,GLOBAL_HISTORY,0.5191095561228017,0.345,0.0
0.55,12,FIXED_RECENCY_32,0.35623324488630137,0.275625,1.0
0.55,12,EXPONENTIAL_RECENCY_HL16,0.33517526335822967,0.26546875,1.0
0.55,12,CHAINED_CONTINUITY,0.2066603123177841,0.1784375,1.0
