shift_offset,current_segment_length,estimator,relative_scale_mae_proxy,decision_error,fast_authority_rate,conflict_rate
0.3,4,GLOBAL_HISTORY,0.29421689455778516,0.241875,0.0,0.0
0.3,4,FIXED_RECENCY_32,0.2550796263679847,0.2171875,0.0,0.0
0.3,4,FAST_ONLY_6,0.21280498497625372,0.20640625,1.0,0.0
0.3,4,CHAINED_CONTINUITY,0.25719593068460894,0.22,0.0,0.0
0.3,4,FAST_SLOW_BLEND,0.24572496726622806,0.2153125,0.26659918858550957,0.0
0.3,4,PROVISIONAL_FAST_AUTHORITY,0.24430187875616385,0.18828125,0.0875,0.46875
0.3,8,GLOBAL_HISTORY,0.2790895381988928,0.22359375,0.0,0.0
0.3,8,FIXED_RECENCY_32,0.2242395206661712,0.18640625,0.0,0.0
0.3,8,FAST_ONLY_6,0.2183782619231617,0.18890625,1.0,0.0
0.3,8,CHAINED_CONTINUITY,0.19928033949475576,0.1690625,0.0,0.0
0.3,8,FAST_SLOW_BLEND,0.22624350446922586,0.1934375,0.3560635516681394,0.0
0.3,8,PROVISIONAL_FAST_AUTHORITY,0.24024217114925,0.1846875,0.225,0.4
0.3,12,GLOBAL_HISTORY,0.2706197932920809,0.21984375,0.0,0.0
0.3,12,FIXED_RECENCY_32,0.19320970670615342,0.17296875,0.0,0.0
0.3,12,FAST_ONLY_6,0.2126047224555335,0.18953125,1.0,0.0
0.3,12,CHAINED_CONTINUITY,0.17377079922401836,0.15484375,0.0,0.0
0.3,12,FAST_SLOW_BLEND,0.2105037051356053,0.19359375,0.37145700682903815,0.0
0.3,12,PROVISIONAL_FAST_AUTHORITY,0.22478306375225232,0.18109375,0.225,0.4125
0.3,20,GLOBAL_HISTORY,0.2536019032003708,0.20859375,0.0,0.0
0.3,20,FIXED_RECENCY_32,0.13078270270748643,0.12171875,0.0,0.0
0.3,20,FAST_ONLY_6,0.218263861005088,0.20203125,1.0,0.0
0.3,20,CHAINED_CONTINUITY,0.14637797193427055,0.13703125,0.0,0.0
0.3,20,FAST_SLOW_BLEND,0.2191130985810364,0.1975,0.3694014017304944,0.0
0.3,20,PROVISIONAL_FAST_AUTHORITY,0.23104318435761448,0.18875,0.21875,0.41875
0.3,32,GLOBAL_HISTORY,0.2243597750027532,0.1921875,0.0,0.0
0.3,32,FIXED_RECENCY_32,0.09746568129903807,0.0965625,0.0,0.0
0.3,32,FAST_ONLY_6,0.22720462134748876,0.185625,1.0,0.0
0.3,32,CHAINED_CONTINUITY,0.1328289513163306,0.1209375,0.0,0.0
0.3,32,FAST_SLOW_BLEND,0.20054185523893842,0.17984375,0.298565665255904,0.0
0.3,32,PROVISIONAL_FAST_AUTHORITY,0.21964013579386923,0.16921875,0.16875,0.3625
