delta,L,detector,balanced_accuracy,tpr,tnr,auc
0.1,2,MAGNITUDE_4,0.525,0.2625,0.7875,0.571875
0.1,2,MAX_HORIZON,0.51875,0.2,0.8375,0.568125
0.1,2,ORACLE_LLR,0.53125,0.225,0.8375,0.5625
0.1,4,MAGNITUDE_4,0.50625,0.2875,0.725,0.5215625
0.1,4,MAX_HORIZON,0.5625,0.275,0.85,0.52578125
0.1,4,ORACLE_LLR,0.55625,0.325,0.7875,0.575
0.1,6,MAGNITUDE_4,0.4375,0.1125,0.7625,0.4521875
0.1,6,MAX_HORIZON,0.49374999999999997,0.1,0.8875,0.4540625
0.1,6,ORACLE_LLR,0.51875,0.275,0.7625,0.42984375
0.1,8,MAGNITUDE_4,0.50625,0.25,0.7625,0.53765625
0.1,8,MAX_HORIZON,0.53125,0.1875,0.875,0.558125
0.1,8,ORACLE_LLR,0.4875,0.225,0.75,0.52421875
0.1,12,MAGNITUDE_4,0.5,0.1625,0.8375,0.56328125
0.1,12,MAX_HORIZON,0.55625,0.175,0.9375,0.5728125
0.1,12,ORACLE_LLR,0.4875,0.3125,0.6625,0.54203125
0.1,18,MAGNITUDE_4,0.475,0.1375,0.8125,0.4884375
0.1,18,MAX_HORIZON,0.49375,0.1125,0.875,0.541875
0.1,18,ORACLE_LLR,0.5125,0.3125,0.7125,0.48484375
0.1,24,MAGNITUDE_4,0.50625,0.1875,0.825,0.53953125
0.1,24,MAX_HORIZON,0.5125,0.1875,0.8375,0.59328125
0.1,24,ORACLE_LLR,0.5375000000000001,0.4625,0.6125,0.52328125
0.1,36,MAGNITUDE_4,0.49374999999999997,0.225,0.7625,0.54171875
0.1,36,MAX_HORIZON,0.5,0.1375,0.8625,0.48203125
0.1,36,ORACLE_LLR,0.49375,0.425,0.5625,0.54921875
0.1,48,MAGNITUDE_4,0.55,0.2625,0.8375,0.5653125
0.1,48,MAX_HORIZON,0.49375,0.125,0.8625,0.5303125
0.1,48,ORACLE_LLR,0.4875,0.3375,0.6375,0.51859375
0.2,2,MAGNITUDE_4,0.5625,0.2875,0.8375,0.58515625
0.2,2,MAX_HORIZON,0.53125,0.1875,0.875,0.5246875
0.2,2,ORACLE_LLR,0.525,0.325,0.725,0.56609375
0.2,4,MAGNITUDE_4,0.51875,0.25,0.7875,0.55921875
0.2,4,MAX_HORIZON,0.525,0.2375,0.8125,0.53875
0.2,4,ORACLE_LLR,0.46875,0.3125,0.625,0.486875
0.2,6,MAGNITUDE_4,0.5625,0.25,0.875,0.6240625
0.2,6,MAX_HORIZON,0.525,0.2,0.85,0.58625
0.2,6,ORACLE_LLR,0.5875,0.4,0.775,0.63234375
0.2,8,MAGNITUDE_4,0.525,0.2625,0.7875,0.51125
0.2,8,MAX_HORIZON,0.56875,0.25,0.8875,0.5825
0.2,8,ORACLE_LLR,0.5249999999999999,0.4125,0.6375,0.55484375
0.2,12,MAGNITUDE_4,0.49375,0.2,0.7875,0.4903125
0.2,12,MAX_HORIZON,0.5375,0.1875,0.8875,0.61140625
0.2,12,ORACLE_LLR,0.53125,0.4375,0.625,0.563125
0.2,18,MAGNITUDE_4,0.53125,0.2625,0.8,0.5640625
0.2,18,MAX_HORIZON,0.60625,0.35,0.8625,0.68578125
0.2,18,ORACLE_LLR,0.575,0.55,0.6,0.6246875
0.2,24,MAGNITUDE_4,0.55625,0.2625,0.85,0.57953125
0.2,24,MAX_HORIZON,0.6,0.3125,0.8875,0.63859375
0.2,24,ORACLE_LLR,0.58125,0.575,0.5875,0.61765625
0.2,36,MAGNITUDE_4,0.48125,0.2125,0.75,0.45921875
0.2,36,MAX_HORIZON,0.5125000000000001,0.1625,0.8625,0.53609375
0.2,36,ORACLE_LLR,0.56875,0.4875,0.65,0.58015625
0.2,48,MAGNITUDE_4,0.48124999999999996,0.2,0.7625,0.5134375
0.2,48,MAX_HORIZON,0.51875,0.2375,0.8,0.51796875
0.2,48,ORACLE_LLR,0.5125,0.475,0.55,0.56140625
