world,estimator,mae,error,median_selected_scale
STATIONARY,LOCAL_4,0.21788921743616002,0.2175,4.0
STATIONARY,LOCAL_8,0.1812207429111523,0.17640625,8.0
STATIONARY,MESO_18,0.12169392812257925,0.11546875,18.0
STATIONARY,MESO_48,0.07518011056849365,0.086875,48.0
STATIONARY,GLOBAL_128,0.05368550579487412,0.0628125,128.0
STATIONARY,ZOOM_ARBITRATOR,0.1608594162203137,0.14328125,18.0
SINGLE_SHIFT,LOCAL_4,0.2503989471737695,0.23449404761904763,4.0
SINGLE_SHIFT,LOCAL_8,0.20115296515808945,0.1857514880952381,8.0
SINGLE_SHIFT,MESO_18,0.21029666842188954,0.17014136904761903,18.0
SINGLE_SHIFT,MESO_48,0.32725740643768375,0.2261607142857143,48.0
SINGLE_SHIFT,GLOBAL_128,0.48109408752197924,0.2989583333333333,128.0
SINGLE_SHIFT,ZOOM_ARBITRATOR,0.2336985538963261,0.20140625,8.0
