world,estimator,relative_scale_mae,decision_error,median_selected_scale
STATIONARY,LOCAL_4,0.24732927268045948,0.21640625,4.0
STATIONARY,LOCAL_8,0.18477558978030792,0.165234375,8.0
STATIONARY,MESO_18,0.13663200986377597,0.11927083333333334,18.0
STATIONARY,MESO_48,0.08295050233520013,0.08111979166666666,48.0
STATIONARY,GLOBAL_128,0.0513881230757214,0.06041666666666667,128.0
STATIONARY,V376_PREDICTIVE_ZOOM,0.17865003835968488,0.15208333333333332,8.0
STATIONARY,CROSS_SCALE_COHERENCE_ZOOM,0.09259259852233555,0.09205729166666667,128.0
SINGLE_SHIFT,LOCAL_4,0.2521450975622042,0.24017237103174602,4.0
SINGLE_SHIFT,LOCAL_8,0.19894209879503288,0.18427579365079366,8.0
SINGLE_SHIFT,MESO_18,0.2092373466329239,0.17627108134920635,18.0
SINGLE_SHIFT,MESO_48,0.32622598401155034,0.23674975198412698,48.0
SINGLE_SHIFT,GLOBAL_128,0.4786086458720783,0.31111731150793653,128.0
SINGLE_SHIFT,V376_PREDICTIVE_ZOOM,0.23608515892161103,0.20579737103174603,8.0
SINGLE_SHIFT,CROSS_SCALE_COHERENCE_ZOOM,0.22798288915922424,0.19374379960317462,18.0
LOCAL_PULSE_REVERT,LOCAL_4,0.2551563558003942,0.22783564814814813,4.0
LOCAL_PULSE_REVERT,LOCAL_8,0.18253174868214406,0.1743778935185185,8.0
LOCAL_PULSE_REVERT,MESO_18,0.12309325089243203,0.12452256944444444,18.0
LOCAL_PULSE_REVERT,MESO_48,0.11639322230710426,0.11805555555555555,48.0
LOCAL_PULSE_REVERT,GLOBAL_128,0.05806135328862125,0.06614583333333333,128.0
LOCAL_PULSE_REVERT,V376_PREDICTIVE_ZOOM,0.1880505973848955,0.16383101851851853,18.0
LOCAL_PULSE_REVERT,CROSS_SCALE_COHERENCE_ZOOM,0.11605365379019125,0.11012731481481482,128.0
