world,scale,selection_rate
STATIONARY,4,0.0
STATIONARY,8,0.09375
STATIONARY,18,0.026041666666666668
STATIONARY,48,0.057291666666666664
STATIONARY,128,0.8229166666666666
SINGLE_SHIFT,4,0.0
SINGLE_SHIFT,8,0.43799603174603174
SINGLE_SHIFT,18,0.1232638888888889
SINGLE_SHIFT,48,0.17038690476190477
SINGLE_SHIFT,128,0.2683531746031746
LOCAL_PULSE_REVERT,4,0.0
LOCAL_PULSE_REVERT,8,0.11226851851851852
LOCAL_PULSE_REVERT,18,0.032407407407407406
LOCAL_PULSE_REVERT,48,0.08564814814814815
LOCAL_PULSE_REVERT,128,0.7696759259259259
