world,estimator,mae,error,median_selected_scale
STATIONARY,MESO_18,0.12422015966929363,0.12109375,18.0
STATIONARY,GLOBAL_128,0.04977520949465147,0.0546875,128.0
STATIONARY,V377_CROSS_SCALE,0.13361815478216307,0.11015625,128.0
STATIONARY,ASYMMETRIC_ZOOM,0.08793768047248995,0.08424479166666667,128.0
SINGLE_SHIFT,MESO_18,0.21373454137223305,0.16928323412698412,18.0
SINGLE_SHIFT,GLOBAL_128,0.4881700983508491,0.3081969246031746,128.0
SINGLE_SHIFT,V377_CROSS_SCALE,0.21240998738809785,0.17552083333333332,8.0
SINGLE_SHIFT,ASYMMETRIC_ZOOM,0.24137485315906468,0.19350198412698413,8.0
LOCAL_PULSE_REVERT,MESO_18,0.12457477182115746,0.12021122685185186,18.0
LOCAL_PULSE_REVERT,GLOBAL_128,0.06036289438062855,0.0658275462962963,128.0
LOCAL_PULSE_REVERT,V377_CROSS_SCALE,0.1420086857830967,0.128125,128.0
LOCAL_PULSE_REVERT,ASYMMETRIC_ZOOM,0.09437726801045289,0.08942418981481481,128.0
