world,estimator,mae,error,median_selected_scale
STATIONARY,MESO_18,0.12832718577095695,0.127734375,18.0
STATIONARY,V377_CROSS_SCALE,0.11993387856626375,0.12981770833333334,128.0
STATIONARY,V378_ASYMMETRIC,0.08011409768770848,0.08229166666666667,128.0
STATIONARY,SCALE_RESPONSIBILITY,0.09577219730965203,0.09166666666666666,128.0
STATIONARY,ORACLE_BEST_SCALE,0.02963412906246582,0.04244791666666667,48.0
SINGLE_SHIFT,MESO_18,0.2127513366078833,0.17038070436507938,18.0
SINGLE_SHIFT,V377_CROSS_SCALE,0.2154146078306927,0.18294270833333334,8.0
SINGLE_SHIFT,V378_ASYMMETRIC,0.24219596241896754,0.1990203373015873,8.0
SINGLE_SHIFT,SCALE_RESPONSIBILITY,0.2503077849842109,0.19291914682539682,48.0
SINGLE_SHIFT,ORACLE_BEST_SCALE,0.09177951731823725,0.1066220238095238,8.0
LOCAL_PULSE_REVERT,MESO_18,0.12275824709914701,0.11727430555555556,18.0
LOCAL_PULSE_REVERT,V377_CROSS_SCALE,0.14379997541824913,0.13017939814814813,128.0
LOCAL_PULSE_REVERT,V378_ASYMMETRIC,0.0934835356912752,0.08894675925925925,128.0
LOCAL_PULSE_REVERT,SCALE_RESPONSIBILITY,0.11418777749850773,0.10752314814814815,128.0
LOCAL_PULSE_REVERT,ORACLE_BEST_SCALE,0.03490107216624171,0.04826388888888889,48.0
