world,scale,selection_rate
STATIONARY,4,0.026041666666666668
STATIONARY,8,0.03125
STATIONARY,18,0.036458333333333336
STATIONARY,48,0.06770833333333333
STATIONARY,128,0.8385416666666666
SINGLE_SHIFT,4,0.017609126984126984
SINGLE_SHIFT,8,0.06299603174603174
SINGLE_SHIFT,18,0.23809523809523808
SINGLE_SHIFT,48,0.36830357142857145
SINGLE_SHIFT,128,0.31299603174603174
LOCAL_PULSE_REVERT,4,0.01099537037037037
LOCAL_PULSE_REVERT,8,0.020833333333333332
LOCAL_PULSE_REVERT,18,0.109375
LOCAL_PULSE_REVERT,48,0.13020833333333334
LOCAL_PULSE_REVERT,128,0.7285879629629629
