world,estimator,mae,error,median_selected_scale
STATIONARY,MESO_18,0.13054387930236513,0.12486979166666666,18.0
STATIONARY,V377_CROSS_SCALE,0.12674182132073109,0.11861979166666667,128.0
STATIONARY,V378_ASYMMETRIC,0.07481658150007922,0.069140625,128.0
STATIONARY,CAUSAL_SCOPE,0.12133552242614916,0.089453125,128.0
STATIONARY,ORACLE_BEST_SCALE,0.02797971433310228,0.039322916666666666,128.0
SINGLE_SHIFT,MESO_18,0.2102378560750529,0.16732390873015873,18.0
SINGLE_SHIFT,V377_CROSS_SCALE,0.20991907056823564,0.17928447420634921,8.0
SINGLE_SHIFT,V378_ASYMMETRIC,0.23697395203749236,0.19358878968253967,8.0
SINGLE_SHIFT,CAUSAL_SCOPE,0.30481603934939244,0.23154141865079364,48.0
SINGLE_SHIFT,ORACLE_BEST_SCALE,0.09025719950887758,0.10554935515873017,8.0
LOCAL_PULSE_REVERT,MESO_18,0.1172522967217177,0.11711516203703703,18.0
LOCAL_PULSE_REVERT,V377_CROSS_SCALE,0.13088419000444743,0.11941550925925926,128.0
LOCAL_PULSE_REVERT,V378_ASYMMETRIC,0.08736757100644317,0.08693576388888889,128.0
LOCAL_PULSE_REVERT,CAUSAL_SCOPE,0.1197438765975842,0.11182002314814815,128.0
LOCAL_PULSE_REVERT,ORACLE_BEST_SCALE,0.033917928747023374,0.04674479166666667,48.0
