world,estimator,mae,error,median_selected_scale
STATIONARY,MESO_18,0.13204728263694998,0.12330729166666667,18.0
STATIONARY,V377_CROSS_SCALE,0.13581694244696982,0.13229166666666667,128.0
STATIONARY,V378_ASYMMETRIC,0.07817895248685204,0.084765625,128.0
STATIONARY,LATENT_REGIME,0.06887257826947617,0.06822916666666666,128.0
STATIONARY,ORACLE_BEST_SCALE,0.028653735418082988,0.039322916666666666,48.0
SINGLE_SHIFT,MESO_18,0.21114600703028852,0.1638516865079365,18.0
SINGLE_SHIFT,V377_CROSS_SCALE,0.21002518996111214,0.1769655257936508,8.0
SINGLE_SHIFT,V378_ASYMMETRIC,0.23711442056406593,0.19027157738095238,8.0
SINGLE_SHIFT,LATENT_REGIME,0.2581749265768743,0.19223090277777777,48.0
SINGLE_SHIFT,ORACLE_BEST_SCALE,0.09125690819676532,0.1043154761904762,8.0
LOCAL_PULSE_REVERT,MESO_18,0.12353381327260268,0.11478587962962963,18.0
LOCAL_PULSE_REVERT,V377_CROSS_SCALE,0.13642998910809132,0.12061631944444444,128.0
LOCAL_PULSE_REVERT,V378_ASYMMETRIC,0.08808446987152173,0.08311631944444445,128.0
LOCAL_PULSE_REVERT,LATENT_REGIME,0.08194849596089114,0.0745949074074074,128.0
LOCAL_PULSE_REVERT,ORACLE_BEST_SCALE,0.03410500104819291,0.043547453703703706,48.0
