world,label,delta,L,p8,p18,p128,selected_scale,oracle_scale
STATIONARY,0,0.0,128,0.16492474856633418,0.1254439010871801,0.06213682752649843,18,128
STATIONARY,0,0.0,128,0.18551206791786037,0.47582248880725864,0.17611341498776192,8,8
STATIONARY,0,0.0,128,0.2924586130761952,0.12106808868766673,0.04559224356575548,128,8
STATIONARY,0,0.0,128,0.18946054898248013,0.11822396899670495,0.04747596908978712,8,128
STATIONARY,0,0.0,128,0.18477702994323153,0.18395839923851262,0.045455205030785886,128,128
STATIONARY,0,0.0,128,0.22378512583874557,0.11875278286998554,0.045431497640521394,18,18
STATIONARY,0,0.0,128,0.18826658715386088,0.19381691382469646,0.06582384427770249,128,128
STATIONARY,0,0.0,128,0.20673899596742337,0.14705265118830194,0.0510535842105387,18,18
SINGLE_SHIFT,1,0.3,2,0.49784715244135036,0.1484076506483214,0.06061440393665861,128,8
SINGLE_SHIFT,1,0.3,2,0.19810114166390405,0.12629900542181768,0.11455116932888805,18,18
SINGLE_SHIFT,1,0.3,2,0.23765621556194036,0.12469344714368019,0.045726662546499014,128,8
SINGLE_SHIFT,1,0.3,2,0.5764872290064653,0.17837865733827135,0.06126101846548719,18,8
SINGLE_SHIFT,1,0.3,2,0.1642471259406622,0.12982781078246586,0.04984579701786689,18,8
SINGLE_SHIFT,1,0.3,2,0.1630557095803853,0.11643881989303356,0.07506753564926749,128,18
SINGLE_SHIFT,1,0.3,2,0.16029356450678267,0.11262330370505998,0.045719211840535845,18,8
SINGLE_SHIFT,1,0.3,2,0.4100076229826776,0.1679140357293894,0.055996587463311966,128,8
SINGLE_SHIFT,1,0.3,4,0.17415064907007627,0.13142743030085616,0.05406122169805764,18,8
SINGLE_SHIFT,1,0.3,4,0.1618653968568861,0.5551613029226216,0.07271480591464709,128,8
SINGLE_SHIFT,1,0.3,4,0.17025427740399984,0.467466161330848,0.06523361828079094,8,18
SINGLE_SHIFT,1,0.3,4,0.16300979797488666,0.11712921953677127,0.04668790400376032,18,8
SINGLE_SHIFT,1,0.3,4,0.1972711854803454,0.20662944114318355,0.04636003850636017,8,128
SINGLE_SHIFT,1,0.3,4,0.7435960616121892,0.15748480441239643,0.060387610327883506,128,8
SINGLE_SHIFT,1,0.3,4,0.19547446240406444,0.11549210419072883,0.09685115475122708,128,8
SINGLE_SHIFT,1,0.3,4,0.20141482469865762,0.12492205293619549,0.05136755413072541,18,128
SINGLE_SHIFT,1,0.3,6,0.1661003232794813,0.21234538419537738,0.06069586470835141,8,8
SINGLE_SHIFT,1,0.3,6,0.306518159267531,0.33187959772121844,0.0737229487595097,18,8
SINGLE_SHIFT,1,0.3,6,0.18101861601369798,0.15714872911120953,0.11332625630071244,18,8
SINGLE_SHIFT,1,0.3,6,0.16867427756317596,0.15215250178227957,0.0454491136709824,18,8
SINGLE_SHIFT,1,0.3,6,0.7280963719703634,0.11704645490218658,0.04663100007240245,128,8
SINGLE_SHIFT,1,0.3,6,0.1740543519236061,0.18597146756669297,0.0570877344761029,18,8
SINGLE_SHIFT,1,0.3,6,0.24641976430629522,0.22818050714284976,0.0462830544937541,8,8
SINGLE_SHIFT,1,0.3,6,0.18841273750072324,0.22114172911404884,0.06092400427159386,18,8
SINGLE_SHIFT,1,0.3,8,0.19879616243259507,0.14427718567328907,0.04761965232425676,128,8
SINGLE_SHIFT,1,0.3,8,0.3925818742851238,0.20655259463386286,0.07742688690601791,18,8
SINGLE_SHIFT,1,0.3,8,0.18482983472227035,0.22165127125289996,0.05948414245858906,18,18
SINGLE_SHIFT,1,0.3,8,0.16044157493270012,0.12655533139803682,0.07600234089918557,18,18
SINGLE_SHIFT,1,0.3,8,0.2307173334231466,0.1632915036585346,0.04544227761025299,128,8
SINGLE_SHIFT,1,0.3,8,0.2521783297620314,0.5329267983637671,0.05178099211683974,8,8
SINGLE_SHIFT,1,0.3,8,0.16156235746543363,0.221909311074518,0.04949229514041777,18,18
SINGLE_SHIFT,1,0.3,8,0.18295561356728995,0.5323466162044193,0.04689518520871558,8,8
SINGLE_SHIFT,1,0.3,12,0.2989827398557002,0.1991024008021251,0.24756566937551286,18,8
SINGLE_SHIFT,1,0.3,12,0.28721344596232173,0.11849265817200129,0.0455534152074416,18,8
SINGLE_SHIFT,1,0.3,12,0.17333507175634258,0.24288558936611895,0.05138188844444516,18,18
SINGLE_SHIFT,1,0.3,12,0.22032129970748207,0.13068742734778663,0.04550909066106019,8,8
SINGLE_SHIFT,1,0.3,12,0.1605022759796141,0.1163501068661656,0.05226231552389117,18,8
SINGLE_SHIFT,1,0.3,12,0.26554919784303477,0.112938583941419,0.05065908851514462,128,8
SINGLE_SHIFT,1,0.3,12,0.16096785685660422,0.1196916760877504,0.04690809928779154,8,18
SINGLE_SHIFT,1,0.3,12,0.2013745739071157,0.17062193393603262,0.05461974261094424,18,8
SINGLE_SHIFT,1,0.3,18,0.16753807046361702,0.13192225843174568,0.04634604932035711,18,8
SINGLE_SHIFT,1,0.3,18,0.4703718264061855,0.39713435606520275,0.05258088623664497,18,8
SINGLE_SHIFT,1,0.3,18,0.16055656253536185,0.1408459182469119,0.05547410954092709,18,18
SINGLE_SHIFT,1,0.3,18,0.17384760532038823,0.12202318346365087,0.04629233522791517,18,18
SINGLE_SHIFT,1,0.3,18,0.22158120443253143,0.16168584879711861,0.3602699487608303,18,18
SINGLE_SHIFT,1,0.3,18,0.2923890554535416,0.15695106078252966,0.0780395083431552,18,18
SINGLE_SHIFT,1,0.3,18,0.16607373848260532,0.12223267797857067,0.08061994480003451,18,18
SINGLE_SHIFT,1,0.3,18,0.22058274738830158,0.12191229333355,0.04653475101986596,128,18
SINGLE_SHIFT,1,0.3,24,0.18134061193034867,0.17258978411933723,0.06983451503189295,18,8
SINGLE_SHIFT,1,0.3,24,0.25974978110889724,0.20746962642401037,0.1176763318192188,18,8
SINGLE_SHIFT,1,0.3,24,0.21431237381195084,0.11334082009760256,0.08401876814064413,18,8
SINGLE_SHIFT,1,0.3,24,0.18339955859326407,0.175639484884367,0.2373996972385311,18,18
SINGLE_SHIFT,1,0.3,24,0.19056810660401124,0.11901854056971742,0.18499096135437926,18,128
SINGLE_SHIFT,1,0.3,24,0.19449759376773654,0.1187938697168539,0.04560061153033666,18,8
SINGLE_SHIFT,1,0.3,24,0.1606293910101353,0.325351635070804,0.04607855445907286,18,18
SINGLE_SHIFT,1,0.3,24,0.17300070996841804,0.5731330725734463,0.1501911850264995,8,8
SINGLE_SHIFT,1,0.3,36,0.7183630842415093,0.11842831531217399,0.07735600204537749,18,8
SINGLE_SHIFT,1,0.3,36,0.1601532220321095,0.11323902885933175,0.048748146302272324,18,8
SINGLE_SHIFT,1,0.3,36,0.20629968065408566,0.11268092090877187,0.09509113720740829,18,8
SINGLE_SHIFT,1,0.3,36,0.5491905423960166,0.11436861355398358,0.5535898032343038,8,8
SINGLE_SHIFT,1,0.3,36,0.3885323469289174,0.11445715727431273,0.05993293200821821,18,18
SINGLE_SHIFT,1,0.3,36,0.1660665704351005,0.11715319197051667,0.053076478296074606,8,128
SINGLE_SHIFT,1,0.3,36,0.1701495493963137,0.15391243392741386,0.11515791215393471,18,18
SINGLE_SHIFT,1,0.3,36,0.16097402496084726,0.4451663099566609,0.3683457582312237,128,8
SINGLE_SHIFT,1,0.3,48,0.3081500270629817,0.12611818017217022,0.8797618170279733,18,8
SINGLE_SHIFT,1,0.3,48,0.886539700626826,0.11694102779229594,0.29819364802100284,8,18
SINGLE_SHIFT,1,0.3,48,0.34107099627785664,0.1711170891860973,0.045738506307103896,18,18
SINGLE_SHIFT,1,0.3,48,0.16836202248084123,0.11262411755765449,0.3416818531842069,18,8
SINGLE_SHIFT,1,0.3,48,0.20095468263584312,0.3045010486600069,0.4037827664031869,8,18
SINGLE_SHIFT,1,0.3,48,0.2669476510375261,0.19922528720136387,0.5697820961469668,18,18
SINGLE_SHIFT,1,0.3,48,0.2310789439751273,0.12861626371300203,0.42731049062894066,18,8
SINGLE_SHIFT,1,0.3,48,0.18598373654579048,0.11263757288362704,0.7132502391541694,18,8
SINGLE_SHIFT,1,0.55,2,0.43468545202589587,0.48637749922599055,0.05549449246192232,8,8
SINGLE_SHIFT,1,0.55,2,0.21780606259717955,0.20747472205825299,0.17192914981018662,18,18
SINGLE_SHIFT,1,0.55,2,0.16203629298965175,0.1681701455416715,0.0557150468993946,18,8
SINGLE_SHIFT,1,0.55,2,0.16695801240914876,0.34344154668355936,0.05658378094252812,8,8
SINGLE_SHIFT,1,0.55,2,0.16303468016204564,0.26058624421480864,0.14785589585416875,128,8
