lo,hi,center,n,score_mean,helpful_rate,harmful_rate,net_gain
-1.0,-0.2,-0.6,2121,-0.23451938505568656,0.10419613389910419,0.388024516737388,-0.2838283828382838
-0.2,-0.1,-0.15000000000000002,15740,-0.1328611129509966,0.09523506988564168,0.16257941550190597,-0.06734434561626429
-0.1,-0.05,-0.07500000000000001,112188,-0.06487524662678766,0.016409954718864764,0.01831746710878169,-0.0019075123899169252
-0.05,-0.02,-0.035,101673,-0.03824456253270907,0.017939866041131864,0.01735957432159964,0.0005802917195322258
-0.02,-0.01,-0.015,12567,-0.015258089407158426,0.044402005251850084,0.03485318691811888,0.009548818333731201
-0.01,-0.005,-0.0075,4938,-0.007568881873781703,0.059943296881328476,0.04090724989874443,0.019036046982584043
-0.005,0.0,-0.0025,4142,-0.002579207170639314,0.07315306615161758,0.04394012554321584,0.02921294060840174
0.0,0.005,0.0025,3205,0.0024273756785197563,0.08549141965678628,0.06146645865834633,0.024024960998439936
0.005,0.01,0.0075,2134,0.007380219799404984,0.11199625117150891,0.06607310215557638,0.04592314901593252
0.01,0.02,0.015,2357,0.014463417036140217,0.2006788290199406,0.10988544760288502,0.09079338141705558
0.02,0.05,0.035,3312,0.032789262722436104,0.35597826086956524,0.12530193236714976,0.23067632850241546
0.05,0.1,0.07500000000000001,1755,0.06832330581913086,0.535042735042735,0.11566951566951567,0.41937321937321936
0.1,0.2,0.15000000000000002,268,0.11803657674121934,0.7126865671641791,0.048507462686567165,0.664179104477612
