experiment,metric,value
v409,pairwise_auc,0.8248611344891432
v409,pairwise_ap,0.9064770922726952
v409,pairwise_base,0.6613603473227206
v409,plain_flip15_error,0.006083333333333343
v409,two_stage_error,-0.07977777777777778
v409,two_stage_corrected,0.3688888888888889
v409,two_stage_harmful,0.051111111111111114
K1,TRUST_TRANSFER:capture_rate,0.1165
K1,TRUST_TRANSFER:median_recovery,999.0
K1,TRUST_TRANSFER:truthful_acceptance,0.962829063409729
K1,SEPARATE_EPISTEMIC_NORMATIVE:capture_rate,0.1165
K1,SEPARATE_EPISTEMIC_NORMATIVE:median_recovery,999.0
K1,SEPARATE_EPISTEMIC_NORMATIVE:truthful_acceptance,0.9707942641076441
K1,SEPARATE_PLUS_CONTRADICTION_REOPEN:capture_rate,0.02
K1,SEPARATE_PLUS_CONTRADICTION_REOPEN:median_recovery,68.0
K1,SEPARATE_PLUS_CONTRADICTION_REOPEN:truthful_acceptance,0.7944872538018795
K2,OUTCOME_ONLY:careful_authority,0.8588607663850494
K2,OUTCOME_ONLY:reckless_authority,0.359527422771709
K2,OUTCOME_ONLY:lucky_reckless_delta,0.01892069554031407
K2,PROCESS_AWARE:careful_authority,0.8499825949382516
K2,PROCESS_AWARE:reckless_authority,0.3508174494522894
K2,PROCESS_AWARE:lucky_reckless_delta,-0.0008530298481902673
K2,PROCESS_AWARE_WITH_MEMORY:careful_authority,0.8499967248699036
K2,PROCESS_AWARE_WITH_MEMORY:reckless_authority,0.35034127324103653
K2,PROCESS_AWARE_WITH_MEMORY:lucky_reckless_delta,-0.0008540957757624682
K3,OBS_EQUALS_INFERENCE:audit_accuracy,0.09833333333333336
K3,OBS_EQUALS_INFERENCE:brier,0.5810000000000002
K3,OBS_EQUALS_INFERENCE:false_consolidation,0.9016666666666667
K3,HYPOTHESIS_SET:audit_accuracy,0.7506666666666666
K3,HYPOTHESIS_SET:brier,0.25753333333333334
K3,HYPOTHESIS_SET:false_consolidation,0.22566666666666668
K3,HYPOTHESIS_SET_PLUS_VALIDATION:audit_accuracy,0.7506666666666666
K3,HYPOTHESIS_SET_PLUS_VALIDATION:brier,0.21141916666666666
K3,HYPOTHESIS_SET_PLUS_VALIDATION:false_consolidation,0.22566666666666668
