experiment,condition,metric,value
v412,overlap=0.0,pairwise_auc,0.7642728222665527
v412,overlap=0.0,flip15_error,0.15983333333333333
v412,overlap=0.0,two_stage_error,0.15066666666666667
v412,overlap=0.0,error_improvement,0.009166666666666656
v412,overlap=0.0,corrected_given_probe,0.14407407407407408
v412,overlap=0.0,harmful_given_probe,0.08407407407407408
v412,overlap=0.0,net_corrective_minus_harmful,0.06
v412,overlap=0.2,pairwise_auc,0.7218730054348877
v412,overlap=0.2,flip15_error,0.16083333333333333
v412,overlap=0.2,two_stage_error,0.15138888888888888
v412,overlap=0.2,error_improvement,0.00944444444444445
v412,overlap=0.2,corrected_given_probe,0.14074074074074075
v412,overlap=0.2,harmful_given_probe,0.08592592592592592
v412,overlap=0.2,net_corrective_minus_harmful,0.05481481481481483
v412,overlap=0.4,pairwise_auc,0.7144364037777505
v412,overlap=0.4,flip15_error,0.16005555555555556
v412,overlap=0.4,two_stage_error,0.15244444444444444
v412,overlap=0.4,error_improvement,0.007611111111111124
v412,overlap=0.4,corrected_given_probe,0.13111111111111112
v412,overlap=0.4,harmful_given_probe,0.09
v412,overlap=0.4,net_corrective_minus_harmful,0.041111111111111126
v412,overlap=0.6,pairwise_auc,0.5628855336172409
v412,overlap=0.6,flip15_error,0.16416666666666666
v412,overlap=0.6,two_stage_error,0.16094444444444445
v412,overlap=0.6,error_improvement,0.0032222222222222097
v412,overlap=0.6,corrected_given_probe,0.12777777777777777
v412,overlap=0.6,harmful_given_probe,0.1025925925925926
v412,overlap=0.6,net_corrective_minus_harmful,0.02518518518518517
v412,overlap=0.8,pairwise_auc,0.5241253690094844
v412,overlap=0.8,flip15_error,0.15794444444444444
v412,overlap=0.8,two_stage_error,0.15655555555555556
v412,overlap=0.8,error_improvement,0.001388888888888884
v412,overlap=0.8,corrected_given_probe,0.11888888888888889
v412,overlap=0.8,harmful_given_probe,0.1262962962962963
v412,overlap=0.8,net_corrective_minus_harmful,-0.007407407407407404
K6,SCALAR_TRUST,capture_rate,0.04733333333333333
K6,SCALAR_TRUST,truthful_factual_acceptance,0.9723556015859085
K6,SCALAR_TRUST,truthful_normative_acceptance,0.9705904382014168
K6,SCALAR_TRUST,median_normative_recovery,999.0
K6,SCALAR_TRUST,mean_epistemic_drop_after_strategic_manipulation,0.0
K6,MULTIDIM_DENSE_UPDATES,capture_rate,0.0034166666666666664
K6,MULTIDIM_DENSE_UPDATES,truthful_factual_acceptance,0.9163277031738364
K6,MULTIDIM_DENSE_UPDATES,truthful_normative_acceptance,0.6506610584055362
K6,MULTIDIM_DENSE_UPDATES,median_normative_recovery,0.0
K6,MULTIDIM_DENSE_UPDATES,mean_epistemic_drop_after_strategic_manipulation,0.605858763920471
K6,SPARSE_LOCAL_UPDATES,capture_rate,0.00425
K6,SPARSE_LOCAL_UPDATES,truthful_factual_acceptance,0.929952864890387
K6,SPARSE_LOCAL_UPDATES,truthful_normative_acceptance,0.7103106460634236
K6,SPARSE_LOCAL_UPDATES,median_normative_recovery,0.0
K6,SPARSE_LOCAL_UPDATES,mean_epistemic_drop_after_strategic_manipulation,0.5794247216244994
