experiment,condition,metric,value
v413,overlap=0.0,pairwise_auc,0.7546217366872077
v413,overlap=0.0,flip15_error,0.15766666666666668
v413,overlap=0.0,two_stage_error,0.147
v413,overlap=0.0,error_improvement,0.010666666666666685
v413,overlap=0.0,net_corrective_minus_harmful,0.06074074074074075
v413,overlap=0.0,corrected_given_probe,0.1388888888888889
v413,overlap=0.0,harmful_given_probe,0.07814814814814815
v413,overlap=0.2,pairwise_auc,0.6852689252560054
v413,overlap=0.2,flip15_error,0.15733333333333333
v413,overlap=0.2,two_stage_error,0.14938888888888888
v413,overlap=0.2,error_improvement,0.007944444444444448
v413,overlap=0.2,net_corrective_minus_harmful,0.052222222222222225
v413,overlap=0.2,corrected_given_probe,0.13777777777777778
v413,overlap=0.2,harmful_given_probe,0.08555555555555555
v413,overlap=0.4,pairwise_auc,0.7336672473867596
v413,overlap=0.4,flip15_error,0.15811111111111112
v413,overlap=0.4,two_stage_error,0.15083333333333335
v413,overlap=0.4,error_improvement,0.007277777777777772
v413,overlap=0.4,net_corrective_minus_harmful,0.03481481481481481
v413,overlap=0.4,corrected_given_probe,0.12481481481481481
v413,overlap=0.4,harmful_given_probe,0.09
v413,overlap=0.6,pairwise_auc,0.5970211763474073
v413,overlap=0.6,flip15_error,0.16244444444444445
v413,overlap=0.6,two_stage_error,0.1585
v413,overlap=0.6,error_improvement,0.003944444444444445
v413,overlap=0.6,net_corrective_minus_harmful,0.02592592592592592
v413,overlap=0.6,corrected_given_probe,0.13962962962962963
v413,overlap=0.6,harmful_given_probe,0.11370370370370371
v413,overlap=0.8,pairwise_auc,0.5432834657939847
v413,overlap=0.8,flip15_error,0.16416666666666666
v413,overlap=0.8,two_stage_error,0.16333333333333333
v413,overlap=0.8,error_improvement,0.0008333333333333248
v413,overlap=0.8,net_corrective_minus_harmful,0.011481481481481495
v413,overlap=0.8,corrected_given_probe,0.12925925925925927
v413,overlap=0.8,harmful_given_probe,0.11777777777777777
K6r1,SCALAR_TRUST,capture_rate,0.044333333333333336
K6r1,SCALAR_TRUST,truthful_factual_acceptance,0.9706138897340134
K6r1,SCALAR_TRUST,truthful_normative_acceptance,0.9734412238166612
K6r1,SCALAR_TRUST,mean_immediate_TE_drop_on_strategic_event,0.0
K6r1,SCALAR_TRUST,mean_immediate_TN_drop_on_factual_error,0.0
K6r1,SCALAR_TRUST,median_conditional_normative_recovery,999.0
K6r1,DENSE_MULTIDIM,capture_rate,0.003166666666666666
K6r1,DENSE_MULTIDIM,truthful_factual_acceptance,0.9196081531409954
K6r1,DENSE_MULTIDIM,truthful_normative_acceptance,0.650317508175046
K6r1,DENSE_MULTIDIM,mean_immediate_TE_drop_on_strategic_event,0.0149154135338346
K6r1,DENSE_MULTIDIM,mean_immediate_TN_drop_on_factual_error,0.03002550898944802
K6r1,DENSE_MULTIDIM,median_conditional_normative_recovery,11.5
K6r1,SPARSE_LOCAL,capture_rate,0.004333333333333333
K6r1,SPARSE_LOCAL,truthful_factual_acceptance,0.9314180690513296
K6r1,SPARSE_LOCAL,truthful_normative_acceptance,0.7186871115025013
K6r1,SPARSE_LOCAL,mean_immediate_TE_drop_on_strategic_event,4.971804511277648e-05
K6r1,SPARSE_LOCAL,mean_immediate_TN_drop_on_factual_error,4.784090909090382e-05
K6r1,SPARSE_LOCAL,median_conditional_normative_recovery,10.0
